Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2014-01-01,915.2,933.0,915.2,922.0,918.45,37519.0,346.78
2014-01-02,913.0,925.0,906.3,908.0,909.2,174155.0,1603.25
2014-01-03,907.85,922.0,893.05,915.2,916.85,32196.0,294.42
2014-01-06,919.95,919.95,896.3,909.0,908.9,117191.0,1066.31
2014-01-07,906.0,914.9,898.0,905.0,903.85,112516.0,1017.93
2014-01-08,901.0,914.0,901.0,906.0,906.95,26862.0,244.09
2014-01-09,907.1,910.0,895.0,898.0,897.55,34912.0,313.64
2014-01-10,898.0,915.0,894.0,897.0,896.05,102723.0,929.08
2014-01-13,896.5,910.0,894.0,895.6,898.65,140544.0,1271.43
2014-01-14,907.0,911.0,900.45,902.0,905.05,37805.0,342.58
2014-01-15,906.0,915.85,895.0,907.0,907.15,135954.0,1233.17
2014-01-16,914.0,914.7,903.0,914.0,910.9,40275.0,366.61
2014-01-17,902.25,911.0,895.0,896.1,896.75,15368.0,138.57
2014-01-20,905.0,905.0,886.0,888.0,887.85,21184.0,188.94
2014-01-21,885.1,899.25,875.1,876.55,879.7,45579.0,402.95
2014-01-22,875.35,884.0,867.05,875.8,874.0,69855.0,610.44
2014-01-23,875.05,887.0,870.0,874.0,872.65,20084.0,176.21
2014-01-24,870.1,877.8,859.75,862.95,865.2,29460.0,255.74
2014-01-27,860.15,860.2,840.2,852.25,851.05,55894.0,474.66
2014-01-28,850.0,872.0,850.0,866.0,865.6,30103.0,260.49
2014-01-29,874.3,874.3,855.4,870.95,868.4,25190.0,217.83
2014-01-30,866.0,874.7,846.3,870.0,869.8,20621.0,178.68
2014-01-31,873.7,885.0,863.8,883.9,882.55,51616.0,451.63
2014-02-03,885.0,891.05,880.25,885.8,886.1,43344.0,383.84
2014-02-04,882.15,884.7,866.0,876.5,874.7,13043.0,113.7
2014-02-05,879.85,879.85,866.0,870.0,870.2,10695.0,93.05
2014-02-06,875.0,892.0,871.1,892.0,887.2,17852.0,157.28
2014-02-07,892.75,908.0,887.35,901.0,900.8,42520.0,383.18
2014-02-10,905.0,919.0,903.0,910.0,910.2,62531.0,569.83
2014-02-11,914.7,918.8,896.35,901.55,901.3,16249.0,147.24
2014-02-12,906.0,909.95,903.15,906.0,905.75,32746.0,296.98
2014-02-13,908.0,910.0,895.3,902.0,899.4,120251.0,1082.71
2014-02-14,905.9,911.95,891.05,902.4,902.6,151493.0,1369.36
2014-02-17,921.0,921.9,892.0,903.0,900.55,105190.0,950.44
2014-02-18,900.0,921.9,898.4,912.0,913.05,107897.0,984.54
2014-02-19,917.0,922.25,907.2,915.5,915.35,59434.0,544.24
2014-02-20,915.9,915.9,899.0,905.0,904.95,77626.0,701.9
2014-02-21,906.0,911.5,892.5,896.65,895.6,23238.0,208.64
2014-02-24,897.0,903.0,886.1,892.0,890.75,31181.0,278.42
2014-02-25,892.1,900.0,890.1,895.5,895.15,35735.0,319.63
2014-02-26,900.0,900.0,882.15,884.9,886.6,110777.0,990.54
2014-02-28,899.75,899.75,882.3,889.0,888.4,33851.0,300.1
2014-03-03,899.0,899.0,862.9,868.8,866.3,181829.0,1585.75
2014-03-04,866.3,880.0,861.1,863.0,864.7,109933.0,953.56
2014-03-05,869.7,898.0,869.0,888.5,891.05,89157.0,791.24
2014-03-06,886.3,895.85,870.1,883.95,884.35,38673.0,342.0
2014-03-07,884.35,891.95,870.0,875.0,874.9,33341.0,292.61
2014-03-10,875.0,888.0,873.0,878.0,875.25,34747.0,304.82
2014-03-11,871.0,883.5,861.6,874.9,873.55,61933.0,538.27
2014-03-12,872.55,874.0,864.05,865.0,866.1,85545.0,742.61
2014-03-13,867.05,878.0,861.0,862.0,862.9,49204.0,426.28
2014-03-14,860.15,867.0,855.1,861.0,858.4,30385.0,261.2
2014-03-18,863.75,868.0,854.0,856.7,855.95,100583.0,863.24
2014-03-19,861.7,866.95,853.05,854.0,854.3,77985.0,669.47
2014-03-20,851.2,860.0,843.0,858.0,855.8,48201.0,410.19
2014-03-21,858.5,874.0,848.5,863.0,858.3,246028.0,2113.7
2014-03-22,861.0,866.7,861.0,863.0,862.85,4877.0,42.16
2014-03-24,866.0,869.8,842.0,848.0,845.85,106682.0,904.87
2014-03-25,848.0,857.0,836.5,838.6,841.15,101711.0,860.15
2014-03-26,845.0,849.95,827.0,832.95,832.8,65893.0,552.44
2014-03-27,828.25,841.95,809.1,824.0,816.7,150034.0,1230.48
2014-03-28,832.0,832.0,821.4,825.0,829.0,243354.0,2014.39
2014-03-31,829.0,846.0,828.95,842.0,843.4,73616.0,617.42
2014-04-01,840.4,852.5,835.0,838.65,841.2,72426.0,610.9
2014-04-02,837.0,849.0,836.0,839.0,839.45,116531.0,979.94
2014-04-03,840.0,844.8,838.15,843.0,842.1,180977.0,1523.99
2014-04-04,838.0,863.8,838.0,858.0,860.95,136427.0,1165.09
2014-04-07,864.8,864.8,829.0,833.05,832.65,88684.0,741.87
2014-04-09,842.9,862.0,834.15,855.6,854.75,96145.0,817.35
2014-04-10,864.0,878.2,861.15,875.5,875.55,132125.0,1154.01
2014-04-11,875.0,890.3,874.9,890.0,888.35,76917.0,680.68
2014-04-15,886.0,893.75,870.7,885.95,882.95,78237.0,689.26
2014-04-16,882.95,887.9,876.3,878.0,879.95,52447.0,461.54
2014-04-17,880.0,887.0,877.0,885.1,884.45,37149.0,327.85
2014-04-21,889.7,895.0,885.2,893.0,893.1,43266.0,385.62
2014-04-22,894.0,923.0,888.55,915.95,912.45,181489.0,1646.4
2014-04-23,912.45,920.0,885.0,888.0,892.5,126818.0,1141.24
2014-04-25,897.0,897.0,881.2,892.0,890.0,153803.0,1367.38
2014-04-28,885.0,898.3,885.0,890.35,891.45,243868.0,2175.3
2014-04-29,884.1,892.0,858.0,865.0,862.8,34200.0,299.05
2014-04-30,862.0,871.0,847.35,865.1,864.05,36480.0,313.03
2014-05-02,860.0,872.4,850.0,855.85,855.85,19677.0,169.8
2014-05-05,847.3,872.0,847.3,860.0,860.6,30456.0,261.43
2014-05-06,856.55,869.8,845.2,848.0,850.4,25021.0,214.12
2014-05-07,843.55,865.0,843.55,858.05,858.35,32014.0,274.56
2014-05-08,852.5,865.35,850.0,858.25,858.7,42474.0,364.3
2014-05-09,855.2,864.4,849.45,853.8,852.85,76189.0,652.16
2014-05-12,847.1,858.5,843.55,851.4,849.1,52629.0,446.53
2014-05-13,854.8,879.5,850.0,876.7,874.15,69665.0,604.25
2014-05-14,875.9,894.9,875.0,885.5,890.95,389257.0,3439.05
2014-05-15,890.95,894.0,868.2,878.0,881.6,50298.0,442.72
2014-05-16,885.2,890.0,861.0,869.75,863.2,85958.0,748.27
2014-05-19,869.0,869.0,820.95,830.0,825.65,96303.0,804.54
2014-05-20,826.5,842.0,825.0,838.0,835.45,166136.0,1383.3
2014-05-21,836.5,841.0,830.0,834.0,838.1,66047.0,553.82
2014-05-22,841.2,868.0,826.7,838.5,833.3,159204.0,1343.81
2014-05-23,844.7,877.0,840.5,870.0,867.05,160194.0,1375.58
2014-05-26,883.0,897.0,851.0,870.35,869.75,238351.0,2120.7
2014-05-27,873.5,890.0,842.0,870.95,871.25,382757.0,3264.23
2014-05-28,880.0,900.0,868.95,877.3,880.8,182279.0,1624.28
2014-05-29,884.7,884.7,856.0,870.35,869.3,102309.0,885.24
2014-05-30,869.0,885.0,866.1,882.9,881.1,75886.0,667.85
2014-06-02,891.0,915.0,883.35,898.0,891.3,162368.0,1460.29
2014-06-03,892.0,909.0,882.0,900.0,898.2,69970.0,626.38
2014-06-04,904.95,906.45,888.4,896.0,898.9,211539.0,1903.65
2014-06-05,890.35,903.5,890.35,896.95,894.95,46281.0,415.19
2014-06-06,894.95,904.4,880.5,881.0,884.8,127851.0,1134.65
2014-06-09,882.0,886.35,880.0,881.05,881.2,87206.0,770.07
2014-06-10,885.0,891.0,874.25,876.0,875.85,72918.0,641.73
2014-06-11,872.15,988.0,872.15,968.05,969.25,929547.0,8793.3
2014-06-12,976.85,999.0,965.0,975.0,981.3,262980.0,2580.61
2014-06-13,980.0,980.0,920.75,923.0,926.4,144529.0,1364.15
2014-06-16,926.4,956.0,926.25,948.9,948.5,132716.0,1258.55
2014-06-17,951.0,951.3,938.0,946.05,947.3,48446.0,457.72
2014-06-18,949.0,971.8,909.0,935.1,934.7,236430.0,2215.06
2014-06-19,940.0,942.0,912.0,914.9,918.6,41913.0,387.19
2014-06-20,915.6,940.0,912.05,915.2,915.8,56925.0,528.1
2014-06-23,915.55,941.0,915.55,931.0,932.55,104399.0,973.59
