Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,406.7,407.7,398.05,400.2,399.65,2701537.0,10860.41
2018-01-02,403.45,403.45,395.0,397.85,397.4,1322980.0,5266.61
2018-01-03,398.1,410.9,397.45,408.75,407.65,4679468.0,19037.05
2018-01-04,408.7,410.7,406.05,410.0,409.85,1990506.0,8144.97
2018-01-05,411.9,426.95,410.2,423.65,423.8,5448214.0,22983.84
2018-01-08,424.0,427.5,421.1,422.9,422.9,3447843.0,14596.04
2018-01-09,422.9,425.55,419.2,420.2,421.1,2509904.0,10586.96
2018-01-10,422.0,427.9,418.75,422.9,423.45,4253925.0,18076.8
2018-01-11,423.0,430.65,421.0,425.5,425.5,4415343.0,18786.73
2018-01-12,425.85,428.35,411.55,422.2,423.3,2581486.0,10891.29
2018-01-15,425.55,427.9,419.5,421.5,420.6,1599208.0,6778.21
2018-01-16,421.5,428.25,418.45,423.6,423.55,2318100.0,9810.15
2018-01-17,424.25,436.0,422.75,433.2,433.4,6715953.0,28951.07
2018-01-18,437.95,438.15,409.35,418.8,416.25,8794103.0,37290.28
2018-01-19,418.8,435.45,418.8,433.75,433.45,7588904.0,32513.62
2018-01-22,434.0,443.35,432.55,436.0,438.05,7092514.0,31075.62
2018-01-23,438.05,442.0,433.0,436.55,438.4,4659591.0,20434.96
2018-01-24,437.0,452.35,429.1,449.25,448.75,5201505.0,22884.11
2018-01-25,450.0,450.0,434.8,436.0,436.5,6792843.0,29950.25
2018-01-29,436.5,442.35,432.0,435.75,436.65,2126497.0,9309.04
2018-01-30,435.0,436.15,426.8,429.2,428.25,2389618.0,10281.42
2018-01-31,428.0,435.5,424.5,428.15,428.85,2734628.0,11741.29
2018-02-01,431.0,433.0,414.45,431.0,428.75,1681704.0,7179.5
2018-02-02,424.5,426.2,412.0,417.05,417.95,4265914.0,17919.4
2018-02-05,408.0,413.0,406.3,407.95,408.2,2936554.0,12015.13
2018-02-06,395.0,410.35,387.0,406.35,404.8,2963450.0,11864.57
2018-02-07,414.4,414.4,404.15,404.55,407.0,2592845.0,10594.53
2018-02-08,408.25,416.15,401.1,405.0,405.1,2952821.0,12019.04
2018-02-09,400.0,401.6,394.0,400.1,399.0,2936187.0,11685.3
