Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,563.8,569.8,560.5,562.95,565.5,6943234.0,39260.21
2018-01-02,567.0,568.6,556.35,558.4,559.5,6292268.0,35408.79
2018-01-03,561.3,565.45,555.75,559.75,560.45,3990149.0,22364.31
2018-01-04,564.85,565.0,558.0,559.2,559.9,2766664.0,15511.98
2018-01-05,561.05,566.0,556.7,564.3,563.25,3249056.0,18222.89
2018-01-08,565.8,568.0,562.45,563.45,565.45,3770339.0,21301.24
2018-01-09,564.0,573.0,563.0,564.1,565.3,4607504.0,26159.57
2018-01-10,566.15,566.7,560.45,563.55,562.8,2411625.0,13575.35
2018-01-11,562.0,563.15,553.55,559.5,558.75,2825941.0,15779.16
2018-01-12,560.2,563.4,552.5,556.5,555.1,6013121.0,33465.34
2018-01-15,556.7,564.45,556.4,561.2,560.55,3943472.0,22104.74
2018-01-16,562.95,566.9,555.8,561.2,563.2,5993564.0,33663.22
2018-01-17,564.05,589.3,561.0,587.8,585.2,8453944.0,48612.89
2018-01-18,596.0,597.15,578.6,584.0,584.8,9466991.0,55919.1
2018-01-19,584.9,594.0,581.2,591.8,590.25,3897048.0,22867.03
2018-01-22,595.95,621.75,583.15,611.3,611.55,21790443.0,132359.65
2018-01-23,616.4,627.6,611.45,621.8,620.1,14286343.0,88522.55
2018-01-24,621.9,621.9,606.3,608.1,607.95,6158610.0,37760.1
2018-01-25,610.0,619.25,598.6,614.75,616.1,6749846.0,41448.31
2018-01-29,614.55,620.9,603.65,605.6,605.55,7017160.0,43063.63
2018-01-30,605.6,607.45,592.45,595.0,593.75,6447963.0,38447.29
2018-01-31,589.3,596.0,587.15,593.6,593.6,7108060.0,42048.93
2018-02-01,593.6,610.0,586.1,592.45,592.8,7839731.0,46825.08
2018-02-02,587.8,587.8,561.3,565.0,564.9,6185174.0,35547.25
2018-02-05,551.1,568.65,547.5,566.15,566.25,9318595.0,52018.99
2018-02-06,543.0,577.05,534.0,565.05,563.7,13938327.0,76170.79
2018-02-07,568.0,574.65,556.0,558.65,559.35,7679830.0,43468.38
2018-02-08,562.8,576.9,559.7,570.0,568.45,5816886.0,33156.65
2018-02-09,559.9,561.95,550.4,558.05,557.55,5865587.0,32606.34
2018-02-12,563.7,568.0,560.35,562.6,564.2,4765319.0,26882.15
2018-02-14,565.0,565.85,540.1,541.8,543.9,6478108.0,35570.14
2018-02-15,534.75,554.8,531.35,543.7,543.7,11593643.0,63015.35
2018-02-16,547.05,548.6,535.0,538.75,537.85,3910503.0,21099.51
2018-02-19,537.85,544.95,527.5,541.75,540.55,4251723.0,22703.78
2018-02-20,542.0,548.05,529.4,530.7,531.7,3395183.0,18335.23
2018-02-21,534.0,538.5,524.4,536.0,535.8,4638382.0,24646.81
2018-02-22,533.0,533.75,527.5,529.2,530.25,7808359.0,41413.58
2018-02-23,527.0,538.9,525.55,537.5,536.65,3888629.0,20757.56
2018-02-26,541.1,554.4,539.0,550.0,552.3,5297794.0,29036.44
2018-02-27,551.6,551.6,536.15,539.5,538.4,4136383.0,22462.84
2018-02-28,534.0,536.5,520.0,526.7,528.75,6626661.0,34996.01
2018-03-01,524.0,535.55,522.0,526.65,525.75,9827510.0,52023.66
2018-03-05,524.0,528.95,521.3,524.55,524.55,6766199.0,35508.54
2018-03-06,526.0,530.65,511.2,512.5,517.35,12240160.0,64193.43
2018-03-07,510.9,517.9,507.55,515.2,512.65,10428057.0,53409.35
2018-03-08,518.45,523.95,507.45,521.15,520.55,8483978.0,43680.98
2018-03-09,522.45,522.55,503.0,507.0,505.35,4955525.0,25443.31
2018-03-12,510.6,521.95,505.3,518.6,519.2,5283334.0,26992.88
2018-03-13,517.1,534.95,514.65,531.2,531.5,7846232.0,41536.84
2018-03-14,528.95,538.0,522.5,537.45,536.15,4976540.0,26271.07
2018-03-15,535.2,539.2,528.25,530.0,529.65,3932830.0,20981.48
2018-03-16,530.9,532.9,520.5,524.75,522.6,12146623.0,63814.59
2018-03-19,522.6,526.0,517.05,522.1,519.45,4656613.0,24228.87
