Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,5208.0,5308.75,5151.6,5167.0,5171.85,44899.0,2345.78
2018-01-02,5199.9,5229.0,5047.75,5080.0,5101.1,79123.0,4062.74
2018-01-03,5139.35,5179.8,5088.8,5100.0,5099.45,119413.0,6141.44
2018-01-04,5120.0,5135.0,5051.0,5064.0,5062.55,79205.0,4022.65
2018-01-05,5098.8,5144.95,5076.1,5125.0,5127.2,151818.0,7764.04
2018-01-08,5170.0,5253.0,5146.15,5220.0,5221.25,181068.0,9436.37
2018-01-09,5230.0,5242.4,5105.0,5151.25,5156.4,233510.0,12035.58
2018-01-10,5160.0,5272.6,5130.0,5199.6,5199.55,260021.0,13525.07
2018-01-11,5198.0,5198.0,5135.0,5138.5,5146.4,71160.0,3677.78
2018-01-12,5146.4,5170.0,5032.0,5050.0,5057.3,224758.0,11438.16
2018-01-15,5052.0,5105.2,5001.1,5007.2,5010.35,173185.0,8746.09
2018-01-16,5039.0,5060.0,4935.0,4939.0,4956.8,124186.0,6196.54
2018-01-17,4950.0,5012.0,4890.4,5000.1,4964.9,140637.0,6980.61
2018-01-18,5007.0,5045.0,4884.5,4901.0,4922.6,211086.0,10511.7
2018-01-19,4920.0,5021.0,4842.35,5000.0,4973.05,110406.0,5421.79
2018-01-22,5000.0,5064.95,4951.0,5042.0,5051.45,104891.0,5257.79
2018-01-23,5042.0,5089.0,4987.6,5010.0,5014.6,178301.0,8966.96
2018-01-24,5015.0,5072.8,4949.0,5040.0,5014.45,88003.0,4408.9
2018-01-25,5025.0,5070.0,4900.0,4903.1,4933.05,149077.0,7445.5
2018-01-29,4949.5,5010.0,4899.0,4902.5,4912.4,100404.0,4965.63
2018-01-30,4925.0,4939.0,4860.0,4865.75,4875.65,104332.0,5109.38
2018-01-31,4861.0,4863.45,4736.45,4791.0,4812.35,220161.0,10563.8
2018-02-01,4811.05,5080.0,4770.0,5070.0,5038.4,350858.0,17303.6
2018-02-02,5001.0,5148.1,4890.95,4950.0,4935.75,375160.0,18884.69
2018-02-05,4810.0,4994.9,4763.05,4969.0,4918.0,295940.0,14495.99
2018-02-06,4500.0,4949.0,4500.0,4905.5,4904.6,263080.0,12670.78
2018-02-07,5009.0,5056.0,4927.55,5001.0,5012.05,201435.0,10043.7
2018-02-08,5000.0,5174.0,4975.0,5039.95,5057.25,154586.0,7877.21
2018-02-09,4989.9,5088.0,4961.2,5068.0,5059.35,144600.0,7283.77
2018-02-12,5096.3,5244.0,5042.8,5210.0,5235.45,141176.0,7318.87
2018-02-14,5260.0,5350.0,5152.3,5175.0,5189.0,154547.0,8148.05
2018-02-15,5200.0,5291.0,5112.05,5134.0,5130.35,104197.0,5415.16
2018-02-16,5168.85,5199.8,5030.0,5055.55,5058.25,88468.0,4502.42
2018-02-19,5095.0,5119.85,4970.0,4992.2,5000.75,146928.0,7371.9
2018-02-20,5030.0,5049.0,4976.2,5004.15,5014.3,107899.0,5407.59
2018-02-21,5040.0,5050.25,4955.1,4957.55,4973.45,100845.0,5037.91
2018-02-22,4989.0,5030.0,4925.15,4943.45,4951.85,123453.0,6145.72
2018-02-23,4943.15,5057.0,4940.0,5025.0,5019.65,136396.0,6841.14
2018-02-26,5051.0,5260.0,5030.05,5200.0,5192.95,169230.0,8709.09
2018-02-27,5208.0,5227.5,5101.1,5120.1,5121.35,82961.0,4273.9
2018-02-28,5090.0,5131.8,5030.2,5049.0,5051.7,130485.0,6637.56
