Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,531.0,538.1,525.4,527.95,527.9,4333190.0,23074.86
2018-01-02,532.9,532.9,511.85,516.7,516.55,4724570.0,24635.56
2018-01-03,519.15,525.5,514.75,516.75,518.2,5707905.0,29759.47
2018-01-04,519.0,527.2,514.5,523.9,523.0,5366018.0,27941.01
2018-01-05,525.0,542.5,518.55,539.9,540.0,7218024.0,38552.51
2018-01-08,534.15,534.15,514.2,516.0,516.35,11074508.0,57565.12
2018-01-09,518.0,521.05,504.7,511.0,509.8,6796613.0,34812.52
2018-01-10,515.0,517.5,504.3,506.3,506.4,6008949.0,30648.96
2018-01-11,508.0,516.7,503.2,515.9,514.75,5322546.0,27277.95
2018-01-12,516.0,517.35,504.5,508.4,509.55,4369137.0,22280.9
2018-01-15,509.8,511.95,502.45,506.3,504.5,2554677.0,12949.9
2018-01-16,508.0,513.65,491.4,498.0,497.25,5786478.0,29058.63
2018-01-17,495.0,503.2,491.45,500.95,499.9,6150484.0,30556.2
2018-01-18,501.0,508.8,493.0,494.0,495.0,7131552.0,35675.06
2018-01-19,484.0,500.25,483.5,498.05,497.9,8982201.0,44304.52
2018-01-22,495.6,498.5,488.0,491.0,490.7,4084647.0,20075.19
2018-01-23,494.0,498.8,488.8,491.95,492.1,5543486.0,27354.15
2018-01-24,486.9,487.0,455.15,456.55,459.5,26450900.0,123922.37
2018-01-25,463.5,463.5,444.45,457.0,452.7,18548035.0,84156.3
2018-01-29,444.0,446.4,435.05,440.6,440.6,24459885.0,107724.04
2018-01-30,440.6,451.1,437.25,441.8,440.6,9624998.0,42743.81
2018-01-31,442.5,446.0,436.4,439.55,439.85,6371320.0,28142.65
2018-02-01,440.05,447.0,430.1,440.8,438.4,7297226.0,31896.91
2018-02-02,437.8,440.5,415.8,418.0,422.35,6009663.0,25899.15
2018-02-05,417.75,446.75,411.2,443.4,440.2,13591277.0,59481.19
2018-02-06,420.0,447.75,418.55,440.5,439.15,8409695.0,36713.13
2018-02-07,444.95,449.4,427.1,428.1,430.25,9898121.0,43109.35
2018-02-08,434.0,436.0,425.0,430.6,429.8,5563903.0,23932.71
2018-02-09,424.0,433.95,419.7,423.0,422.5,4861350.0,20691.99
2018-02-12,429.8,431.0,421.35,423.4,424.4,3593521.0,15300.91
2018-02-14,426.3,438.5,426.3,431.5,434.8,9434541.0,40989.15
2018-02-15,439.3,439.3,426.7,428.7,428.95,4130548.0,17873.72
2018-02-16,434.95,434.95,418.4,419.85,419.7,3968970.0,16903.18
2018-02-19,419.85,420.0,403.2,413.75,414.35,5819508.0,23935.55
2018-02-20,415.1,422.2,415.1,418.2,418.1,7230257.0,30305.18
2018-02-21,420.0,422.5,417.35,419.3,419.65,4264637.0,17902.26
2018-02-22,418.8,419.25,413.35,415.95,416.1,9706094.0,40482.42
2018-02-23,419.0,428.2,417.1,424.7,425.55,6763260.0,28747.31
2018-02-26,430.0,430.0,420.85,423.0,423.15,3669690.0,15563.92
2018-02-27,425.8,432.65,424.3,431.95,430.5,4675953.0,20028.1
2018-02-28,430.0,433.5,425.9,430.0,428.55,23360784.0,100155.48
2018-03-01,429.05,436.6,425.75,426.3,427.75,5260644.0,22748.65
2018-03-05,426.95,427.1,417.6,422.0,421.45,3482148.0,14705.64
2018-03-06,423.7,427.65,410.6,410.65,413.9,3789549.0,15968.68
2018-03-07,410.65,416.3,391.25,402.95,403.2,10873348.0,43872.02
2018-03-08,411.5,414.1,395.0,402.0,401.3,7808565.0,31708.61
2018-03-09,404.9,408.5,397.55,403.05,402.15,4590422.0,18529.03
2018-03-12,405.0,424.5,404.0,423.1,421.55,7558993.0,31384.07
2018-03-13,423.0,429.8,420.15,427.5,426.3,5148679.0,21864.04
2018-03-14,425.9,425.9,418.55,421.3,422.6,3780338.0,15932.87
2018-03-15,422.6,424.3,417.25,420.5,420.45,3277154.0,13780.91
2018-03-16,415.25,426.75,413.65,419.8,416.75,7237424.0,30331.51
2018-03-19,418.0,421.6,396.7,399.55,399.65,5408078.0,22010.78
2018-03-20,399.0,403.5,392.7,400.0,400.4,7463026.0,29682.82
2018-03-21,403.0,420.15,402.2,417.7,418.2,8351422.0,34621.31
2018-03-22,414.0,420.25,412.1,416.0,415.6,4850714.0,20180.87
2018-03-23,412.65,418.95,405.2,412.2,412.7,5133743.0,21073.38
2018-03-26,412.0,423.0,406.6,420.6,421.5,4402440.0,18248.05
2018-03-27,422.0,422.4,408.2,413.05,413.2,6080433.0,25139.1
2018-03-28,411.0,413.05,395.4,397.85,398.7,10286301.0,41263.19
2018-04-02,399.5,401.75,390.5,394.4,395.1,4986921.0,19668.95
2018-04-03,391.25,404.0,391.25,401.0,402.2,4559620.0,18139.55
2018-04-04,404.0,404.8,392.95,394.7,395.05,3627666.0,14479.4
