Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,518.0,523.0,507.2,508.75,508.6,1940293.0,9944.59
2018-01-02,511.3,512.95,497.2,499.6,499.8,2536583.0,12709.4
2018-01-03,500.15,504.9,493.4,494.35,494.9,3870814.0,19279.64
2018-01-04,495.0,495.5,490.5,491.5,491.5,2720308.0,13387.31
2018-01-05,491.0,494.0,483.7,488.45,487.7,2939239.0,14336.78
2018-01-08,490.0,501.5,490.0,496.95,497.2,4990626.0,24763.66
2018-01-09,499.0,500.75,491.25,496.0,496.1,3653710.0,18133.93
2018-01-10,494.55,498.2,493.5,493.5,494.3,3121408.0,15459.47
2018-01-11,495.0,495.0,488.75,491.55,492.4,2958652.0,14524.41
2018-01-12,490.5,493.0,487.65,489.6,489.9,2808710.0,13777.32
2018-01-15,490.2,493.9,485.8,487.3,487.2,4078228.0,19960.31
2018-01-16,488.0,488.15,475.45,479.0,479.45,4661889.0,22328.14
2018-01-17,479.0,484.0,474.75,479.9,479.85,3397744.0,16264.21
2018-01-18,480.1,482.75,468.0,470.1,470.25,3671246.0,17420.41
2018-01-19,471.9,478.5,465.4,477.05,477.3,3908165.0,18470.04
2018-01-22,480.0,480.05,465.25,469.6,469.15,2168115.0,10171.83
2018-01-23,472.9,483.0,469.0,480.55,481.15,3779440.0,17991.98
2018-01-24,481.0,482.5,473.15,481.7,480.5,2540792.0,12146.38
2018-01-25,486.0,486.5,473.6,480.75,480.65,4016765.0,19267.98
2018-01-29,480.5,480.55,468.25,469.5,469.8,2647116.0,12525.61
2018-01-30,469.2,492.6,468.95,480.9,485.6,6592554.0,31899.09
2018-01-31,486.0,493.6,483.35,490.1,492.3,6111327.0,29914.43
2018-02-01,491.1,493.9,481.45,489.0,490.35,3649443.0,17827.42
2018-02-02,483.05,492.6,472.35,472.8,477.15,2990091.0,14513.96
2018-02-05,470.0,488.75,466.05,477.5,475.95,3435092.0,16449.23
2018-02-06,465.0,477.9,465.0,467.5,467.2,3148093.0,14782.46
2018-02-07,473.05,481.6,468.65,478.5,476.25,3631470.0,17280.14
2018-02-08,483.4,494.0,476.8,479.1,478.2,6038834.0,29424.63
2018-02-09,476.0,479.9,468.7,475.15,475.4,2862450.0,13562.54
2018-02-12,481.0,481.8,462.5,466.5,467.55,4569433.0,21328.37
2018-02-14,469.0,469.9,459.1,460.0,460.1,4451284.0,20575.81
2018-02-15,461.0,476.65,461.0,475.65,475.05,4723739.0,22189.57
2018-02-16,477.0,477.75,465.0,465.25,465.7,2413209.0,11315.3
2018-02-19,468.0,468.25,453.4,456.25,456.85,1842905.0,8457.59
2018-02-20,457.2,459.6,451.85,453.2,453.05,2250010.0,10223.6
2018-02-21,458.15,458.15,440.1,447.5,447.55,9163043.0,40782.77
2018-02-22,431.2,435.85,425.45,428.1,427.45,8907361.0,38171.63
2018-02-23,429.05,433.0,422.7,430.2,429.9,3418049.0,14648.84
2018-02-26,434.0,443.0,431.1,431.85,433.0,5897086.0,25772.13
2018-02-27,435.5,436.35,424.45,427.8,426.95,6814803.0,29218.75
2018-02-28,425.0,430.85,424.15,429.25,429.55,6071324.0,25985.96
2018-03-01,432.0,443.9,430.2,442.8,441.9,6222197.0,27362.2
2018-03-05,441.55,441.75,433.0,434.0,434.3,2843005.0,12362.8
2018-03-06,441.0,455.0,435.5,445.1,445.2,7854169.0,35064.16
2018-03-07,445.1,448.65,438.7,444.95,443.4,3474437.0,15438.43
2018-03-08,446.0,446.95,431.6,441.95,442.2,3945689.0,17346.76
2018-03-09,443.2,444.9,438.0,440.2,439.4,3712782.0,16380.42
2018-03-12,440.0,448.0,437.95,446.5,446.75,2541996.0,11240.07
2018-03-13,447.0,468.4,445.55,464.85,466.65,4170537.0,19275.02
2018-03-14,464.0,464.45,457.45,462.8,462.8,2851889.0,13153.2
2018-03-15,462.0,465.5,456.1,462.0,462.05,1828571.0,8421.19
2018-03-16,456.5,458.5,443.0,446.2,447.55,6147327.0,27598.53
2018-03-19,446.0,446.0,429.0,431.0,430.75,4955340.0,21393.05
2018-03-20,429.0,438.8,422.5,426.0,424.9,2812798.0,12101.88
2018-03-21,426.7,434.5,424.75,430.65,430.65,2900337.0,12474.12
2018-03-22,432.5,432.5,413.6,414.0,414.7,4748632.0,19856.79
2018-03-23,409.9,417.55,406.25,412.1,413.45,3663740.0,15090.91
2018-03-26,412.5,422.8,402.5,422.8,419.55,3729942.0,15289.46
2018-03-27,422.8,426.0,415.15,419.2,420.75,4748218.0,19967.38
2018-03-28,419.0,430.0,415.65,427.65,427.45,5863342.0,24965.88
2018-04-02,428.85,433.5,422.25,423.6,423.4,2292147.0,9740.91
2018-04-03,423.7,429.8,423.7,425.95,426.25,3570144.0,15252.8
2018-04-04,429.0,429.0,413.8,414.5,414.95,2451414.0,10264.56
2018-04-05,417.65,423.6,416.55,421.5,422.45,1836525.0,7727.37
2018-04-06,423.0,435.2,423.0,433.2,433.95,3530121.0,15221.98
2018-04-09,437.9,453.85,435.0,450.35,450.35,6248014.0,27988.52
2018-04-10,454.0,454.5,439.2,453.45,451.15,5034563.0,22574.39
2018-04-11,446.95,451.0,415.1,415.4,417.3,18488413.0,78203.95
2018-04-12,414.0,423.25,402.45,417.0,418.65,19347963.0,79719.14
2018-04-13,421.0,421.95,403.5,406.0,405.4,8810694.0,36155.07
2018-04-16,405.0,410.85,400.05,407.7,408.2,5507775.0,22368.44
2018-04-17,410.0,412.4,403.45,409.95,410.65,6389248.0,26079.28
2018-04-18,407.2,409.0,402.55,405.5,405.2,5162348.0,20917.55
2018-04-19,396.0,397.85,375.35,376.4,376.55,15936417.0,60965.73
2018-04-20,371.85,381.9,369.85,371.0,371.4,11704053.0,43932.05
2018-04-23,376.0,385.2,373.6,381.25,381.35,8684457.0,32930.79
2018-04-24,376.1,388.45,376.0,383.2,383.7,6391570.0,24508.86
2018-04-25,385.3,390.95,382.15,385.2,385.8,6676411.0,25865.79
