Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,608.0,617.85,607.0,616.3,611.5,873546.0,5349.04
2018-01-02,614.2,619.0,605.5,610.0,607.8,1038258.0,6358.63
2018-01-03,611.0,613.9,604.55,605.0,606.8,771828.0,4704.11
2018-01-04,609.45,618.4,603.45,615.5,616.75,990602.0,6034.03
2018-01-05,617.0,619.85,611.1,612.7,615.15,1072254.0,6604.62
2018-01-08,618.5,627.5,612.2,614.15,615.05,1061612.0,6568.56
2018-01-09,617.0,618.65,610.65,614.3,615.6,846158.0,5208.4
2018-01-10,616.0,624.15,612.85,617.05,619.75,1207313.0,7476.01
2018-01-11,619.0,619.0,609.1,612.05,612.35,1092457.0,6684.64
2018-01-12,614.0,618.4,603.1,612.0,612.1,891848.0,5447.13
2018-01-15,612.5,615.5,608.2,611.3,610.25,470386.0,2877.31
2018-01-16,610.15,613.5,599.0,600.6,601.4,1088762.0,6581.94
2018-01-17,601.05,610.6,597.05,610.0,607.15,883340.0,5333.93
2018-01-18,608.1,612.95,598.25,603.65,603.65,1028921.0,6216.8
2018-01-19,603.65,605.1,600.15,605.0,602.75,818518.0,4930.36
2018-01-22,604.4,605.0,593.1,601.0,601.15,933769.0,5588.53
2018-01-23,602.5,625.0,600.3,622.65,622.35,2105060.0,13007.98
2018-01-24,621.95,623.75,612.9,618.15,618.3,1089562.0,6735.42
2018-01-25,618.15,631.0,613.7,620.15,621.4,2973765.0,18489.67
2018-01-29,624.95,628.4,611.1,612.05,615.0,1564268.0,9678.13
2018-01-30,613.0,613.1,603.2,605.85,605.95,596682.0,3624.71
2018-01-31,608.0,608.5,590.0,591.8,592.15,1264055.0,7518.75
2018-02-01,591.9,597.0,580.2,590.25,587.05,1050098.0,6188.08
2018-02-02,586.0,593.9,575.1,579.0,581.15,998752.0,5856.69
2018-02-05,576.0,582.1,571.2,580.1,580.1,797017.0,4593.1
2018-02-06,561.0,572.0,558.05,561.95,564.25,1284112.0,7237.24
2018-02-07,578.5,579.9,554.2,570.0,569.25,3161498.0,17868.96
2018-02-08,584.0,617.15,580.15,616.0,612.65,8349913.0,50544.35
2018-02-09,595.0,626.0,595.0,626.0,621.4,2373799.0,14549.47
2018-02-12,629.35,635.0,618.85,621.0,621.65,1957424.0,12269.65
2018-02-14,622.1,630.3,611.5,613.25,616.15,1306512.0,8120.73
2018-02-15,613.25,621.45,602.95,606.05,605.85,1391858.0,8529.59
2018-02-16,611.3,613.95,605.5,609.4,611.1,906025.0,5528.29
2018-02-19,612.0,612.15,594.35,600.95,600.4,1216005.0,7303.33
2018-02-20,603.45,606.1,592.0,603.5,603.45,1599249.0,9574.69
2018-02-21,607.0,607.75,589.25,595.0,597.25,1409752.0,8419.42
2018-02-22,595.0,597.25,586.6,588.0,589.65,1859008.0,10984.52
2018-02-23,591.8,605.0,590.0,594.0,595.65,1576584.0,9425.21
2018-02-26,596.25,598.3,588.75,589.5,590.1,1417465.0,8400.73
2018-02-27,591.7,598.9,583.1,586.65,586.5,1349590.0,7963.05
2018-02-28,590.0,596.6,587.1,591.0,589.65,2255189.0,13356.95
2018-03-01,593.9,593.9,580.4,585.0,581.7,1343806.0,7866.64
2018-03-05,582.1,585.0,578.05,580.5,579.25,1179725.0,6852.05
2018-03-06,581.6,589.4,580.05,585.0,584.1,1891302.0,11070.25
2018-03-07,587.45,589.1,578.2,580.0,580.2,1849650.0,10792.56
2018-03-08,584.0,584.0,574.0,576.0,578.0,1084582.0,6279.78
2018-03-09,579.95,585.2,568.05,572.9,571.05,1149194.0,6631.34
2018-03-12,575.05,582.2,563.55,578.7,580.65,919792.0,5278.27
2018-03-13,579.0,582.9,575.15,580.35,578.75,801792.0,4644.96
2018-03-14,578.35,583.8,571.65,577.6,577.9,811747.0,4675.05
2018-03-15,578.0,579.6,569.0,570.75,571.15,849222.0,4871.05
2018-03-16,570.1,574.0,557.05,561.85,559.4,1867538.0,10489.14
2018-03-19,563.65,566.9,555.4,556.4,559.75,1447941.0,8120.08
2018-03-20,555.1,561.85,522.9,555.25,552.9,9119209.0,49857.22
2018-03-21,558.5,567.45,546.4,551.0,551.05,3091963.0,17299.09
2018-03-22,551.9,555.0,538.15,540.5,540.75,1506405.0,8219.21
2018-03-23,539.0,540.7,534.0,536.2,538.4,1203262.0,6467.85
2018-03-26,538.15,544.6,532.95,541.5,541.8,1105319.0,5980.56
2018-03-27,541.0,549.0,541.0,545.0,545.05,2206872.0,12026.25
2018-03-28,544.0,548.8,534.0,546.05,545.45,2667979.0,14460.77
2018-04-02,548.0,578.95,545.9,578.0,576.25,2823880.0,16066.8
2018-04-03,572.0,578.35,568.8,571.0,570.3,2493190.0,14270.81
2018-04-04,572.35,575.45,564.5,571.5,569.8,1852997.0,10550.12
2018-04-05,574.0,578.55,558.35,560.0,560.35,2396864.0,13516.82
2018-04-06,560.3,571.0,557.25,559.8,558.95,2420324.0,13611.54
2018-04-09,565.9,565.9,555.5,555.7,556.75,1470765.0,8231.13
2018-04-10,558.0,567.0,556.6,557.7,558.15,1591682.0,8939.39
2018-04-11,560.7,564.0,558.5,560.0,561.5,1789789.0,10037.33
2018-04-12,562.9,562.95,554.8,556.0,556.15,1309557.0,7301.13
2018-04-13,557.55,561.15,552.55,554.95,555.5,1019158.0,5675.11
2018-04-16,553.05,587.8,553.05,585.05,584.95,6741354.0,38916.75
2018-04-17,585.55,588.35,575.7,580.0,579.95,2688507.0,15627.11
2018-04-18,582.0,597.0,582.0,586.05,584.6,3853951.0,22736.51
2018-04-19,584.25,592.0,583.05,584.0,584.4,1525419.0,8940.34
2018-04-20,582.35,593.4,581.5,590.0,589.05,1641179.0,9656.03
2018-04-23,576.0,601.75,576.0,601.0,600.15,3016500.0,17892.97
2018-04-24,601.0,604.9,595.1,601.6,601.9,2782988.0,16722.69
2018-04-25,600.5,600.5,586.2,592.5,593.05,1125208.0,6659.88
2018-04-26,591.0,602.9,590.55,598.9,599.95,1503008.0,8993.8
2018-04-27,602.0,607.0,593.0,601.0,599.85,1031376.0,6193.27
2018-04-30,602.2,609.0,602.0,605.95,607.4,687828.0,4166.87
2018-05-02,610.0,621.9,608.95,611.5,612.0,1862999.0,11466.0
2018-05-03,613.0,613.1,597.0,611.9,609.3,999887.0,6032.48
2018-05-04,612.1,612.45,595.5,597.3,597.0,925559.0,5562.96
2018-05-07,598.6,600.1,585.0,590.9,591.05,1046885.0,6194.16
2018-05-08,592.4,601.95,586.55,591.35,590.65,1039491.0,6162.81
2018-05-09,591.4,596.0,585.55,589.6,588.0,652527.0,3847.81
2018-05-10,594.0,594.6,572.5,574.1,575.5,2163326.0,12590.06
2018-05-11,577.05,580.75,565.1,574.75,573.7,921890.0,5283.06
2018-05-14,575.0,580.5,570.85,578.8,578.5,888370.0,5120.75
2018-05-15,579.8,593.0,573.1,575.0,575.8,2049528.0,11861.6
2018-05-16,575.0,575.0,546.0,556.2,559.9,4071898.0,22713.23
2018-05-17,557.9,560.0,538.8,554.8,553.75,3719963.0,20446.38
2018-05-18,555.0,556.0,530.0,531.6,533.05,1708157.0,9235.06
2018-05-21,531.65,536.8,516.0,518.5,520.45,2013336.0,10576.16
2018-05-22,524.8,531.1,507.2,525.0,524.0,3080285.0,16030.39
2018-05-23,515.0,564.9,515.0,534.0,532.4,7413823.0,40269.11
2018-05-24,536.5,544.55,530.0,534.95,533.5,1925524.0,10322.0
2018-05-25,538.85,538.85,527.5,535.55,536.65,1525355.0,8131.47
2018-05-28,534.0,548.3,534.0,540.8,539.5,1460566.0,7931.41
2018-05-29,539.1,542.6,527.7,530.65,530.6,2656979.0,14168.12
2018-05-30,529.1,529.1,519.55,525.4,525.6,2156315.0,11314.08
2018-05-31,528.6,533.65,521.05,522.75,524.8,3539206.0,18602.85
2018-06-01,526.95,530.75,521.05,524.8,524.5,1625446.0,8539.86
2018-06-04,527.5,529.0,517.15,519.85,520.7,1247023.0,6518.79
2018-06-05,520.3,544.75,517.7,542.1,542.1,3398337.0,18127.83
2018-06-06,542.1,548.0,533.4,538.35,538.45,2909756.0,15713.01
2018-06-07,541.95,542.55,537.2,540.5,540.7,1119973.0,6046.31
2018-06-08,541.8,562.0,538.75,557.0,559.65,4815940.0,26695.44
2018-06-11,560.0,570.0,559.0,559.75,560.8,3113604.0,17564.74
2018-06-12,561.9,573.0,561.0,566.9,567.1,3234303.0,18396.23
2018-06-13,569.95,593.5,569.95,581.95,582.1,4657712.0,27209.56
2018-06-14,588.95,592.9,583.5,589.8,588.05,3244655.0,19055.51
2018-06-15,590.0,614.55,589.8,610.05,611.6,7125922.0,43190.4
2018-06-18,612.0,618.8,600.3,606.15,606.5,2518169.0,15328.72
2018-06-19,606.25,610.45,598.2,601.5,601.85,2992184.0,18065.63
2018-06-20,613.0,622.75,600.35,603.7,602.85,9121187.0,55716.31
2018-06-21,608.8,609.7,602.0,604.0,603.5,3052143.0,18489.22
2018-06-22,604.0,618.05,595.25,614.85,615.75,3245849.0,19714.11
2018-06-25,615.1,622.55,608.0,608.95,611.4,3253606.0,19950.14
2018-06-26,606.0,608.7,597.25,600.1,599.5,2323337.0,13972.49
2018-06-27,602.5,606.95,593.0,605.5,602.3,2520918.0,15137.72
2018-06-28,604.5,609.9,596.0,600.2,600.9,4173735.0,25100.41
2018-06-29,601.5,619.9,599.9,618.0,616.65,1525608.0,9297.1
2018-07-02,620.0,620.0,611.0,617.0,617.0,1502606.0,9240.1
2018-07-03,617.0,644.65,608.05,643.0,640.4,5271600.0,33267.84
2018-07-04,644.95,648.0,623.8,627.75,628.9,5043141.0,32085.23
2018-07-05,632.0,637.0,623.1,625.4,626.55,2127794.0,13440.97
2018-07-06,624.9,631.0,610.4,612.45,612.5,2514518.0,15615.78
2018-07-09,616.85,625.0,615.0,624.2,622.9,1462808.0,9079.58
2018-07-10,626.6,633.9,620.15,630.5,632.05,1872744.0,11751.33
2018-07-11,626.3,630.5,621.3,622.5,625.3,1669583.0,10448.08
2018-07-12,629.4,636.7,622.7,634.0,633.35,2177684.0,13751.84
2018-07-13,634.0,634.0,624.2,627.0,626.7,1475306.0,9263.84
2018-07-16,629.4,636.0,611.15,618.1,620.95,2211200.0,13825.42
2018-07-17,621.9,639.6,620.1,636.3,637.45,2228377.0,14135.19
2018-07-18,640.0,644.0,625.1,629.8,627.4,2348371.0,14862.65
2018-07-19,629.8,632.1,606.15,613.15,610.1,1424272.0,8822.17
2018-07-20,614.95,630.0,602.15,625.85,625.8,2832150.0,17379.54
2018-07-23,623.15,637.3,617.25,634.0,634.1,1553101.0,9767.89
2018-07-24,633.95,633.95,624.5,625.65,627.35,1319369.0,8287.33
2018-07-25,629.0,631.0,613.45,621.2,623.9,1413265.0,8770.34
2018-07-26,619.0,631.25,617.45,627.45,627.85,3163498.0,19844.48
2018-07-27,627.75,641.9,625.9,635.15,636.2,1508269.0,9571.25
2018-07-30,633.0,636.25,628.0,635.0,634.3,990056.0,6261.29
2018-07-31,636.95,647.0,628.1,640.0,641.35,2469759.0,15800.41
2018-08-01,641.0,641.55,635.0,638.0,639.15,2411436.0,15378.95
2018-08-02,635.0,651.9,633.05,639.0,638.5,3974559.0,25566.89
2018-08-03,640.95,647.6,639.0,640.0,641.05,1530341.0,9830.17
2018-08-06,647.0,648.8,635.3,638.1,637.95,2716402.0,17423.57
2018-08-07,642.9,642.9,627.1,628.05,629.45,2414434.0,15218.46
2018-08-08,629.0,645.45,623.6,644.1,632.55,4121062.0,26012.29
2018-08-09,649.0,662.5,616.7,621.05,619.15,9996909.0,63689.45
2018-08-10,624.95,628.5,614.5,621.1,621.05,3168280.0,19712.68
2018-08-13,622.0,631.55,619.2,628.4,628.3,2374657.0,14915.63
2018-08-14,629.1,647.0,624.0,645.95,642.75,2451003.0,15624.78
2018-08-16,644.7,660.0,634.25,649.95,648.35,3925549.0,25554.13
2018-08-17,650.05,655.5,643.7,646.0,646.9,2915387.0,18960.99
2018-08-20,649.9,653.5,642.4,645.0,643.85,1296664.0,8374.99
2018-08-21,647.9,654.45,644.0,651.55,650.25,1981523.0,12862.13
2018-08-23,653.45,665.0,652.7,655.75,657.95,2891829.0,19102.16
2018-08-24,658.0,658.0,645.0,651.9,651.2,1904031.0,12358.46
2018-08-27,653.0,662.5,648.2,658.65,659.6,1381724.0,9032.08
2018-08-28,662.0,677.5,644.65,648.0,648.3,5237362.0,34828.73
2018-08-29,650.0,653.65,640.0,641.65,643.5,1891523.0,12234.77
2018-08-30,645.0,651.9,640.5,649.55,649.45,2124122.0,13748.43
2018-08-31,649.55,664.0,649.55,661.15,662.15,3056580.0,20186.61
2018-09-03,665.5,671.2,646.6,649.7,649.1,1971733.0,13039.65
2018-09-04,649.8,655.0,638.4,645.05,643.9,2249087.0,14501.75
2018-09-05,645.05,650.9,637.2,646.7,646.55,2542543.0,16378.18
2018-09-06,651.0,664.7,647.0,661.5,662.1,2841096.0,18702.3
2018-09-07,663.85,669.5,656.3,664.75,664.75,2431363.0,16133.69
2018-09-10,665.0,678.0,664.0,666.35,668.05,3453432.0,23143.64
2018-09-11,670.1,675.0,650.6,654.9,654.9,3399042.0,22584.02
2018-09-12,654.9,662.0,643.25,653.75,656.45,3302191.0,21571.12
2018-09-14,664.0,670.0,659.05,664.0,666.4,1512857.0,10073.29
2018-09-17,673.0,673.0,660.4,663.9,664.9,2220455.0,14791.22
2018-09-18,665.0,673.0,660.6,663.3,663.7,1814726.0,12121.99
2018-09-19,668.0,678.45,645.75,662.05,660.6,3043018.0,20286.83
2018-09-21,668.0,671.55,638.4,660.0,653.2,2276641.0,14993.64
2018-09-24,662.0,668.95,640.8,643.7,645.6,2766326.0,18170.41
2018-09-25,644.0,665.8,643.0,661.35,661.75,2295464.0,15105.62
2018-09-26,664.45,675.25,656.0,671.95,672.8,2131833.0,14279.03
2018-09-27,675.0,677.0,655.95,657.5,659.35,3433359.0,22795.96
2018-09-28,659.35,663.0,647.2,650.0,654.05,1862405.0,12195.82
2018-10-01,653.05,659.0,643.5,657.0,654.15,1309530.0,8509.2
2018-10-03,650.0,663.95,650.0,654.6,654.55,1533990.0,10086.42
2018-10-04,650.1,654.65,632.1,639.5,638.4,1736407.0,11173.2
2018-10-05,635.3,649.55,631.0,640.0,636.65,1806150.0,11594.25
2018-10-08,636.6,642.65,628.45,636.55,638.8,1564640.0,9957.77
2018-10-09,639.5,643.1,625.25,639.6,639.35,1535781.0,9759.65
2018-10-10,639.35,651.0,633.3,639.65,639.6,1881053.0,12070.59
2018-10-11,627.5,633.8,613.05,617.0,616.2,1707508.0,10677.55
2018-10-12,620.0,627.2,612.6,624.75,622.9,2085360.0,12923.98
2018-10-15,623.0,649.8,618.05,647.65,647.85,2666868.0,17075.18
2018-10-16,647.85,651.65,637.35,640.0,639.75,1510216.0,9692.62
2018-10-17,644.9,646.0,637.0,640.2,640.45,1280980.0,8210.28
2018-10-19,640.3,645.55,626.1,633.5,633.8,2267774.0,14344.39
2018-10-22,635.2,640.65,626.85,633.05,629.65,1399755.0,8867.2
2018-10-23,628.8,632.0,616.0,624.85,622.35,1370461.0,8529.66
2018-10-24,625.5,635.0,615.6,621.8,621.3,987144.0,6149.68
2018-10-25,618.55,624.0,605.15,608.5,609.0,5739386.0,35066.56
2018-10-26,609.2,612.35,598.65,601.55,603.7,1935618.0,11682.54
2018-10-29,602.35,638.2,601.45,633.0,635.15,1614423.0,10052.59
2018-10-30,636.0,636.7,608.1,611.0,610.35,2418471.0,14950.02
2018-10-31,612.0,631.75,606.3,624.85,629.25,2305046.0,14329.11
2018-11-01,630.0,631.95,614.0,615.9,615.4,1442392.0,8921.61
2018-11-02,619.95,619.95,605.5,606.65,607.1,1566053.0,9575.94
2018-11-05,607.4,617.5,557.1,562.5,563.05,12941350.0,74799.6
2018-11-06,555.0,555.0,527.35,529.95,530.8,16941828.0,90675.07
2018-11-07,536.0,536.0,532.1,533.35,533.35,698244.0,3726.13
2018-11-09,535.5,535.8,524.0,526.9,526.95,6125274.0,32310.78
2018-11-12,530.0,541.9,529.05,530.8,531.85,7669697.0,41031.16
2018-11-13,534.0,534.0,526.5,527.5,528.1,2410643.0,12750.32
2018-11-14,530.6,532.6,517.0,520.9,519.55,2740756.0,14304.7
2018-11-15,521.9,525.0,514.45,521.8,519.15,2661535.0,13836.53
2018-11-16,521.7,534.0,521.1,531.15,530.6,3483625.0,18451.61
2018-11-19,535.0,536.0,523.95,529.5,528.25,1913914.0,10137.87
2018-11-20,528.0,529.85,518.65,520.1,520.7,1707971.0,8938.57
2018-11-21,522.8,528.05,521.3,522.2,522.15,1749806.0,9169.06
2018-11-22,523.0,525.0,511.75,518.2,517.95,2045318.0,10585.08
2018-11-26,520.0,523.75,512.8,522.55,522.1,1728468.0,8985.39
2018-11-27,526.0,526.95,513.05,517.8,517.65,2100159.0,10899.8
2018-11-28,519.2,523.95,513.6,515.4,515.3,2003272.0,10375.87
2018-11-29,518.0,526.4,516.0,525.5,524.7,2799578.0,14649.29
2018-11-30,528.0,542.0,527.0,540.6,540.85,3855382.0,20667.48
2018-12-03,542.0,545.4,534.1,536.3,535.8,2033213.0,10967.3
2018-12-04,536.0,549.0,535.05,545.35,546.45,3400053.0,18537.4
2018-12-05,546.0,548.9,525.3,530.0,528.45,2192065.0,11734.18
2018-12-06,528.0,528.0,511.0,516.7,515.3,2562048.0,13272.42
2018-12-07,520.0,530.65,512.0,513.65,513.6,3503808.0,18207.35
2018-12-10,509.9,514.85,503.1,512.5,512.55,2201377.0,11228.55
2018-12-11,503.0,523.95,503.0,521.05,518.7,2326059.0,11990.46
2018-12-12,522.9,534.3,521.1,532.05,531.3,1683131.0,8857.05
2018-12-13,532.0,533.8,519.2,528.0,527.0,2234487.0,11776.39
2018-12-14,528.35,533.8,516.65,522.05,521.75,1950888.0,10233.32
2018-12-17,524.0,529.35,520.7,524.7,523.65,1196871.0,6271.87
2018-12-18,524.0,527.0,520.05,523.6,522.9,1628240.0,8517.22
2018-12-19,524.0,528.6,522.55,524.45,524.75,1241000.0,6520.95
2018-12-20,523.7,526.0,515.4,520.4,520.25,2074097.0,10777.09
2018-12-21,521.0,523.95,514.3,517.0,516.65,1758710.0,9114.24
