Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,263.0,267.3,262.6,266.9,266.65,3079260.0,8187.81
2018-01-02,268.0,270.9,267.0,270.2,270.05,5659389.0,15257.73
2018-01-03,271.0,273.45,269.7,272.6,271.85,9240120.0,25091.82
2018-01-04,272.9,279.85,272.2,277.7,277.8,6919578.0,19227.15
2018-01-05,278.5,280.65,278.0,278.0,278.75,3344950.0,9348.5
2018-01-08,279.0,290.6,279.0,287.55,287.45,4891781.0,13940.17
2018-01-09,299.7,311.0,296.65,304.0,304.05,27639107.0,84047.69
2018-01-10,306.0,309.8,305.0,308.55,308.3,15300218.0,47173.73
2018-01-11,308.0,310.0,302.95,308.15,308.1,4703627.0,14382.76
2018-01-12,309.0,310.8,306.2,308.75,309.0,5119534.0,15802.11
2018-01-15,309.25,310.45,304.5,305.5,305.9,2643125.0,8132.19
2018-01-16,305.9,305.9,290.6,291.0,291.6,4069770.0,12073.14
2018-01-17,293.0,294.95,286.3,292.95,290.95,4360706.0,12707.22
2018-01-18,293.3,293.8,278.1,284.7,283.05,3784420.0,10849.34
2018-01-19,283.05,285.9,280.5,284.35,284.0,2574759.0,7296.09
2018-01-22,287.1,289.7,283.7,285.0,285.05,3025790.0,8668.52
2018-01-23,285.2,294.15,285.2,293.25,293.1,3974425.0,11568.07
2018-01-24,292.5,298.5,287.0,296.5,294.55,3073618.0,8962.44
2018-01-25,294.55,302.65,294.55,298.5,299.4,6919878.0,20763.0
2018-01-29,298.5,306.0,296.95,300.0,301.75,3557035.0,10783.88
2018-01-30,299.0,307.5,295.2,305.0,305.9,3085086.0,9290.77
2018-01-31,303.5,304.55,298.0,300.5,299.55,5198298.0,15573.89
2018-02-01,300.1,301.15,290.95,296.5,295.6,4533542.0,13361.56
2018-02-02,292.1,297.55,286.05,292.0,290.35,6393201.0,18738.58
2018-02-05,293.0,296.0,285.0,295.9,294.8,7795465.0,22881.6
2018-02-06,287.0,292.0,280.1,290.1,290.35,4674661.0,13488.69
2018-02-07,291.5,299.7,290.35,296.3,297.6,7223510.0,21406.1
2018-02-08,297.6,302.6,296.7,300.1,300.0,3286814.0,9863.68
2018-02-09,295.1,304.45,294.4,300.05,300.15,4731060.0,14212.0
2018-02-12,303.9,305.0,297.05,300.0,300.65,4512970.0,13557.05
