Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,2410.0,2436.0,2394.05,2408.0,2404.15,242081.0,5839.66
2018-01-02,2427.0,2439.0,2395.6,2405.0,2409.2,251537.0,6078.84
2018-01-03,2386.5,2386.5,2292.1,2340.55,2339.0,886002.0,20740.07
2018-01-04,2343.0,2420.0,2343.0,2414.8,2410.8,558617.0,13334.84
2018-01-05,2429.0,2479.0,2394.9,2470.0,2473.4,639900.0,15644.85
2018-01-08,2470.0,2512.0,2470.0,2479.0,2476.6,585871.0,14598.02
2018-01-09,2474.5,2475.75,2450.0,2455.0,2457.8,243824.0,6002.86
2018-01-10,2459.95,2472.0,2420.0,2427.1,2425.8,344328.0,8391.04
2018-01-11,2427.0,2451.0,2418.0,2424.8,2425.35,185159.0,4504.72
2018-01-12,2433.0,2453.85,2413.65,2449.0,2447.65,355780.0,8666.2
2018-01-15,2447.0,2461.25,2425.05,2435.0,2431.75,156821.0,3831.53
2018-01-16,2436.0,2484.0,2431.75,2468.05,2468.7,372133.0,9176.72
2018-01-17,2467.0,2506.0,2462.85,2491.95,2491.85,381788.0,9511.77
2018-01-18,2500.0,2534.0,2450.15,2452.0,2461.5,584198.0,14565.06
2018-01-19,2467.0,2505.0,2452.0,2486.1,2490.35,240896.0,5980.61
2018-01-22,2440.0,2519.0,2440.0,2506.3,2496.55,692415.0,17198.41
2018-01-23,2510.0,2549.95,2501.0,2520.15,2520.4,730091.0,18460.88
2018-01-24,2523.0,2615.0,2523.0,2561.5,2559.4,1126277.0,29004.55
2018-01-25,2554.0,2597.1,2453.2,2501.05,2507.75,2652030.0,66803.52
2018-01-29,2448.95,2452.0,2342.0,2360.0,2357.1,1154567.0,27610.06
2018-01-30,2356.0,2356.0,2285.2,2307.0,2306.15,858002.0,19830.94
2018-01-31,2293.0,2306.15,2203.55,2224.0,2225.35,1143907.0,25603.77
2018-02-01,2225.0,2225.0,2153.1,2160.0,2157.95,968321.0,21117.12
2018-02-02,2150.0,2211.05,2110.05,2112.05,2123.55,959646.0,20705.35
2018-02-05,2110.2,2139.0,2088.65,2128.0,2116.5,603638.0,12784.71
2018-02-06,2050.0,2124.0,2005.55,2084.0,2095.7,763234.0,15895.92
2018-02-07,2125.15,2147.0,2096.25,2103.0,2111.4,398161.0,8462.19
2018-02-08,2125.0,2196.0,2125.0,2180.0,2180.45,889623.0,19305.75
2018-02-09,2150.0,2208.0,2133.6,2193.8,2193.8,479123.0,10443.5
2018-02-12,2194.7,2229.75,2179.0,2199.85,2204.25,482626.0,10677.34
2018-02-14,2210.0,2226.0,2175.6,2179.0,2183.3,309833.0,6812.09
2018-02-15,2204.0,2219.0,2177.3,2198.0,2195.8,345185.0,7587.92
2018-02-16,2207.0,2240.0,2207.0,2212.0,2213.55,458897.0,10211.68
2018-02-19,2223.0,2233.95,2105.05,2155.0,2152.0,562310.0,12191.34
2018-02-20,2155.0,2196.5,2144.2,2169.0,2163.65,669025.0,14492.0
2018-02-21,2180.2,2202.0,2140.75,2174.95,2165.9,498005.0,10839.89
2018-02-22,2167.0,2172.6,2086.55,2124.1,2123.45,1665309.0,35289.16
2018-02-23,2142.4,2185.0,2135.05,2159.0,2167.05,743506.0,16112.32
2018-02-26,2120.0,2207.2,2090.0,2193.0,2193.8,1184749.0,25502.52
2018-02-27,2200.2,2241.55,2198.3,2236.0,2236.0,676152.0,15045.95
2018-02-28,2223.05,2266.95,2218.2,2234.0,2237.25,992777.0,22349.53
2018-03-01,2200.05,2239.75,2193.55,2229.0,2231.5,430777.0,9596.52
2018-03-05,2229.8,2239.9,2175.8,2182.15,2180.8,598344.0,13144.31
2018-03-06,2201.45,2223.8,2166.85,2176.5,2176.45,415000.0,9148.64
2018-03-07,2176.5,2204.3,2143.0,2150.1,2149.6,492494.0,10681.75
2018-03-08,2172.9,2182.0,2128.1,2156.0,2143.4,476763.0,10239.27
2018-03-09,2164.0,2182.8,2095.0,2122.15,2129.9,470814.0,10117.43
2018-03-12,2160.0,2163.7,2122.0,2155.55,2148.4,530428.0,11352.28
2018-03-13,2142.0,2194.15,2141.25,2185.0,2181.5,519269.0,11283.28
2018-03-14,2185.0,2196.0,2166.8,2184.55,2181.45,266769.0,5819.08
2018-03-15,2182.45,2218.4,2177.0,2178.65,2182.75,335767.0,7380.95
2018-03-16,2180.0,2209.0,2118.3,2154.0,2142.15,594361.0,12832.66
2018-03-19,2155.0,2170.0,2112.15,2120.2,2119.85,292149.0,6236.21
2018-03-20,2114.95,2162.9,2101.95,2156.6,2157.15,387372.0,8273.81
2018-03-21,2168.8,2179.85,2130.4,2145.0,2141.7,369060.0,7942.89
2018-03-22,2139.0,2150.75,2097.1,2110.0,2108.3,410402.0,8719.61
2018-03-23,2091.0,2101.9,2060.2,2068.15,2072.3,474396.0,9863.94
2018-03-26,2072.0,2109.75,2050.3,2095.05,2104.0,500280.0,10374.73
2018-03-27,2096.0,2119.0,2090.0,2106.0,2102.45,324567.0,6826.05
2018-03-28,2103.0,2113.6,2071.6,2073.6,2080.55,665647.0,13866.81
2018-04-02,2080.0,2138.0,2080.0,2130.9,2132.1,245975.0,5218.88
2018-04-03,2111.0,2149.85,2111.0,2122.3,2124.9,279023.0,5938.85
2018-04-04,2124.0,2125.25,2079.95,2086.15,2091.4,353719.0,7429.71
2018-04-05,2115.0,2135.6,2097.0,2112.0,2111.1,375110.0,7949.23
2018-04-06,2112.0,2133.6,2105.05,2122.0,2124.8,264845.0,5627.49
2018-04-09,2120.0,2135.4,2109.0,2120.0,2121.25,223287.0,4742.89
2018-04-10,2123.0,2135.0,2082.75,2114.9,2112.1,515981.0,10884.87
2018-04-11,2130.0,2133.05,2090.0,2100.7,2100.7,306020.0,6442.97
2018-04-12,2078.0,2078.0,2054.3,2060.0,2060.5,679256.0,14004.72
2018-04-13,2072.3,2096.0,2067.8,2087.9,2089.95,441352.0,9206.33
2018-04-16,2081.2,2110.0,2075.0,2102.5,2102.45,289585.0,6078.62
2018-04-17,2105.0,2117.15,2088.0,2105.0,2105.55,293638.0,6178.87
2018-04-18,2114.7,2117.25,2091.05,2100.0,2101.65,227808.0,4794.99
2018-04-19,2111.0,2140.0,2107.0,2135.0,2136.3,322550.0,6843.54
2018-04-20,2130.0,2145.95,2106.05,2118.0,2121.9,267337.0,5677.03
2018-04-23,2123.4,2142.0,2095.0,2138.9,2135.55,545145.0,11575.99
2018-04-24,2131.9,2180.0,2127.05,2151.45,2150.15,886215.0,19160.39
2018-04-25,2151.45,2155.95,2113.0,2116.45,2118.0,288899.0,6140.75
2018-04-26,2128.0,2147.2,2064.1,2089.8,2076.85,1355549.0,28336.6
2018-04-27,2098.0,2112.2,2082.0,2100.65,2097.75,319344.0,6702.17
2018-04-30,2110.8,2126.9,2098.05,2111.95,2109.85,222664.0,4705.53
2018-05-02,2116.4,2127.8,2102.05,2125.0,2118.2,198229.0,4201.36
2018-05-03,2122.2,2126.1,2087.65,2125.0,2121.1,180076.0,3794.65
2018-05-04,2130.0,2145.0,2097.9,2105.0,2106.6,364533.0,7726.23
2018-05-07,2110.0,2110.75,2055.0,2067.0,2069.5,344097.0,7121.73
2018-05-08,2090.0,2094.05,2065.0,2075.75,2074.95,250444.0,5200.85
2018-05-09,2075.85,2085.0,2058.5,2063.05,2064.35,254351.0,5259.61
2018-05-10,2055.0,2059.0,1982.0,1992.7,1989.6,660318.0,13310.8
2018-05-11,2003.5,2017.9,1960.0,1990.0,1990.5,604488.0,12016.81
2018-05-14,2012.0,2043.0,2012.0,2015.0,2017.75,581715.0,11803.5
2018-05-15,2017.75,2030.0,1978.2,2009.0,2008.5,404721.0,8102.6
2018-05-16,2006.0,2008.5,1985.0,2000.0,1993.95,274437.0,5474.68
2018-05-17,1995.8,1995.8,1950.1,1981.3,1977.15,466175.0,9193.82
2018-05-18,1982.8,1992.0,1967.35,1982.0,1982.0,507296.0,10049.18
2018-05-21,1991.0,1991.0,1887.0,1890.0,1893.05,505736.0,9683.04
2018-05-22,1902.5,2036.0,1890.0,2004.2,2009.6,2019136.0,39414.14
2018-05-23,1978.0,1993.9,1934.8,1951.3,1954.35,734078.0,14415.41
2018-05-24,1962.7,1985.2,1942.95,1975.9,1972.95,458454.0,9015.41
2018-05-25,1975.0,1995.8,1965.0,1967.85,1967.85,435249.0,8597.27
2018-05-28,1966.75,2012.05,1960.0,2000.0,1994.55,508364.0,10136.0
2018-05-29,2000.0,2014.55,1972.6,1977.0,1980.7,490670.0,9800.16
2018-05-30,1975.0,1975.0,1952.0,1957.5,1961.8,335848.0,6590.45
2018-05-31,1971.8,1971.8,1925.95,1927.85,1936.6,1860178.0,36074.45
2018-06-01,1940.0,1963.45,1932.35,1941.4,1941.4,441861.0,8607.78
2018-06-04,1978.0,2027.9,1965.0,1988.0,1996.0,1400421.0,28036.5
2018-06-05,1980.0,1987.55,1954.0,1963.0,1963.4,365344.0,7195.19
2018-06-06,1963.0,1977.9,1948.0,1961.0,1960.45,415605.0,8160.34
2018-06-07,1965.0,1976.95,1961.2,1962.0,1964.95,152700.0,3006.45
2018-06-08,1973.0,2072.6,1973.0,2059.95,2062.9,1113559.0,22660.89
2018-06-11,2062.05,2125.0,2051.65,2087.2,2083.2,1612295.0,33804.87
2018-06-12,2097.0,2195.0,2097.0,2195.0,2190.65,2097114.0,45417.76
2018-06-13,2190.0,2304.0,2185.0,2254.05,2256.3,2580254.0,58436.19
2018-06-14,2260.05,2299.65,2246.55,2277.45,2269.4,1588963.0,36055.87
2018-06-15,2303.0,2385.8,2296.25,2357.9,2349.85,4456911.0,104839.94
2018-06-18,2339.0,2411.0,2292.4,2403.2,2385.85,2310151.0,54173.99
2018-06-19,2403.2,2429.6,2376.55,2386.95,2393.0,2106466.0,50632.06
2018-06-20,2393.0,2409.9,2352.95,2370.0,2367.75,1149681.0,27290.43
2018-06-21,2389.0,2389.0,2306.5,2318.0,2316.4,1115131.0,25934.83
2018-06-22,2325.0,2347.5,2274.05,2336.0,2336.25,1667277.0,38531.72
2018-06-25,2305.0,2326.8,2281.0,2292.8,2290.15,1142767.0,26292.08
2018-06-26,2284.0,2285.0,2257.4,2261.0,2267.15,628148.0,14274.97
2018-06-27,2257.9,2306.8,2245.9,2288.3,2293.8,1552070.0,35363.22
2018-06-28,2289.0,2325.95,2272.2,2283.25,2295.75,1228463.0,28275.24
2018-06-29,2279.95,2284.0,2223.0,2233.0,2235.05,898423.0,20224.77
2018-07-02,2230.0,2260.55,2202.25,2239.1,2240.35,774325.0,17354.57
2018-07-03,2258.0,2284.0,2235.2,2274.4,2273.75,756573.0,17118.98
2018-07-04,2273.8,2338.0,2273.8,2318.2,2317.25,1065535.0,24705.27
2018-07-05,2329.95,2348.7,2287.75,2298.65,2298.65,830939.0,19337.56
2018-07-06,2300.0,2319.9,2255.85,2267.0,2269.05,556218.0,12751.75
2018-07-09,2282.0,2335.0,2281.95,2330.1,2330.05,729897.0,16952.77
2018-07-10,2345.6,2345.6,2303.0,2318.95,2321.85,665940.0,15450.31
2018-07-11,2301.0,2333.0,2275.0,2298.0,2301.35,820067.0,18903.42
2018-07-12,2326.7,2387.65,2326.65,2352.3,2357.25,1312367.0,31079.64
2018-07-13,2340.0,2366.4,2301.0,2315.0,2319.85,466927.0,10871.18
2018-07-16,2223.1,2223.1,2069.95,2083.0,2093.95,3721516.0,78639.31
2018-07-17,2060.0,2119.0,2057.05,2070.0,2065.3,1422184.0,29647.23
2018-07-18,2080.0,2096.55,2040.5,2060.0,2065.65,1219549.0,25150.38
2018-07-19,2077.8,2077.8,2025.0,2027.2,2029.2,762721.0,15625.59
2018-07-20,2026.0,2073.0,2020.0,2058.6,2051.9,755783.0,15541.26
2018-07-23,2073.0,2073.0,2032.5,2043.0,2041.7,587029.0,12017.94
2018-07-24,2043.0,2090.0,2043.0,2077.6,2077.6,1289377.0,26698.52
2018-07-25,2087.0,2097.5,2061.55,2086.9,2088.2,538614.0,11218.26
2018-07-26,2075.7,2191.0,2074.9,2110.0,2132.75,1913049.0,40712.68
2018-07-27,2135.0,2135.0,2067.4,2082.5,2083.2,896318.0,18727.09
2018-07-30,2080.05,2092.85,2058.3,2066.95,2067.2,807995.0,16733.45
2018-07-31,2075.0,2135.0,2070.6,2130.0,2127.8,1464380.0,30870.97
2018-08-01,2130.0,2182.0,2130.0,2175.0,2175.7,912903.0,19733.53
2018-08-02,2175.0,2237.95,2170.0,2227.0,2227.85,1039641.0,23062.39
2018-08-03,2236.0,2290.0,2230.0,2276.95,2281.05,1013107.0,23003.7
2018-08-06,2285.0,2325.0,2228.2,2238.7,2234.4,835775.0,18931.99
2018-08-07,2249.9,2281.45,2245.05,2261.5,2258.8,499910.0,11298.59
2018-08-08,2263.0,2280.0,2237.0,2250.1,2245.5,345399.0,7778.79
2018-08-09,2263.9,2263.9,2205.05,2240.0,2237.7,390701.0,8719.08
2018-08-10,2236.4,2256.9,2205.5,2221.5,2214.3,323888.0,7215.67
2018-08-13,2220.0,2249.0,2215.15,2248.0,2241.6,267323.0,5975.91
2018-08-14,2254.0,2291.0,2239.05,2279.0,2278.45,482038.0,10916.09
2018-08-16,2275.35,2361.45,2270.85,2357.6,2353.45,895988.0,20822.21
2018-08-17,2373.9,2411.3,2350.9,2362.95,2364.15,889022.0,21221.21
2018-08-20,2365.0,2396.95,2365.0,2380.0,2380.75,361318.0,8603.55
2018-08-21,2388.0,2427.9,2354.1,2423.2,2410.95,638958.0,15350.0
2018-08-23,2430.0,2520.0,2425.0,2467.9,2463.6,1624568.0,40169.17
2018-08-24,2475.0,2477.4,2425.6,2445.0,2447.45,576704.0,14120.62
2018-08-27,2453.0,2462.95,2426.5,2445.0,2443.1,457122.0,11164.47
2018-08-28,2450.0,2480.0,2407.05,2411.0,2414.5,750408.0,18284.84
2018-08-29,2420.0,2429.5,2377.5,2380.85,2383.85,638133.0,15302.6
2018-08-30,2385.0,2417.95,2375.05,2386.0,2380.15,1078598.0,25805.97
2018-08-31,2397.0,2499.0,2395.0,2492.0,2492.0,1981320.0,48618.42
2018-09-03,2510.0,2632.0,2495.0,2588.0,2593.4,3039924.0,78640.91
2018-09-04,2595.0,2615.0,2537.05,2547.6,2543.1,1036459.0,26567.52
2018-09-05,2549.3,2590.0,2518.5,2570.0,2567.7,1127153.0,28810.66
2018-09-06,2584.0,2620.0,2555.1,2568.6,2566.95,1084494.0,28040.54
2018-09-07,2575.0,2644.3,2545.6,2625.0,2632.5,1306632.0,34055.77
2018-09-10,2623.8,2659.8,2555.0,2561.1,2563.9,1323873.0,34358.73
2018-09-11,2578.45,2586.45,2507.1,2538.05,2524.45,1136931.0,28836.73
2018-09-12,2526.0,2574.45,2487.6,2535.0,2529.15,1248825.0,31573.23
2018-09-14,2555.9,2595.0,2550.05,2581.85,2581.85,677333.0,17434.99
2018-09-17,2581.0,2615.0,2547.9,2572.1,2568.5,691773.0,17885.58
2018-09-18,2579.9,2637.0,2570.0,2598.9,2584.15,1111458.0,29004.49
2018-09-19,2603.4,2636.0,2571.0,2620.8,2607.1,869947.0,22692.07
2018-09-21,2643.95,2670.8,2441.1,2576.7,2556.25,1411007.0,36737.16
2018-09-24,2577.8,2600.95,2529.3,2561.6,2553.95,688659.0,17655.21
2018-09-25,2570.6,2619.25,2550.25,2616.25,2611.7,759251.0,19709.76
2018-09-26,2617.7,2664.2,2591.0,2592.0,2600.85,1206238.0,31673.66
2018-09-27,2609.9,2620.35,2529.0,2546.2,2541.0,1050352.0,26826.79
2018-09-28,2559.0,2577.0,2484.55,2530.0,2530.65,1069703.0,27154.42
2018-10-01,2531.0,2540.7,2440.35,2512.0,2508.6,762356.0,18922.8
2018-10-03,2517.0,2549.0,2482.0,2489.0,2489.55,705888.0,17728.99
2018-10-04,2469.0,2493.95,2360.25,2365.05,2372.45,804214.0,19499.04
2018-10-05,2356.0,2429.1,2350.3,2385.0,2394.55,736953.0,17648.13
2018-10-08,2395.0,2407.75,2332.0,2341.95,2340.1,603789.0,14261.3
2018-10-09,2357.65,2477.0,2341.95,2465.55,2454.15,1127674.0,27311.73
2018-10-10,2465.0,2514.05,2456.0,2480.95,2484.6,893571.0,22154.26
2018-10-11,2412.05,2516.0,2408.0,2458.4,2459.0,548027.0,13501.65
2018-10-12,2460.0,2490.95,2432.45,2450.0,2450.5,925386.0,22788.45
