Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,502.8,504.75,496.85,499.8,498.65,1639410.0,8216.16
2018-01-02,504.0,504.0,493.3,494.1,494.35,1424727.0,7080.55
2018-01-03,496.8,497.45,488.5,490.4,490.1,2205711.0,10862.32
2018-01-04,494.0,498.4,489.7,497.4,496.7,2194433.0,10828.68
2018-01-05,499.0,499.0,492.1,494.9,494.4,1170141.0,5785.67
2018-01-08,500.0,504.0,496.0,496.5,497.4,2279620.0,11387.44
2018-01-09,497.45,502.85,497.45,499.25,500.95,2521769.0,12628.91
2018-01-10,501.95,506.65,494.05,497.5,496.1,2860327.0,14341.68
2018-01-11,497.7,497.7,493.3,496.3,495.5,1226993.0,6075.66
2018-01-12,498.5,502.5,492.5,500.25,501.15,1836610.0,9142.04
2018-01-15,501.35,502.75,487.8,490.65,489.25,2140456.0,10590.8
2018-01-16,491.3,492.0,473.15,482.0,478.4,2123599.0,10239.49
2018-01-17,482.0,487.35,467.0,480.25,480.55,3741888.0,17780.61
2018-01-18,470.1,473.0,466.15,468.1,468.5,3484599.0,16320.74
2018-01-19,468.5,471.6,459.65,470.05,468.75,3365073.0,15658.14
2018-01-22,470.05,471.65,451.1,457.4,457.4,4637380.0,21190.51
2018-01-23,460.8,478.2,447.1,478.0,470.8,6286207.0,29008.75
2018-01-24,471.1,494.35,471.0,484.4,484.95,7562178.0,36753.98
2018-01-25,486.1,499.0,479.4,491.3,493.75,11190753.0,54987.05
2018-01-29,492.45,498.8,471.45,477.4,474.35,4257007.0,20403.97
2018-01-30,479.0,483.75,474.05,475.65,476.1,2885234.0,13823.34
2018-01-31,477.95,483.7,471.5,479.0,478.6,2470120.0,11772.45
2018-02-01,478.0,495.8,478.0,485.1,486.25,4610450.0,22432.22
2018-02-02,482.0,485.0,461.6,463.4,466.45,3418999.0,16253.95
2018-02-05,460.0,472.0,453.3,466.9,462.35,3277580.0,15205.9
2018-02-06,448.0,457.85,439.05,454.5,452.6,3048494.0,13641.38
2018-02-07,456.6,465.3,451.35,461.1,460.3,4091790.0,18688.57
2018-02-08,464.8,471.4,460.05,462.9,461.85,3560673.0,16526.96
2018-02-09,457.2,464.0,453.2,463.55,462.45,1881540.0,8634.36
2018-02-12,468.0,468.0,459.1,465.0,465.0,2042550.0,9460.93
2018-02-14,473.8,473.8,463.15,466.0,466.9,4658095.0,21811.91
2018-02-15,470.5,477.75,465.65,475.7,475.9,2110245.0,9983.5
2018-02-16,478.3,479.1,466.15,468.35,468.3,1364734.0,6438.97
2018-02-19,470.0,473.6,461.3,462.8,463.8,1586114.0,7414.35
2018-02-20,463.8,472.2,460.75,465.9,465.15,1333716.0,6190.06
2018-02-21,467.0,469.8,463.4,465.8,466.1,2322768.0,10838.57
2018-02-22,465.5,470.95,456.0,463.3,466.15,4506582.0,20855.87
2018-02-23,465.4,465.4,452.55,459.5,458.4,4127768.0,18866.74
2018-02-26,460.0,465.7,459.55,462.8,463.2,2110294.0,9786.48
2018-02-27,464.4,474.35,455.0,457.05,457.05,4588093.0,21316.18
2018-02-28,455.8,461.8,452.75,458.1,457.5,3198891.0,14627.71
2018-03-01,458.0,458.25,451.55,453.95,454.25,2148217.0,9773.8
2018-03-05,452.0,452.95,441.3,443.35,443.6,2919275.0,12980.08
2018-03-06,444.45,448.25,437.9,439.0,439.95,2476876.0,10988.7
2018-03-07,439.95,442.7,433.25,440.95,440.75,2256275.0,9903.02
2018-03-08,445.0,446.7,433.8,437.0,436.45,2519874.0,11036.34
2018-03-09,438.0,442.7,435.25,438.15,436.9,2011796.0,8825.24
2018-03-12,438.7,448.0,438.0,447.15,446.45,1934480.0,8563.96
2018-03-13,450.0,458.0,440.0,458.0,455.95,2779069.0,12573.83
2018-03-14,456.0,463.65,455.0,456.65,458.0,2442689.0,11217.38
2018-03-15,455.25,458.75,448.4,449.8,450.35,1924467.0,8738.27
2018-03-16,449.1,449.5,438.0,441.0,441.0,2916519.0,12906.23
2018-03-19,446.9,448.0,437.4,442.85,442.05,3006066.0,13265.05
2018-03-20,443.5,445.95,436.5,438.0,438.5,1975422.0,8717.29
2018-03-21,441.0,444.0,433.8,435.05,435.05,3550371.0,15539.66
2018-03-22,438.15,441.0,435.55,438.1,438.4,2574726.0,11306.47
2018-03-23,435.0,442.7,429.6,440.0,439.6,8750824.0,38110.15
2018-03-26,440.0,440.0,412.6,424.5,425.15,12402962.0,52154.26
2018-03-27,320.0,321.9,309.1,320.95,320.95,6812861.0,21630.63
2018-03-28,320.95,331.65,316.6,330.0,328.55,9038392.0,29409.25
2018-04-02,331.0,339.0,320.5,326.0,324.8,3555524.0,11678.91
2018-04-03,325.7,332.0,322.4,330.0,329.75,2496761.0,8141.03
2018-04-04,329.0,330.0,323.0,328.15,328.25,2967003.0,9686.19
2018-04-05,331.0,336.0,330.0,331.65,332.4,2734385.0,9108.93
2018-04-06,331.6,336.0,330.15,333.6,334.25,1681190.0,5595.26
2018-04-09,334.1,335.55,329.5,330.3,330.8,2032225.0,6735.97
2018-04-10,334.2,334.45,330.3,332.1,331.95,1976604.0,6560.04
2018-04-11,332.15,335.0,322.3,326.85,327.0,3422959.0,11204.17
2018-04-12,325.5,327.85,325.0,326.0,326.05,2207374.0,7196.96
2018-04-13,328.4,329.5,324.3,327.5,326.85,2223617.0,7267.45
2018-04-16,326.0,326.45,321.25,325.2,324.7,1564070.0,5058.86
2018-04-17,325.0,326.95,321.05,326.0,325.65,2010420.0,6515.0
2018-04-18,327.4,332.55,326.0,332.2,330.65,2141002.0,7067.58
2018-04-19,332.2,338.0,328.45,337.75,335.35,2661999.0,8835.42
2018-04-20,337.75,342.75,325.05,333.0,330.55,3959565.0,13124.1
2018-04-23,332.7,335.4,327.6,333.0,332.55,2550590.0,8481.87
2018-04-24,334.0,339.8,330.85,339.5,337.75,1714896.0,5735.51
2018-04-25,338.4,338.45,326.0,327.3,327.55,4974954.0,16438.97
2018-04-26,327.55,330.5,321.0,325.95,325.35,4159737.0,13558.4
2018-04-27,327.0,331.7,324.4,330.05,330.8,1890670.0,6208.85
