Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,1165.05,1169.8,1140.9,1146.95,1143.95,187524.0,2168.45
2018-01-02,1148.5,1154.1,1129.0,1142.9,1139.55,333459.0,3800.69
2018-01-03,1134.0,1149.35,1124.1,1129.0,1127.2,667578.0,7549.31
2018-01-04,1134.55,1175.5,1128.4,1175.0,1170.3,1008796.0,11623.31
2018-01-05,1176.7,1219.0,1170.75,1211.5,1214.2,1010643.0,12101.31
2018-01-08,1213.0,1215.5,1190.0,1206.2,1203.0,895318.0,10760.81
2018-01-09,1204.5,1243.9,1196.55,1242.8,1237.5,1060395.0,13018.08
2018-01-10,1240.85,1249.5,1224.2,1236.95,1235.5,742215.0,9185.17
2018-01-11,1245.0,1255.7,1221.85,1245.0,1244.0,752526.0,9319.32
2018-01-12,1247.5,1249.4,1211.85,1220.45,1221.65,790365.0,9670.96
2018-01-15,1223.1,1261.1,1221.65,1236.0,1242.85,1903308.0,23680.23
2018-01-16,1243.0,1258.0,1214.55,1235.25,1229.0,857580.0,10615.56
2018-01-17,1230.0,1255.0,1213.2,1248.7,1248.0,715242.0,8875.81
2018-01-18,1249.7,1255.0,1203.0,1217.65,1217.6,590715.0,7251.27
2018-01-19,1220.0,1231.55,1185.1,1223.3,1223.55,743167.0,9030.72
2018-01-22,1224.0,1241.9,1206.0,1238.55,1239.3,424445.0,5215.3
2018-01-23,1245.0,1247.55,1216.0,1225.0,1223.4,971547.0,11904.14
2018-01-24,1225.0,1225.0,1195.25,1197.0,1200.05,455748.0,5499.11
2018-01-25,1195.0,1211.85,1183.9,1189.35,1193.0,886429.0,10604.59
2018-01-29,1190.15,1200.8,1174.85,1177.55,1184.55,644825.0,7692.65
2018-01-30,1180.4,1184.9,1156.0,1157.55,1163.25,473199.0,5525.58
2018-01-31,1160.0,1167.95,1142.75,1162.0,1160.05,482212.0,5573.26
2018-02-01,1160.1,1199.1,1133.6,1192.75,1188.9,936996.0,10977.44
2018-02-02,1180.0,1182.95,1118.85,1127.5,1128.85,752121.0,8642.68
2018-02-05,1110.0,1124.3,1078.4,1101.8,1098.05,1197858.0,13146.53
2018-02-06,1067.0,1078.1,1027.2,1064.85,1065.45,1619688.0,17077.29
2018-02-07,1072.0,1090.5,1051.55,1054.05,1057.95,637821.0,6832.59
2018-02-08,1059.0,1115.3,1050.25,1115.3,1108.65,845285.0,9165.03
2018-02-09,1087.5,1124.0,1075.05,1108.35,1108.95,798027.0,8796.92
2018-02-12,1111.1,1136.55,1110.5,1129.95,1132.3,492269.0,5558.22
2018-02-14,1129.05,1152.7,1116.35,1119.0,1126.75,1022410.0,11599.1
2018-02-15,1130.0,1144.0,1099.0,1102.0,1103.65,700920.0,7836.7
2018-02-16,1109.8,1116.4,1090.0,1103.8,1100.05,413853.0,4559.97
2018-02-19,1100.05,1107.45,1081.65,1087.5,1089.7,402603.0,4406.29
2018-02-20,1092.65,1124.0,1089.0,1119.9,1118.65,399251.0,4435.96
2018-02-21,1124.0,1127.05,1100.0,1109.2,1110.6,402766.0,4475.55
2018-02-22,1114.75,1121.95,1102.6,1110.0,1110.4,776991.0,8626.22
2018-02-23,1113.0,1141.9,1113.0,1140.5,1136.7,461991.0,5220.51
2018-02-26,1148.7,1184.0,1142.6,1180.6,1180.6,815150.0,9525.18
2018-02-27,1192.35,1201.65,1160.3,1171.95,1171.95,795833.0,9398.72
2018-02-28,1163.2,1175.4,1145.85,1151.4,1152.7,1095669.0,12683.75
2018-03-01,1152.7,1187.0,1152.7,1165.0,1166.6,1136789.0,13365.23
2018-03-05,1160.0,1165.3,1138.0,1143.0,1141.75,474165.0,5441.46
2018-03-06,1149.0,1150.8,1122.0,1126.0,1133.95,497006.0,5676.0
2018-03-07,1130.0,1144.9,1110.85,1115.0,1114.9,676422.0,7621.64
2018-03-08,1124.75,1130.05,1089.95,1099.3,1100.65,997924.0,11001.95
2018-03-09,1106.9,1108.5,1094.8,1100.0,1100.35,756625.0,8333.41
2018-03-12,1106.35,1113.15,1100.3,1109.85,1106.0,797084.0,8820.99
2018-03-13,1108.0,1114.3,1098.2,1109.3,1109.2,843768.0,9339.55
2018-03-14,1106.5,1125.95,1104.85,1123.65,1121.75,969811.0,10853.6
2018-03-15,1123.0,1131.0,1102.0,1109.0,1107.95,966129.0,10810.58
2018-03-16,1111.75,1114.95,1090.1,1095.7,1093.55,1527267.0,16757.65
2018-03-19,1093.55,1104.7,1068.0,1100.05,1098.2,852311.0,9271.01
2018-03-20,1094.95,1104.0,1083.0,1094.0,1096.1,877345.0,9600.66
2018-03-21,1095.3,1103.5,1085.25,1090.35,1094.7,832145.0,9137.46
2018-03-22,1100.0,1100.0,1085.2,1091.55,1092.9,1317448.0,14372.07
2018-03-23,1071.0,1087.45,1046.8,1082.0,1082.6,943252.0,10094.21
2018-03-26,1087.0,1088.75,1048.75,1085.0,1080.6,1084040.0,11550.83
2018-03-27,1080.1,1096.75,1065.1,1090.35,1088.85,734225.0,7916.7
2018-03-28,1085.0,1101.0,1040.65,1044.0,1050.9,7144177.0,75315.75
2018-04-02,1054.0,1092.6,1045.0,1083.95,1089.25,1465741.0,15664.31
2018-04-03,1082.0,1092.6,1067.1,1088.0,1087.9,902614.0,9778.53
2018-04-04,1095.8,1095.85,1055.0,1061.8,1059.35,979864.0,10488.36
2018-04-05,1077.8,1099.25,1065.6,1096.5,1094.25,984637.0,10698.51
2018-04-06,1092.0,1102.5,1081.7,1085.0,1084.6,689054.0,7499.82
2018-04-09,1093.0,1094.35,1076.55,1078.8,1078.5,486076.0,5262.23
2018-04-10,1081.0,1090.05,1075.1,1084.15,1081.9,431388.0,4673.01
2018-04-11,1083.0,1084.5,1060.1,1068.0,1068.7,564081.0,6024.41
2018-04-12,1068.0,1068.15,1059.55,1064.25,1064.45,956526.0,10181.31
2018-04-13,1064.25,1074.0,1060.0,1061.55,1063.65,620868.0,6612.2
2018-04-16,1057.0,1097.3,1056.95,1094.45,1092.4,805704.0,8765.88
2018-04-17,1095.0,1099.0,1077.1,1095.7,1094.75,469533.0,5105.28
2018-04-18,1096.1,1100.5,1087.15,1090.9,1092.85,557999.0,6105.96
2018-04-19,1094.0,1115.0,1092.75,1101.1,1104.15,1114237.0,12345.14
2018-04-20,1100.7,1109.55,1085.0,1103.4,1100.8,353978.0,3879.62
2018-04-23,1102.8,1106.05,1082.0,1086.15,1085.1,674389.0,7357.96
2018-04-24,1090.1,1097.65,1078.95,1082.0,1080.4,578122.0,6269.49
2018-04-25,1077.5,1083.95,1049.0,1060.85,1062.35,1542093.0,16373.57
2018-04-26,1065.9,1074.9,1054.0,1070.0,1069.2,716698.0,7619.04
2018-04-27,1073.5,1089.0,1069.2,1081.55,1086.8,834828.0,9016.07
2018-04-30,1086.85,1100.0,1083.05,1087.95,1093.7,406941.0,4451.97
2018-05-02,1099.0,1114.9,1089.6,1102.0,1095.75,2651627.0,29348.02
2018-05-03,1098.9,1106.5,1078.5,1083.1,1087.5,738668.0,8111.21
2018-05-04,1089.0,1089.0,1069.3,1072.35,1073.9,581931.0,6273.01
2018-05-07,1077.9,1082.4,1064.0,1079.0,1077.0,805444.0,8641.68
2018-05-08,1079.7,1104.95,1075.5,1090.0,1092.6,925692.0,10126.51
2018-05-09,1086.2,1097.8,1081.6,1089.0,1094.95,300503.0,3277.22
2018-05-10,1085.1,1099.5,1075.3,1090.1,1093.05,934427.0,10155.76
2018-05-11,1096.2,1108.85,1082.4,1100.5,1100.75,1042546.0,11479.47
2018-05-14,1101.05,1106.9,1090.85,1095.0,1100.1,962594.0,10599.57
2018-05-15,1100.0,1103.9,1083.65,1090.0,1089.45,1196087.0,13107.21
2018-05-16,1080.1,1089.0,1071.0,1080.0,1082.4,455148.0,4924.28
2018-05-17,1082.4,1096.15,1076.5,1084.0,1083.2,837432.0,9102.09
2018-05-18,1083.0,1091.25,1058.0,1065.0,1062.85,768391.0,8199.47
2018-05-21,1061.4,1071.35,1030.05,1036.0,1035.85,937826.0,9733.45
2018-05-22,1035.5,1042.5,1011.0,1042.0,1039.5,636033.0,6560.04
2018-05-23,1045.0,1059.0,1027.05,1047.95,1047.35,1844041.0,19202.92
2018-05-24,1048.0,1054.9,995.5,1021.0,1021.7,1015243.0,10346.23
2018-05-25,1026.0,1037.7,1007.25,1030.05,1030.65,1022036.0,10392.06
2018-05-28,1041.0,1070.0,1022.0,1064.9,1060.35,622989.0,6565.4
2018-05-29,1064.9,1076.0,1050.4,1056.0,1057.8,672245.0,7161.24
2018-05-30,1046.1,1058.35,1034.2,1037.15,1041.5,728869.0,7618.67
2018-05-31,1042.9,1093.6,1029.05,1048.0,1039.8,1436944.0,14906.04
2018-06-01,1044.9,1048.55,1021.05,1026.0,1028.7,910185.0,9356.88
2018-06-04,1030.0,1045.25,1015.4,1033.8,1034.85,835325.0,8625.46
2018-06-05,1033.0,1033.95,1013.45,1027.0,1024.25,670548.0,6849.97
2018-06-06,1023.0,1042.65,1012.45,1035.0,1034.1,595318.0,6146.57
2018-06-07,1039.0,1057.0,1037.05,1044.0,1043.6,594683.0,6239.94
2018-06-08,1040.0,1040.0,1024.0,1029.9,1028.6,808741.0,8324.12
2018-06-11,1030.25,1060.0,1026.8,1048.0,1049.1,416553.0,4366.41
2018-06-12,1052.8,1054.0,1032.0,1037.75,1038.8,564270.0,5869.3
2018-06-13,1038.9,1043.4,1031.5,1036.0,1037.0,421332.0,4369.02
2018-06-14,1035.9,1049.0,1031.35,1035.0,1036.2,598053.0,6221.25
2018-06-15,1024.0,1034.9,1018.5,1034.85,1031.8,641700.0,6602.67
2018-06-18,1034.85,1035.0,1016.05,1019.0,1020.1,544263.0,5552.4
2018-06-19,1016.0,1016.0,1000.2,1012.0,1010.1,946424.0,9516.61
2018-06-20,1015.9,1023.4,1004.0,1011.3,1017.3,870965.0,8831.95
2018-06-21,1017.0,1019.0,1007.0,1012.0,1011.95,587811.0,5944.0
2018-06-22,1009.95,1015.0,991.9,1014.75,1010.4,706320.0,7087.32
2018-06-25,1012.25,1020.55,1002.0,1006.5,1006.55,744023.0,7513.35
2018-06-26,1000.6,1039.9,995.3,1031.85,1036.7,819530.0,8411.88
2018-06-27,1031.1,1035.0,1021.5,1021.5,1025.75,1050865.0,10780.13
2018-06-28,1015.9,1021.35,989.2,1003.05,1003.6,1690666.0,16946.49
2018-06-29,1009.8,1015.0,997.2,1006.0,1006.85,594871.0,5988.51
2018-07-02,1004.0,1008.0,982.05,985.3,987.3,495288.0,4896.94
2018-07-03,981.0,992.75,964.05,985.35,985.85,534138.0,5233.82
2018-07-04,985.0,985.5,961.35,966.0,965.45,905422.0,8750.95
2018-07-05,965.9,974.2,952.05,969.0,968.6,1556817.0,14982.82
2018-07-06,971.9,993.9,964.9,988.1,988.55,796997.0,7855.97
2018-07-09,991.5,994.9,979.5,985.0,984.05,880053.0,8666.96
2018-07-10,989.8,999.0,977.55,990.5,990.65,831283.0,8205.1
2018-07-11,985.4,990.0,974.1,976.95,978.8,539475.0,5312.32
2018-07-12,981.6,985.0,956.0,961.0,960.2,786923.0,7667.03
2018-07-13,961.4,966.0,931.7,934.0,935.35,1113477.0,10496.85
2018-07-16,937.0,937.65,914.2,927.0,928.7,600048.0,5553.79
2018-07-17,923.0,948.8,919.15,940.0,940.75,666308.0,6237.79
2018-07-18,943.9,953.0,933.25,940.0,943.6,663536.0,6252.49
2018-07-19,941.25,946.8,925.55,942.0,935.75,594073.0,5560.87
2018-07-20,937.1,944.8,927.9,932.35,939.1,471589.0,4430.89
2018-07-23,939.0,955.0,916.0,923.0,921.4,1153077.0,10727.31
2018-07-24,922.95,1002.0,922.95,997.0,999.55,3278657.0,32265.18
2018-07-25,992.5,1005.95,968.6,983.05,985.8,1034307.0,10188.94
2018-07-26,985.8,1030.0,980.0,1021.5,1024.2,2248624.0,22810.38
2018-07-27,1018.1,1030.0,1000.0,1029.0,1025.45,651826.0,6623.18
2018-07-30,1020.25,1026.85,1006.1,1024.05,1020.8,718797.0,7316.44
2018-07-31,1015.0,1040.5,1011.2,1025.0,1025.2,717202.0,7359.29
2018-08-01,1025.0,1037.0,1017.05,1030.0,1030.35,586230.0,6037.93
2018-08-02,1027.0,1028.0,1000.65,1005.6,1014.2,644959.0,6543.8
2018-08-03,1015.9,1017.95,1002.0,1005.0,1006.2,751036.0,7577.21
2018-08-06,1011.8,1015.0,992.0,998.05,999.4,624431.0,6247.02
2018-08-07,1004.5,1035.0,999.65,1019.0,1018.85,1091983.0,11127.13
2018-08-08,1024.7,1026.9,1004.75,1009.95,1009.1,599294.0,6085.91
2018-08-09,1014.0,1015.1,992.05,996.8,997.35,673431.0,6739.18
2018-08-10,997.35,997.9,967.05,973.0,971.35,939025.0,9172.1
2018-08-13,968.8,998.0,957.55,989.5,986.85,1096023.0,10804.99
2018-08-14,993.8,1004.0,972.1,985.0,986.6,3353226.0,33185.79
2018-08-16,986.65,1009.95,981.75,1000.2,999.45,3101487.0,31006.14
2018-08-17,1005.0,1048.65,1001.0,1042.75,1045.85,2665575.0,27563.28
2018-08-20,1045.0,1050.0,1033.0,1038.0,1039.85,1481459.0,15408.14
2018-08-21,1043.0,1070.0,1028.0,1063.45,1065.4,1750197.0,18405.13
2018-08-23,1068.05,1068.05,1040.0,1042.0,1045.55,931698.0,9764.72
2018-08-24,1044.0,1068.0,1033.0,1061.0,1060.3,1694084.0,17923.57
2018-08-27,1063.1,1093.0,1063.1,1073.0,1078.45,2002068.0,21710.96
2018-08-28,1079.9,1088.75,1063.3,1068.0,1072.1,690805.0,7425.34
2018-08-29,1067.95,1092.75,1065.6,1072.25,1075.0,1038667.0,11222.75
2018-08-30,1075.0,1080.8,1063.4,1075.1,1074.0,1530536.0,16442.41
2018-08-31,1066.5,1077.0,1059.0,1071.0,1067.5,1380945.0,14764.94
2018-09-03,1078.0,1078.0,1054.0,1064.05,1065.95,907185.0,9661.79
2018-09-04,1062.0,1062.9,1017.3,1022.4,1023.15,874011.0,9069.68
2018-09-05,1023.85,1031.85,1008.5,1022.1,1028.1,692839.0,7062.82
2018-09-06,1030.0,1038.75,1017.2,1024.95,1030.9,542542.0,5584.54
2018-09-07,1032.7,1035.45,1015.5,1026.0,1025.35,410461.0,4209.8
2018-09-10,1024.8,1032.25,1006.2,1020.0,1016.05,584353.0,5938.39
2018-09-11,1022.5,1025.05,993.8,1007.0,1003.95,1148975.0,11582.99
2018-09-12,1014.8,1030.8,996.2,1020.0,1019.6,998093.0,10143.92
2018-09-14,1025.0,1066.55,1024.1,1063.0,1063.7,1041898.0,10943.39
2018-09-17,1053.1,1079.2,1044.0,1064.35,1065.2,742265.0,7903.75
2018-09-18,1066.5,1074.0,1054.05,1061.6,1066.85,1274920.0,13604.36
2018-09-19,1061.6,1077.0,1052.0,1068.25,1068.2,1138044.0,12166.61
2018-09-21,1071.5,1082.0,998.0,1050.55,1051.15,1442580.0,15220.35
2018-09-24,1051.15,1052.0,1014.25,1018.9,1019.45,775231.0,7974.71
2018-09-25,1023.0,1043.4,1008.0,1039.95,1039.1,703342.0,7254.86
2018-09-26,1042.2,1050.0,1033.45,1040.0,1044.9,1239047.0,12886.34
2018-09-27,1042.95,1066.5,1016.6,1030.0,1025.5,1393785.0,14406.16
2018-09-28,1031.0,1036.5,1003.4,1015.05,1021.5,1330290.0,13553.6
2018-10-01,1021.0,1023.0,982.0,1001.5,998.7,925736.0,9202.29
2018-10-03,993.0,993.15,962.3,970.1,969.5,1144829.0,11109.65
2018-10-04,958.0,974.0,935.1,954.75,959.3,1432583.0,13680.27
2018-10-05,960.0,960.0,917.05,922.25,922.75,1300211.0,12129.49
2018-10-08,916.0,924.8,901.0,915.95,921.05,1138491.0,10383.43
2018-10-09,933.9,933.9,875.75,902.05,902.05,1500498.0,13461.04
2018-10-10,902.0,915.0,893.15,907.7,909.65,687920.0,6246.35
2018-10-11,889.0,889.0,860.0,878.0,878.35,1642107.0,14352.71
2018-10-12,892.4,901.0,879.05,894.0,895.1,1357907.0,12090.02
2018-10-15,897.0,903.8,881.3,895.0,897.9,690343.0,6173.46
2018-10-16,898.7,912.0,895.5,903.95,905.5,1003774.0,9101.76
2018-10-17,915.6,915.6,878.85,884.95,881.95,529956.0,4737.16
2018-10-19,877.4,888.95,866.7,881.0,874.75,544709.0,4781.19
2018-10-22,882.6,885.3,852.0,854.0,857.35,682522.0,5925.57
2018-10-23,847.0,863.9,819.1,829.7,825.95,1277735.0,10692.1
2018-10-24,835.0,840.25,797.0,808.4,809.0,1780002.0,14446.37
2018-10-25,800.4,800.4,779.0,785.9,784.7,2025198.0,15958.52
2018-10-26,786.5,786.5,756.0,756.5,759.05,2634654.0,20132.46
2018-10-29,763.7,788.5,763.7,780.35,782.45,3030820.0,23522.68
2018-10-30,784.7,809.45,784.65,804.0,804.75,2886771.0,23033.82
2018-10-31,805.9,838.9,787.0,831.0,833.55,2355534.0,19063.01
2018-11-01,839.95,856.0,820.15,846.5,845.45,1057055.0,8874.34
2018-11-02,856.9,863.0,841.25,844.6,847.6,2491268.0,21227.69
2018-11-05,846.0,857.0,840.3,854.9,853.35,1310442.0,11128.47
2018-11-06,856.75,862.0,842.4,850.0,851.0,507408.0,4323.35
2018-11-07,860.0,860.7,852.65,857.0,858.25,72522.0,621.99
2018-11-09,859.8,870.0,854.3,869.0,868.0,619765.0,5361.45
2018-11-12,868.0,874.4,849.0,865.0,860.8,1108987.0,9560.81
2018-11-13,861.6,880.05,856.9,880.0,876.25,1343963.0,11726.62
2018-11-14,881.0,891.7,868.0,881.0,876.35,1144940.0,10077.32
2018-11-15,855.0,855.0,795.2,806.1,808.7,4467572.0,36177.28
2018-11-16,816.0,837.7,810.0,829.0,831.9,3780986.0,31160.2
2018-11-19,836.0,861.75,830.0,848.15,849.4,3349333.0,28552.58
2018-11-20,847.7,863.0,832.3,837.5,837.95,1645503.0,13943.73
2018-11-21,845.0,868.25,841.0,867.0,863.75,926544.0,7926.77
2018-11-22,865.0,865.85,840.6,842.0,843.35,636114.0,5445.95
2018-11-26,847.0,850.6,831.1,845.5,845.35,853656.0,7180.18
2018-11-27,844.0,862.5,839.65,858.5,860.6,745026.0,6360.03
2018-11-28,862.0,865.0,834.0,836.1,840.8,996661.0,8457.53
2018-11-29,843.0,857.0,837.4,855.0,851.9,1440038.0,12199.58
2018-11-30,855.0,872.75,850.8,864.0,866.25,1744863.0,15025.74
2018-12-03,869.7,883.0,857.5,869.35,864.55,1039852.0,9056.32
2018-12-04,867.7,870.2,842.35,845.0,845.7,650992.0,5570.58
2018-12-05,843.2,843.2,816.25,827.4,826.0,1206275.0,9940.86
2018-12-06,822.0,826.05,792.55,795.0,795.0,1759719.0,14161.11
2018-12-07,802.0,809.0,793.1,804.0,802.3,892722.0,7150.4
2018-12-10,790.0,796.2,778.0,790.0,790.4,592908.0,4665.95
2018-12-11,784.0,804.95,775.0,800.15,800.5,987949.0,7861.54
2018-12-12,805.0,816.0,797.3,809.65,811.55,1230426.0,9957.52
2018-12-13,819.0,837.9,815.6,837.85,829.4,1178039.0,9743.0
