Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,889.0,890.7,875.95,876.9,878.7,643144.0,5662.49
2018-01-02,876.9,895.0,876.85,894.0,892.8,953259.0,8467.26
2018-01-03,893.0,907.8,893.0,896.0,897.3,1291953.0,11650.24
2018-01-04,896.0,899.45,883.05,893.15,893.1,596730.0,5302.95
2018-01-05,888.25,903.0,882.3,899.5,900.05,746146.0,6690.99
2018-01-08,900.15,903.4,895.1,896.15,900.5,1176584.0,10577.73
2018-01-09,900.5,902.85,885.0,893.7,893.85,1252135.0,11169.04
2018-01-10,892.0,918.0,891.1,915.9,915.85,1700286.0,15408.98
2018-01-11,919.0,924.9,910.05,914.0,916.9,2121723.0,19487.58
2018-01-12,918.5,928.0,912.25,926.75,925.9,990349.0,9125.69
2018-01-15,925.0,931.1,905.5,909.85,909.25,1268243.0,11597.3
2018-01-16,914.1,955.0,910.0,949.3,949.25,4481702.0,42432.62
2018-01-17,950.0,963.6,943.3,955.0,952.85,2749461.0,26237.16
2018-01-18,953.0,959.65,940.5,957.25,954.25,934750.0,8900.02
2018-01-19,957.0,967.0,946.15,958.3,958.3,2374219.0,22731.16
2018-01-22,960.0,974.9,945.0,972.0,966.35,2215659.0,21170.59
2018-01-23,969.95,1000.0,968.55,994.9,995.35,2507601.0,24797.37
2018-01-24,994.0,1040.7,992.0,1020.0,1018.45,4634888.0,47343.55
2018-01-25,1018.8,1020.0,990.05,1020.0,1009.55,2653727.0,26681.85
2018-01-29,1010.0,1021.0,1005.05,1005.75,1012.05,2006648.0,20370.47
2018-01-30,1017.5,1017.5,998.0,1000.0,1000.4,1355676.0,13596.54
2018-01-31,999.95,1017.9,981.7,984.05,986.55,1610572.0,16066.72
2018-02-01,982.1,1014.95,969.0,991.85,984.9,1527829.0,15129.47
2018-02-02,980.0,1007.7,977.85,991.25,990.9,1672528.0,16596.5
2018-02-05,990.0,1001.8,980.0,992.3,993.15,1088789.0,10782.32
2018-02-06,964.95,968.75,948.05,952.3,953.85,1655497.0,15817.7
2018-02-07,958.2,959.0,922.0,938.25,938.55,2025848.0,18980.81
2018-02-08,945.75,963.0,937.5,942.3,944.35,1448268.0,13792.17
2018-02-09,935.0,970.6,922.55,965.5,964.0,1728253.0,16460.15
2018-02-12,965.5,972.75,937.35,940.0,939.15,1487794.0,14073.74
