Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,1710.0,1711.05,1677.5,1688.8,1683.75,1387222.0,23411.61
2018-01-02,1690.0,1706.25,1685.4,1703.9,1703.25,1468475.0,24915.89
2018-01-03,1705.2,1711.8,1695.0,1700.8,1700.8,2133332.0,36385.38
2018-01-04,1708.95,1708.95,1691.05,1701.0,1703.2,1585554.0,26964.72
2018-01-05,1716.0,1731.0,1705.85,1729.0,1725.2,2302884.0,39487.28
2018-01-08,1729.25,1745.0,1729.0,1740.0,1740.95,2997037.0,52105.01
2018-01-09,1743.85,1748.35,1725.0,1731.0,1735.05,1470161.0,25498.72
2018-01-10,1730.0,1739.5,1721.2,1721.2,1726.45,1465727.0,25339.86
2018-01-11,1729.9,1745.0,1724.4,1742.0,1741.35,1680803.0,29157.38
2018-01-12,1744.0,1764.95,1740.6,1753.1,1760.95,3280043.0,57541.82
2018-01-15,1790.0,1886.8,1778.05,1863.0,1871.2,9486397.0,174992.88
2018-01-16,1870.0,1870.0,1835.75,1854.0,1845.95,5373079.0,99310.51
2018-01-17,1841.0,1869.0,1841.0,1854.0,1858.35,3622589.0,67198.85
2018-01-18,1875.45,1918.65,1865.6,1895.0,1896.8,6605642.0,125488.26
2018-01-19,1897.0,1912.8,1894.35,1904.0,1901.25,2833442.0,53924.75
2018-01-22,1901.0,1924.35,1863.95,1866.3,1872.0,3649174.0,68826.54
2018-01-23,1874.0,1896.9,1870.2,1886.0,1884.65,2158639.0,40676.13
2018-01-24,1886.6,1919.55,1880.0,1911.25,1911.2,3401495.0,64846.42
2018-01-25,1917.0,1922.5,1883.5,1903.35,1908.3,4622281.0,87963.89
2018-01-29,1915.0,1986.05,1909.9,1971.5,1967.6,6305147.0,123131.61
2018-01-30,1971.5,1971.5,1927.9,1938.0,1937.5,4066082.0,79077.9
2018-01-31,1932.25,1963.05,1918.0,1955.85,1956.3,3665385.0,71179.34
2018-02-01,1963.0,1975.3,1931.8,1967.0,1967.55,3838192.0,75311.48
2018-02-02,1946.0,1946.0,1895.0,1900.0,1903.85,3272591.0,62541.47
2018-02-05,1866.1,1886.0,1811.8,1824.95,1823.35,6082208.0,111588.34
2018-02-06,1769.0,1808.8,1757.05,1796.95,1788.6,3601190.0,64131.33
2018-02-07,1795.0,1806.65,1767.05,1781.75,1785.35,3549234.0,63096.98
2018-02-08,1788.0,1836.4,1787.5,1811.0,1811.8,1865933.0,33877.81
2018-02-09,1780.25,1783.45,1762.0,1776.65,1773.05,2773971.0,49169.05
2018-02-12,1777.1,1812.3,1760.7,1811.0,1805.45,3194895.0,57031.56
2018-02-14,1820.0,1833.0,1805.0,1807.0,1814.0,3923887.0,71383.92
2018-02-15,1828.9,1851.0,1819.15,1827.75,1829.5,3382968.0,62155.11
2018-02-16,1835.5,1836.95,1804.2,1818.1,1815.5,2368880.0,43064.19
2018-02-19,1827.75,1830.2,1801.0,1814.1,1814.05,1603737.0,29100.42
2018-02-20,1832.9,1840.0,1802.5,1814.0,1811.75,2523482.0,45964.2
2018-02-21,1825.0,1832.7,1816.0,1825.0,1824.8,3795216.0,69248.91
2018-02-22,1819.7,1825.0,1807.7,1824.0,1819.25,6229874.0,113319.89
2018-02-23,1826.85,1827.4,1815.5,1820.2,1824.2,2023292.0,36869.73
2018-02-26,1830.0,1852.75,1821.35,1842.0,1843.25,2253522.0,41442.22
2018-02-27,1850.0,1851.0,1819.05,1824.9,1828.65,2558313.0,46832.57
2018-02-28,1830.0,1832.0,1803.6,1811.0,1808.7,2802070.0,50944.38
2018-03-01,1811.0,1818.5,1801.0,1816.0,1814.15,3272003.0,59349.36
2018-03-05,1814.0,1814.0,1780.3,1790.0,1789.6,2163209.0,38743.4
2018-03-06,1803.9,1819.0,1758.1,1769.95,1782.8,2899309.0,52345.89
2018-03-07,1774.35,1782.2,1756.1,1765.0,1761.75,1624922.0,28767.97
2018-03-08,1772.9,1803.55,1771.7,1795.0,1798.75,3174098.0,56793.17
2018-03-09,1801.0,1834.3,1801.0,1815.0,1818.6,3000976.0,54646.05
2018-03-12,1831.6,1865.35,1827.05,1857.75,1858.05,3242604.0,59927.54
2018-03-13,1850.0,1881.5,1850.0,1864.4,1868.5,3264920.0,61126.3
2018-03-14,1857.25,1863.8,1836.05,1847.9,1844.7,1649636.0,30429.41
2018-03-15,1846.0,1847.7,1827.4,1834.35,1830.0,1548960.0,28429.18
2018-03-16,1830.0,1832.0,1784.65,1800.0,1791.4,8008654.0,144053.25
2018-03-19,1799.0,1806.85,1768.45,1776.85,1774.5,3986719.0,71157.21
2018-03-20,1771.0,1808.5,1771.0,1800.0,1800.05,3441458.0,61687.57
2018-03-21,1820.0,1830.4,1803.6,1820.0,1817.85,3574861.0,65087.13
2018-03-22,1820.0,1838.5,1801.75,1811.95,1809.55,2664935.0,48465.78
2018-03-23,1787.7,1799.55,1776.1,1790.0,1789.6,2788553.0,49852.37
2018-03-26,1781.0,1835.35,1778.25,1825.6,1830.15,1922453.0,34834.96
2018-03-27,1837.9,1838.0,1813.9,1823.2,1823.15,3597668.0,65657.63
2018-03-28,1821.0,1830.95,1812.75,1821.0,1825.6,4010323.0,73123.88
2018-04-02,1830.95,1854.15,1828.95,1837.0,1838.05,2607397.0,47900.81
2018-04-03,1836.0,1846.55,1815.6,1824.75,1825.7,1950749.0,35643.98
2018-04-04,1830.7,1831.8,1792.0,1800.0,1803.3,2268911.0,41010.15
2018-04-05,1821.0,1830.0,1812.2,1824.45,1824.45,3549233.0,64602.16
2018-04-06,1827.0,1837.8,1820.6,1828.0,1829.0,3260963.0,59682.47
2018-04-09,1834.85,1847.0,1825.0,1835.1,1836.7,1480293.0,27226.54
2018-04-10,1848.0,1851.65,1815.1,1818.25,1817.5,1673162.0,30537.24
2018-04-11,1823.5,1827.8,1802.6,1814.0,1812.4,1917617.0,34776.75
