Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,1872.7,1880.75,1850.5,1855.0,1854.5,1645129.0,30636.23
2018-01-02,1858.55,1875.0,1858.55,1869.8,1872.35,1194079.0,22308.59
2018-01-03,1875.0,1878.25,1851.2,1853.85,1852.65,1132822.0,21059.22
2018-01-04,1853.0,1865.5,1853.0,1859.25,1859.9,593444.0,11041.25
2018-01-05,1863.0,1868.05,1855.55,1863.05,1863.6,717717.0,13368.16
2018-01-08,1865.0,1870.7,1857.75,1864.0,1860.6,1142577.0,21273.31
2018-01-09,1862.0,1869.85,1855.0,1862.7,1863.7,1326382.0,24692.25
2018-01-10,1865.2,1867.9,1857.3,1860.45,1864.2,1153972.0,21505.41
2018-01-11,1864.2,1876.0,1856.25,1873.95,1872.55,1014774.0,18962.96
2018-01-12,1873.0,1878.15,1860.0,1865.0,1865.3,1084177.0,20258.77
2018-01-15,1869.95,1904.4,1859.85,1893.05,1897.75,3144111.0,59485.66
2018-01-16,1903.45,1910.0,1885.25,1900.1,1900.15,1611346.0,30609.51
2018-01-17,1897.0,1902.55,1887.0,1891.6,1890.5,726374.0,13750.66
2018-01-18,1924.0,1954.0,1918.05,1933.05,1934.3,4162385.0,80739.93
2018-01-19,1935.15,1959.9,1919.25,1949.35,1952.2,2863997.0,55774.73
2018-01-22,1960.0,1988.0,1953.15,1962.5,1963.35,2212442.0,43581.08
2018-01-23,1965.0,1966.7,1943.3,1951.5,1951.3,1261949.0,24656.12
2018-01-24,1952.55,1969.0,1950.6,1957.6,1957.65,1197642.0,23450.01
2018-01-25,1953.9,1980.0,1950.5,1969.0,1974.95,2180917.0,42938.45
2018-01-29,1978.0,2006.95,1978.0,2000.6,1999.65,2058973.0,41090.64
2018-01-30,1997.8,2001.9,1984.15,1995.55,1995.5,1599390.0,31892.37
2018-01-31,1989.4,2013.5,1987.0,2004.6,2005.7,1735837.0,34770.97
2018-02-01,2006.0,2015.0,1985.3,1986.5,1991.15,1630355.0,32624.89
2018-02-02,1986.0,1989.9,1941.5,1941.5,1948.0,1836531.0,36068.12
2018-02-05,1918.0,1935.25,1905.85,1918.0,1913.85,1981696.0,37984.1
2018-02-06,1860.0,1912.0,1836.3,1898.8,1896.8,2687451.0,50224.69
2018-02-07,1907.0,1907.0,1862.4,1868.5,1872.8,2091243.0,39219.72
2018-02-08,1884.0,1898.6,1866.5,1882.0,1880.95,1292861.0,24399.54
2018-02-09,1847.9,1864.7,1844.1,1852.0,1849.5,1602238.0,29689.66
2018-02-12,1860.0,1886.0,1855.15,1880.0,1876.65,1095277.0,20508.32
2018-02-14,1889.8,1897.9,1874.65,1879.85,1883.15,894297.0,16898.25
