Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,3810.0,3810.0,3740.0,3756.0,3749.1,201102.0,7556.0
2018-01-02,3781.0,3784.35,3719.25,3740.05,3743.85,258156.0,9681.03
2018-01-03,3728.0,3764.4,3728.0,3755.2,3755.2,274963.0,10315.76
2018-01-04,3755.0,3759.95,3721.55,3747.8,3738.9,196775.0,7341.58
2018-01-05,3758.7,3758.7,3726.2,3752.0,3744.65,234199.0,8759.52
2018-01-08,3773.0,3792.0,3745.3,3784.75,3786.75,249549.0,9430.8
2018-01-09,3800.0,3804.8,3742.65,3743.6,3749.45,290158.0,10930.85
2018-01-10,3740.0,3752.55,3725.0,3745.0,3736.9,250123.0,9355.19
2018-01-11,3740.7,3743.2,3700.2,3715.4,3705.65,366135.0,13595.46
2018-01-12,3726.9,3726.9,3650.6,3679.1,3687.35,363795.0,13446.08
2018-01-15,3687.7,3700.0,3613.65,3620.05,3628.8,229198.0,8363.01
2018-01-16,3637.7,3664.0,3578.15,3587.7,3586.1,271813.0,9837.19
2018-01-17,3586.0,3590.15,3526.3,3580.3,3566.85,501484.0,17792.8
2018-01-18,3586.0,3643.0,3576.05,3591.1,3593.35,345926.0,12492.82
2018-01-19,3558.0,3620.0,3552.3,3593.25,3589.75,295410.0,10553.22
2018-01-22,3592.75,3621.9,3589.1,3609.1,3602.95,320126.0,11552.29
2018-01-23,3634.0,3635.0,3608.25,3628.0,3630.0,285236.0,10338.94
2018-01-24,3629.7,3650.0,3600.0,3645.5,3645.5,312383.0,11335.01
2018-01-25,3659.9,3659.9,3561.0,3586.5,3571.2,487836.0,17500.9
2018-01-29,3584.7,3658.25,3574.55,3650.0,3641.75,403110.0,14536.02
2018-01-30,3657.4,3696.0,3649.9,3682.6,3687.85,540432.0,19873.39
2018-01-31,3703.0,3747.9,3682.0,3692.15,3691.45,558327.0,20712.95
2018-02-01,3695.15,3744.0,3692.5,3729.65,3732.95,346581.0,12912.08
2018-02-02,3729.7,3752.45,3612.7,3620.0,3623.45,469510.0,17205.68
2018-02-05,3598.0,3662.6,3550.05,3655.65,3636.4,319150.0,11538.19
2018-02-06,3527.3,3564.8,3450.0,3539.5,3541.85,442426.0,15609.66
2018-02-07,3618.9,3620.0,3542.5,3562.0,3566.4,336709.0,12030.91
2018-02-08,3570.0,3615.95,3555.0,3574.45,3582.2,325607.0,11680.25
2018-02-09,3536.8,3576.35,3530.1,3545.5,3546.1,604849.0,21481.72
2018-02-12,3566.0,3616.7,3545.5,3615.25,3611.9,385092.0,13862.56
2018-02-14,3620.4,3624.0,3562.65,3599.5,3596.05,315246.0,11334.25
2018-02-15,3565.0,3575.0,3520.0,3525.1,3527.25,221710.0,7863.52
2018-02-16,3549.0,3549.8,3485.0,3494.25,3494.2,219454.0,7710.86
2018-02-19,3502.0,3519.35,3442.0,3479.8,3465.7,246616.0,8565.1
2018-02-20,3466.0,3518.0,3443.25,3499.0,3477.45,340087.0,11876.95
2018-02-21,3517.8,3517.8,3460.0,3505.0,3490.75,266352.0,9277.23
2018-02-22,3484.0,3499.3,3458.7,3471.05,3481.2,434663.0,15117.88
2018-02-23,3483.4,3508.0,3455.0,3494.75,3494.7,142023.0,4948.33
2018-02-26,3519.0,3549.95,3500.4,3541.9,3537.85,361326.0,12779.84
2018-02-27,3573.1,3593.95,3545.0,3584.85,3585.5,320893.0,11480.91
2018-02-28,3525.0,3613.0,3525.0,3588.25,3596.7,362559.0,13020.27
2018-03-01,3575.0,3596.95,3565.15,3580.0,3576.9,200696.0,7177.58
2018-03-05,3578.0,3581.9,3535.0,3570.0,3556.45,242671.0,8623.85
2018-03-06,3571.1,3595.0,3544.7,3552.5,3561.9,380991.0,13639.16
2018-03-07,3550.0,3560.0,3515.0,3542.05,3554.4,234750.0,8312.65
2018-03-08,3561.0,3601.0,3545.65,3600.0,3586.7,145720.0,5202.93
2018-03-09,3605.9,3661.45,3581.0,3589.3,3586.35,272293.0,9873.41
2018-03-12,3600.4,3718.0,3599.85,3707.3,3694.5,192336.0,7032.68
2018-03-13,3694.95,3729.75,3672.0,3690.0,3701.2,233650.0,8657.87
2018-03-14,3680.0,3687.2,3622.0,3642.0,3639.35,192489.0,7017.16
2018-03-15,3641.9,3690.0,3632.0,3643.6,3640.8,198082.0,7249.1
2018-03-16,3665.0,3665.0,3530.65,3542.0,3546.1,462796.0,16512.28
2018-03-19,3546.0,3549.0,3490.8,3517.85,3515.3,252482.0,8868.39
2018-03-20,3498.1,3537.0,3498.1,3510.6,3513.8,212901.0,7483.69
