Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,273.0,277.9,270.0,271.2,271.15,4614411.0,12584.96
2018-01-02,274.4,274.4,268.1,272.25,271.9,4546324.0,12329.99
2018-01-03,273.4,279.35,273.1,276.5,276.5,7285874.0,20156.72
2018-01-04,277.1,281.3,274.8,280.7,279.8,10346774.0,28862.07
2018-01-05,282.0,284.0,275.1,276.15,276.4,7084973.0,19781.93
2018-01-08,277.0,279.05,273.7,276.2,276.15,4157464.0,11465.31
2018-01-09,277.55,277.55,270.65,272.1,271.5,5197857.0,14153.59
2018-01-10,272.8,276.5,266.6,268.8,268.8,7472579.0,20222.11
2018-01-11,268.8,271.15,266.8,267.55,267.75,6502699.0,17467.34
2018-01-12,269.0,271.6,266.65,268.45,268.85,4435500.0,11933.03
2018-01-15,270.2,274.65,265.8,265.95,266.7,6592272.0,17784.42
2018-01-16,267.8,268.0,259.7,260.35,260.55,8447591.0,22154.49
2018-01-17,260.3,265.25,256.45,263.15,262.75,11037340.0,28746.14
2018-01-18,263.7,263.7,252.1,253.7,253.9,11341249.0,29019.18
2018-01-19,254.0,259.35,252.2,258.2,258.0,5898314.0,15045.33
2018-01-22,258.0,258.8,251.1,256.4,255.1,6230212.0,15812.83
2018-01-23,256.1,270.7,256.1,265.0,264.95,17400430.0,46338.23
2018-01-24,263.55,264.4,256.8,258.05,258.7,6409442.0,16637.86
2018-01-25,259.3,266.85,256.4,259.6,258.95,15254979.0,39722.19
2018-01-29,261.6,263.9,253.4,260.25,258.6,5990929.0,15532.38
2018-01-30,257.75,258.0,252.55,253.4,253.55,5286436.0,13477.05
2018-01-31,253.4,263.2,252.0,256.0,256.15,17514495.0,45217.24
2018-02-01,257.8,259.5,248.75,256.85,256.25,8940788.0,22804.42
2018-02-02,256.45,261.65,245.75,248.1,249.85,21737420.0,54793.63
2018-02-05,242.5,249.4,240.25,248.95,246.6,8462501.0,20733.69
2018-02-06,236.0,248.5,232.5,245.0,244.4,10473645.0,25156.82
2018-02-07,245.0,253.0,244.1,244.1,246.0,13707458.0,34134.29
2018-02-08,245.6,249.35,240.5,245.05,245.2,10180978.0,24907.19
2018-02-09,240.0,245.5,237.35,244.6,243.5,7024965.0,17048.86
2018-02-12,247.0,247.65,242.0,243.4,243.25,5557349.0,13545.71
2018-02-14,246.3,246.55,241.75,242.5,243.25,7121280.0,17357.78
