Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,1367.0,1367.0,1340.05,1345.0,1344.5,746852.0,10070.39
2018-01-02,1345.0,1349.8,1328.55,1340.0,1338.6,695988.0,9301.1
2018-01-03,1344.7,1356.8,1335.0,1347.0,1350.35,832810.0,11243.88
2018-01-04,1350.1,1356.15,1341.45,1349.0,1352.25,640189.0,8643.35
2018-01-05,1351.0,1362.95,1348.25,1352.65,1356.55,568451.0,7706.51
2018-01-08,1348.6,1371.0,1348.6,1370.0,1368.4,801796.0,10929.4
2018-01-09,1374.0,1375.9,1356.0,1361.35,1361.3,708386.0,9663.27
2018-01-10,1361.35,1370.0,1355.0,1362.05,1365.8,939525.0,12830.15
2018-01-11,1357.0,1382.9,1357.0,1377.95,1378.65,629248.0,8638.61
2018-01-12,1380.8,1384.4,1357.0,1371.65,1374.0,872539.0,11961.61
2018-01-15,1375.6,1375.6,1364.0,1367.1,1367.2,1324592.0,18125.31
2018-01-16,1369.3,1389.5,1363.75,1385.55,1382.0,896453.0,12360.89
2018-01-17,1389.0,1391.0,1366.25,1375.85,1371.2,1409691.0,19381.77
2018-01-18,1400.0,1406.9,1350.6,1359.0,1356.95,2465412.0,33804.83
2018-01-19,1370.4,1372.85,1350.05,1363.4,1362.45,1491194.0,20264.52
2018-01-22,1363.0,1365.0,1346.45,1356.9,1355.1,1014403.0,13738.58
2018-01-23,1360.7,1372.35,1350.05,1370.0,1368.35,1284895.0,17471.84
2018-01-24,1368.0,1372.0,1335.05,1364.1,1365.9,1819330.0,24572.53
2018-01-25,1368.9,1378.0,1359.55,1370.25,1372.75,2125894.0,29149.17
2018-01-29,1370.0,1400.0,1367.2,1395.7,1397.3,1406390.0,19559.02
2018-01-30,1397.3,1410.0,1390.1,1400.05,1400.25,1310365.0,18329.46
2018-01-31,1400.0,1400.0,1362.6,1365.3,1369.35,1491912.0,20502.82
2018-02-01,1373.0,1384.8,1351.0,1367.9,1371.25,1563429.0,21407.68
