Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,1196.6,1243.9,1194.85,1217.5,1218.15,1323659.0,16257.93
2018-01-02,1211.0,1216.5,1179.9,1187.0,1183.55,1349437.0,16160.75
2018-01-03,1194.0,1196.95,1183.55,1186.15,1185.65,704273.0,8380.02
2018-01-04,1193.8,1193.8,1180.8,1184.0,1183.95,505851.0,6001.6
2018-01-05,1189.95,1203.7,1186.0,1199.0,1198.95,1208082.0,14443.8
2018-01-08,1202.0,1228.3,1196.8,1223.15,1225.3,971947.0,11766.92
2018-01-09,1220.1,1231.95,1208.4,1215.7,1216.8,764497.0,9329.86
2018-01-10,1222.0,1222.7,1195.0,1207.0,1204.2,1424677.0,17129.57
2018-01-11,1204.4,1241.0,1201.4,1228.05,1228.65,2768740.0,34040.96
2018-01-12,1233.75,1245.0,1194.0,1228.0,1224.6,1398111.0,17078.82
2018-01-15,1228.0,1252.0,1220.1,1225.8,1225.15,897263.0,11095.41
2018-01-16,1224.0,1235.9,1197.8,1202.1,1204.9,1179430.0,14275.11
2018-01-17,1200.45,1214.0,1187.65,1206.85,1209.35,2117550.0,25497.76
2018-01-18,1222.0,1264.5,1212.1,1241.3,1243.7,4638248.0,57147.41
2018-01-19,1250.95,1308.8,1244.3,1303.3,1301.8,2323606.0,29638.88
2018-01-22,1304.8,1363.7,1300.0,1362.0,1355.15,2123773.0,28308.63
2018-01-23,1369.9,1397.0,1346.55,1368.0,1379.1,2611848.0,35948.94
2018-01-24,1399.95,1409.8,1354.15,1358.45,1362.0,3097670.0,42768.31
2018-01-25,1367.95,1404.45,1348.05,1399.35,1394.0,3264299.0,45275.39
2018-01-29,1395.0,1440.0,1389.75,1421.0,1421.15,2220889.0,31715.72
2018-01-30,1426.55,1433.65,1408.55,1415.1,1415.0,1147808.0,16302.76
2018-01-31,1391.0,1415.55,1372.0,1386.9,1390.95,1337755.0,18621.42
2018-02-01,1389.0,1412.85,1313.05,1377.45,1377.45,2027712.0,28015.77
2018-02-02,1355.0,1360.0,1292.0,1312.7,1319.6,2120577.0,28133.61
2018-02-05,1300.0,1309.6,1270.1,1291.0,1292.45,1509725.0,19484.26
2018-02-06,1220.75,1315.0,1206.8,1287.1,1294.95,1554111.0,19627.88
2018-02-07,1320.8,1326.5,1257.0,1264.6,1274.1,1965084.0,25736.98
