Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,314.0,314.0,309.1,309.3,310.3,7739502.0,24064.52
2018-01-02,310.95,311.7,307.5,310.0,309.7,7046560.0,21810.72
2018-01-03,312.5,316.35,312.5,314.9,315.0,8898342.0,28013.98
2018-01-04,314.95,315.65,311.5,314.6,314.7,6385367.0,20045.62
2018-01-05,314.45,315.15,311.6,313.4,312.9,6366054.0,19939.47
2018-01-08,313.5,318.2,312.6,313.4,314.15,7329648.0,23119.42
2018-01-09,314.8,315.8,310.75,312.35,312.6,9190909.0,28703.37
2018-01-10,312.55,312.95,310.55,311.55,312.0,6736971.0,21012.28
2018-01-11,312.5,312.5,308.55,308.85,309.5,8366718.0,25893.52
2018-01-12,309.6,318.8,309.6,317.25,317.7,11699345.0,36858.84
2018-01-15,320.8,330.7,320.25,329.45,329.3,30242005.0,99182.47
2018-01-16,329.75,340.75,326.55,334.0,334.1,26707100.0,89354.05
2018-01-17,334.05,344.2,334.05,343.35,343.25,43305353.0,147251.89
2018-01-18,350.0,353.2,343.0,346.0,346.15,31504669.0,109636.43
2018-01-19,347.45,355.0,340.8,354.15,353.6,18812611.0,65749.42
2018-01-22,352.4,352.9,344.8,350.25,351.5,15269782.0,53227.21
2018-01-23,350.45,364.45,350.45,361.7,362.3,22485663.0,80678.27
2018-01-24,357.75,359.2,351.8,353.2,352.75,12815095.0,45434.37
2018-01-25,352.5,364.8,350.7,360.0,360.8,30183655.0,108376.08
2018-01-29,360.0,365.7,355.6,357.15,357.65,17855095.0,64318.19
2018-01-30,356.8,356.8,350.5,353.3,353.25,13358981.0,47261.75
2018-01-31,348.85,353.95,343.6,353.15,352.95,22638319.0,78975.37
2018-02-01,347.55,355.9,343.8,346.8,346.2,29472295.0,103206.63
2018-02-02,342.55,343.7,333.7,335.1,335.1,16957983.0,57246.06
2018-02-05,327.6,334.25,327.05,330.2,329.7,17339547.0,57284.49
2018-02-06,315.25,337.95,313.0,332.0,330.7,18491736.0,60233.0
2018-02-07,335.35,336.4,329.9,332.0,332.55,11819190.0,39366.1
2018-02-08,332.55,338.4,329.5,333.55,333.85,10294899.0,34445.95
2018-02-09,325.0,328.65,322.65,327.5,326.75,9493398.0,30902.54
2018-02-12,328.85,329.2,323.25,325.95,326.25,8356351.0,27289.28
2018-02-14,327.0,327.0,316.55,317.65,318.95,15189066.0,48785.47
2018-02-15,322.15,331.8,322.15,328.75,328.65,23779772.0,77958.32
2018-02-16,330.35,334.0,318.8,321.8,321.05,17585994.0,57103.88
2018-02-19,329.5,329.6,315.2,320.2,319.75,19044107.0,60955.38
2018-02-20,320.5,324.2,316.3,316.9,317.25,16030558.0,51152.46
2018-02-21,319.0,320.7,315.7,318.75,319.2,9974873.0,31754.14
2018-02-22,317.0,319.3,313.95,319.0,318.35,25530698.0,81121.81
2018-02-23,319.05,324.05,318.35,323.85,322.75,7949765.0,25556.9
2018-02-26,325.0,327.8,323.15,326.15,327.05,7133735.0,23234.91
2018-02-27,327.0,327.05,319.65,322.9,322.15,9623651.0,31014.28
2018-02-28,315.15,317.0,311.1,314.0,313.25,17481687.0,54755.09
2018-03-01,312.65,314.0,304.25,304.4,304.95,18986889.0,58452.5
2018-03-05,304.45,306.5,299.3,303.6,303.35,14456193.0,43718.02
2018-03-06,307.4,307.7,294.2,294.75,295.05,18951451.0,56878.68
2018-03-07,293.3,293.8,285.35,287.8,286.7,31472773.0,90629.23
2018-03-08,290.25,298.0,289.25,297.9,296.95,21413552.0,62683.19
2018-03-09,299.0,299.5,290.7,293.55,292.7,12489587.0,36858.97
2018-03-12,295.6,301.9,293.75,301.5,300.65,12163952.0,36115.36
2018-03-13,300.1,307.0,299.6,304.85,304.35,15966647.0,48454.65
2018-03-14,303.15,307.45,297.8,305.95,306.05,12964285.0,39177.73
2018-03-15,305.75,305.75,300.4,300.95,301.45,13282019.0,40183.21
2018-03-16,301.25,301.85,297.4,299.25,298.1,28835112.0,86172.12
2018-03-19,298.1,300.0,291.25,294.45,294.55,13601784.0,40168.06
2018-03-20,293.0,297.2,290.25,292.3,292.0,10880002.0,31933.07
2018-03-21,295.0,295.05,287.35,289.6,289.2,13618228.0,39680.65
2018-03-22,289.5,289.65,280.9,283.1,283.25,24593489.0,69986.53
2018-03-23,277.1,277.85,273.55,274.3,275.55,31922568.0,88030.31
2018-03-26,276.1,283.15,275.95,281.35,281.65,24618534.0,68652.45
2018-03-27,284.5,287.3,281.4,283.3,283.9,22377328.0,63687.3
2018-03-28,283.0,283.3,277.1,278.9,278.35,27172599.0,75794.56
2018-04-02,273.0,273.85,258.8,262.4,261.85,73359584.0,192862.73
2018-04-03,261.4,271.5,261.4,270.2,270.05,40773239.0,108393.56
2018-04-04,267.25,273.3,265.5,268.1,268.65,33486876.0,90054.18
2018-04-05,267.8,280.0,267.7,278.4,278.65,26759108.0,73679.38
2018-04-06,278.4,282.95,277.0,279.95,280.65,31577015.0,88354.63
2018-04-09,277.75,283.45,274.35,281.0,280.85,31712527.0,88526.48
2018-04-10,279.45,294.45,279.05,288.7,288.8,44741783.0,129433.54
2018-04-11,287.75,287.9,282.35,285.3,284.55,16811454.0,47883.32
2018-04-12,285.3,289.9,283.55,287.0,286.75,22954325.0,65965.51
2018-04-13,288.0,291.1,285.8,288.1,288.25,17497198.0,50514.33
2018-04-16,285.0,288.95,284.1,287.5,287.6,16874313.0,48477.45
2018-04-17,287.6,293.25,286.8,291.9,291.75,15406113.0,44764.05
2018-04-18,293.7,294.9,289.0,290.1,290.05,20755245.0,60566.57
2018-04-19,291.0,291.0,287.3,290.65,289.6,17282341.0,49940.31
2018-04-20,289.25,290.15,279.7,282.5,282.15,19745690.0,56161.94
2018-04-23,280.0,282.8,275.25,279.15,279.4,11620499.0,32430.29
2018-04-24,279.35,286.6,279.35,284.5,284.1,15412234.0,43834.58
2018-04-25,284.05,285.65,276.85,279.5,278.9,7961352.0,22384.6
2018-04-26,279.8,280.4,275.35,278.7,278.85,14112673.0,39225.16
2018-04-27,277.4,291.7,276.0,287.8,287.9,16488361.0,47497.5
2018-04-30,288.95,291.0,282.3,284.7,284.2,9737559.0,27820.99
2018-05-02,283.65,283.75,275.55,277.15,276.9,14211445.0,39542.49
2018-05-03,277.3,283.65,277.3,281.85,281.9,14724116.0,41449.25
2018-05-04,280.45,285.6,278.35,282.8,282.85,11861951.0,33567.88
2018-05-07,284.0,293.0,282.85,293.0,289.8,19673100.0,56583.36
2018-05-08,302.0,314.5,300.0,308.5,309.3,87176185.0,269291.85
2018-05-09,305.0,309.8,304.25,306.75,306.8,20140490.0,61877.7
2018-05-10,308.45,312.9,305.7,307.0,306.85,16239386.0,50124.96
2018-05-11,307.95,311.85,307.55,310.55,310.95,16671145.0,51669.18
2018-05-14,310.0,311.0,305.15,309.4,310.1,10425585.0,32140.39
2018-05-15,310.7,317.5,305.05,308.0,308.25,16400700.0,51079.55
2018-05-16,303.9,304.9,295.3,296.95,297.25,25515791.0,76393.62
2018-05-17,299.0,299.95,294.05,294.95,296.0,10668400.0,31745.2
2018-05-18,294.15,295.3,284.6,287.8,286.1,17469524.0,50323.09
2018-05-21,289.5,293.0,287.75,289.75,289.3,23155638.0,67175.9
2018-05-22,289.5,293.85,286.85,292.0,290.3,11284988.0,32800.83
2018-05-23,288.85,298.4,288.8,291.0,292.05,15887229.0,46743.62
2018-05-24,293.7,299.0,291.2,298.15,297.7,11489424.0,33952.28
2018-05-25,298.4,300.95,294.6,296.2,295.65,13541580.0,40235.19
2018-05-28,293.75,302.3,293.35,299.3,299.25,19063427.0,57085.12
2018-05-29,298.75,298.75,288.3,289.95,289.9,12969969.0,37907.66
2018-05-30,285.9,288.15,282.75,285.0,284.9,25142319.0,71755.24
2018-05-31,285.0,288.95,279.3,287.15,285.8,23698686.0,67144.46
2018-06-01,295.0,299.95,286.85,288.8,289.3,29675949.0,86895.95
2018-06-04,293.3,293.3,285.55,287.0,286.75,17188567.0,49643.77
2018-06-05,288.0,288.0,283.1,284.7,284.1,12376050.0,35257.47
2018-06-06,285.7,286.9,281.1,284.1,283.9,16873633.0,47853.79
2018-06-07,287.5,293.05,287.15,291.05,290.9,20297969.0,58960.13
2018-06-08,290.1,290.9,285.5,288.5,288.25,11340014.0,32571.99
2018-06-11,285.4,290.35,283.2,286.5,286.4,16876061.0,48514.59
2018-06-12,288.55,289.15,285.25,287.75,287.4,14257648.0,40921.14
2018-06-13,289.0,292.9,286.4,290.75,290.75,10927770.0,31725.23
2018-06-14,290.85,290.85,284.1,285.4,284.75,11400592.0,32611.73
2018-06-15,287.2,288.5,280.0,282.0,282.5,47186222.0,133768.15
2018-06-18,284.0,294.2,283.4,294.0,293.0,27792317.0,80810.27
2018-06-19,295.5,295.5,288.35,292.3,292.8,27176748.0,79196.5
2018-06-20,292.6,294.6,291.0,293.6,293.2,20364143.0,59674.66
2018-06-21,294.8,300.35,294.55,297.95,297.95,30192796.0,89999.54
2018-06-22,298.2,302.7,295.65,301.45,300.65,17490606.0,52257.62
2018-06-25,299.8,300.5,288.8,289.7,289.7,15461874.0,45373.39
2018-06-26,287.55,289.1,284.7,288.3,288.1,11614686.0,33282.66
2018-06-27,287.9,287.9,274.0,279.65,279.05,25318055.0,70650.94
2018-06-28,278.0,278.4,269.8,270.75,271.4,34197884.0,93270.12
2018-06-29,272.0,276.0,269.6,274.7,275.4,20930477.0,57312.08
2018-07-02,274.0,279.9,271.0,277.3,277.4,69733139.0,191401.0
2018-07-03,275.9,276.8,272.2,273.25,272.9,14020388.0,38487.16
2018-07-04,274.2,274.85,271.0,273.25,273.25,8233522.0,22453.65
2018-07-05,273.0,275.5,270.75,271.95,271.55,7505990.0,20498.05
2018-07-06,271.1,271.95,267.05,270.15,270.05,26025797.0,70220.25
2018-07-09,273.9,274.7,270.0,271.05,271.2,18374471.0,50082.14
2018-07-10,272.0,275.95,271.9,273.2,273.4,14450561.0,39610.78
2018-07-11,274.55,274.9,267.5,268.7,268.75,12717543.0,34431.69
2018-07-12,270.4,273.7,269.05,271.6,272.3,15837704.0,43034.33
2018-07-13,273.0,273.3,266.05,267.85,267.75,19159840.0,51395.0
2018-07-16,265.3,266.6,256.5,258.2,259.25,29794402.0,77340.72
2018-07-17,260.25,267.5,260.0,266.0,266.45,15128995.0,39976.29
2018-07-18,266.0,267.35,261.0,264.0,262.7,22908592.0,60382.12
2018-07-19,263.95,264.35,259.4,261.3,261.2,15145144.0,39633.27
2018-07-20,261.8,267.7,261.8,265.8,265.8,13794388.0,36668.72
2018-07-23,265.35,276.3,265.35,275.0,275.55,16917863.0,46035.94
2018-07-24,273.65,277.9,273.35,274.0,274.35,12012225.0,33030.34
2018-07-25,273.0,276.6,272.25,274.0,274.65,17947377.0,49173.65
2018-07-26,275.0,286.5,273.25,284.3,285.65,36630780.0,103908.73
2018-07-27,284.9,295.15,282.2,292.25,293.2,30926969.0,89932.14
2018-07-30,300.0,308.45,294.25,307.5,307.35,56119080.0,169829.5
2018-07-31,304.3,308.5,302.2,303.6,304.25,20824059.0,63436.1
2018-08-01,302.6,305.65,296.8,297.0,299.3,15581508.0,47019.32
2018-08-02,295.0,300.75,294.1,298.35,298.55,14089168.0,41987.68
2018-08-03,300.0,306.75,297.55,306.0,305.0,14478902.0,44031.26
2018-08-06,306.95,318.0,306.8,314.5,315.1,25849864.0,81319.99
2018-08-07,313.95,318.15,310.4,313.5,313.15,20751145.0,65288.28
2018-08-08,313.0,320.0,308.25,318.2,318.7,17916047.0,56379.83
2018-08-09,320.25,345.85,320.25,332.0,333.0,76423347.0,255810.92
2018-08-10,334.05,340.3,325.35,327.75,328.6,36321097.0,120334.12
2018-08-13,324.0,327.45,322.0,325.9,324.9,15332907.0,49805.33
2018-08-14,324.7,333.5,324.7,332.4,332.45,15314006.0,50458.5
2018-08-16,329.55,339.2,328.75,335.85,334.3,37463597.0,125737.75
2018-08-17,336.8,342.2,335.85,340.0,340.0,24090696.0,81841.64
2018-08-20,340.0,342.45,336.7,337.9,338.45,13032778.0,44248.97
2018-08-21,338.3,341.85,334.05,338.15,338.85,16009673.0,54061.71
2018-08-23,336.55,338.7,334.75,336.0,337.2,18867868.0,63563.7
2018-08-24,334.4,335.5,327.3,329.85,330.15,17805968.0,58895.53
2018-08-27,331.0,342.3,330.95,339.8,339.9,28083933.0,95149.83
2018-08-28,342.0,343.5,336.3,338.25,338.9,16427306.0,55679.29
2018-08-29,336.35,342.65,335.8,339.7,340.65,18868248.0,64260.52
2018-08-30,339.2,345.45,337.7,344.2,344.35,22349447.0,76478.26
2018-08-31,343.0,346.8,338.5,341.6,342.6,19809916.0,67787.04
2018-09-03,343.6,344.0,332.55,335.0,334.15,12859450.0,43395.0
2018-09-04,334.8,336.45,327.25,329.0,328.5,15470215.0,51186.89
2018-09-05,327.0,331.35,324.6,329.0,329.65,14548867.0,47703.15
2018-09-06,330.0,331.25,325.5,327.95,328.65,11322771.0,37243.25
2018-09-07,327.45,336.4,322.45,333.3,335.1,16435004.0,54455.5
2018-09-10,331.8,335.75,330.4,333.3,332.9,16673909.0,55556.75
2018-09-11,333.7,336.7,325.1,326.35,326.55,13005562.0,43058.92
2018-09-12,327.0,327.05,318.5,323.0,322.9,15263406.0,49190.12
2018-09-14,327.2,332.0,324.15,328.9,328.35,10736693.0,35091.41
2018-09-17,327.3,327.5,321.35,326.15,325.7,7227361.0,23466.88
2018-09-18,324.25,328.05,317.7,319.15,318.85,14825218.0,47785.35
2018-09-19,320.0,324.7,317.0,320.45,320.95,15942065.0,51160.12
2018-09-21,323.45,333.7,308.35,318.2,317.1,34169460.0,110650.15
2018-09-24,316.8,316.8,305.55,308.4,308.75,24382310.0,76021.49
2018-09-25,307.0,313.5,300.05,310.95,311.1,30472132.0,93241.88
2018-09-26,315.0,315.3,305.1,312.9,313.1,23224979.0,72183.7
