Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,379.9,379.9,368.35,369.95,369.95,1788442.0,6644.47
2018-01-02,371.0,380.0,370.1,378.65,378.8,4093118.0,15448.48
2018-01-03,379.7,383.45,376.45,379.0,378.65,2009516.0,7627.42
2018-01-04,381.8,381.8,377.25,378.25,379.05,4247055.0,16104.28
2018-01-05,381.45,381.45,371.5,372.4,372.6,1576172.0,5942.36
2018-01-08,372.6,376.45,372.05,373.55,374.4,1754188.0,6567.75
2018-01-09,370.15,376.85,367.2,368.45,368.4,1659015.0,6156.84
2018-01-10,368.5,373.0,364.6,370.85,370.8,4204087.0,15455.65
2018-01-11,371.0,371.75,363.9,370.35,367.75,2373477.0,8708.71
2018-01-12,364.05,376.95,364.05,374.9,374.8,2834284.0,10513.24
2018-01-15,374.5,378.5,369.0,370.7,370.5,1038566.0,3887.6
2018-01-16,373.45,375.35,366.15,368.05,367.95,1797985.0,6656.34
2018-01-17,365.0,373.2,360.85,368.35,366.1,2996802.0,10994.86
2018-01-18,365.0,365.05,342.25,344.15,343.8,4256014.0,14905.98
2018-01-19,346.0,348.55,339.25,346.9,346.05,7653870.0,26301.12
2018-01-22,344.5,349.0,339.8,342.6,343.5,6688121.0,23031.35
2018-01-23,344.4,345.5,337.85,338.8,339.4,5668180.0,19368.74
2018-01-24,339.0,345.85,338.45,342.65,342.3,4933761.0,16863.17
2018-01-25,342.1,348.8,340.55,343.75,343.45,4683283.0,16156.57
2018-01-29,343.0,355.65,340.5,352.4,353.4,4249433.0,14760.9
2018-01-30,352.2,354.6,342.1,345.0,344.45,3724844.0,12929.78
2018-01-31,345.0,353.95,343.2,352.0,351.55,3997015.0,13863.31
2018-02-01,352.0,354.0,343.5,346.85,346.85,3045857.0,10562.33
2018-02-02,342.0,349.6,341.8,346.0,344.85,4467011.0,15422.55
2018-02-05,336.0,354.1,330.05,349.9,349.0,2690533.0,9258.1
2018-02-06,339.4,349.2,328.15,347.0,344.95,1662550.0,5715.01
2018-02-07,348.05,353.9,336.15,339.0,338.55,3376135.0,11652.82
2018-02-08,341.0,351.95,340.0,350.3,349.2,1436457.0,4974.89
2018-02-09,342.9,349.15,339.05,342.45,341.5,3050243.0,10421.3
2018-02-12,345.4,346.15,336.25,337.15,338.25,3252157.0,11036.29
2018-02-14,339.55,340.4,325.25,327.85,327.4,7362307.0,24117.55
2018-02-15,329.1,336.9,327.25,331.7,331.05,3526872.0,11741.13
2018-02-16,334.4,334.4,322.55,328.5,327.55,2397216.0,7857.49
2018-02-19,330.85,333.4,325.1,331.85,329.85,2593948.0,8547.9
2018-02-20,332.0,335.75,322.7,334.45,334.0,2348949.0,7757.5
2018-02-21,334.9,339.5,332.5,338.5,338.05,2192907.0,7381.19
2018-02-22,335.0,338.05,330.0,332.4,333.85,8407719.0,27954.05
2018-02-23,332.1,344.4,330.05,340.2,340.4,3108532.0,10510.88
2018-02-26,344.75,348.0,335.9,344.55,344.45,11037220.0,38012.83
2018-02-27,346.9,349.35,339.95,340.1,344.8,6738482.0,23159.73
2018-02-28,340.0,351.4,338.9,345.0,346.7,41050485.0,142135.68
2018-03-01,348.0,352.2,342.25,345.0,345.2,3367869.0,11642.12
2018-03-05,342.5,342.5,335.0,335.8,339.15,2294182.0,7769.5
2018-03-06,339.8,340.45,328.8,332.1,331.95,10597788.0,35203.47
2018-03-07,331.0,336.6,327.65,329.3,329.45,10039533.0,33485.16
2018-03-08,331.0,344.45,324.5,328.6,331.2,7186625.0,24017.45
2018-03-09,332.0,338.1,328.85,332.6,333.15,5488752.0,18326.25
2018-03-12,335.5,343.6,332.65,337.0,339.5,6680146.0,22480.9
2018-03-13,336.0,350.0,336.0,348.5,349.0,2491061.0,8624.89
2018-03-14,345.9,346.7,337.55,338.25,339.15,2244680.0,7640.57
2018-03-15,340.0,344.85,336.25,337.0,337.9,1354562.0,4615.96
2018-03-16,339.0,343.4,332.5,336.05,334.45,3780358.0,12746.38
2018-03-19,334.95,337.15,320.05,327.5,325.35,2261162.0,7427.13
2018-03-20,325.0,343.95,323.45,341.5,341.9,5524750.0,18717.6
2018-03-21,345.8,345.8,336.3,337.0,337.15,2825185.0,9576.31
2018-03-22,337.4,344.45,330.9,335.0,335.2,2264722.0,7641.09
2018-03-23,330.0,344.9,329.0,342.5,342.5,2991192.0,10130.62
2018-03-26,340.0,346.3,339.15,344.0,343.95,1353062.0,4652.52
2018-03-27,346.7,346.7,332.75,337.0,336.55,3190225.0,10721.65
2018-03-28,337.5,342.0,331.05,335.25,336.15,7045038.0,23661.96
2018-04-02,336.0,344.4,335.9,339.2,337.65,1643242.0,5605.13
2018-04-03,336.5,342.3,334.5,339.0,339.15,1165314.0,3949.27
2018-04-04,337.0,338.95,335.0,336.8,336.95,1385801.0,4669.41
2018-04-05,337.55,340.5,330.25,338.6,338.05,3807792.0,12769.63
2018-04-06,338.0,342.85,335.35,338.0,338.0,5575268.0,18887.12
2018-04-09,338.0,340.2,336.25,338.2,337.2,5696918.0,19261.67
2018-04-10,339.0,341.0,332.1,336.05,335.45,3470927.0,11702.3
2018-04-11,336.05,339.9,335.55,337.5,337.45,3468729.0,11710.91
2018-04-12,339.2,341.55,335.95,341.0,340.7,2136706.0,7230.89
2018-04-13,341.0,348.45,336.9,339.9,339.7,2358332.0,8112.14
2018-04-16,334.5,343.4,334.5,340.9,340.05,4175047.0,14188.79
2018-04-17,342.2,343.0,330.4,333.5,334.0,2797188.0,9360.78
2018-04-18,335.0,338.0,334.5,336.0,336.05,2881187.0,9680.59
2018-04-19,337.0,338.6,334.4,335.35,335.95,2579826.0,8670.79
2018-04-20,337.4,337.4,326.4,331.55,331.1,1307014.0,4325.39
2018-04-23,332.0,332.6,324.5,326.95,328.0,2475687.0,8107.84
2018-04-24,327.0,334.6,315.65,331.4,329.0,4979271.0,16219.86
2018-04-25,338.0,338.95,322.3,323.5,325.45,4998560.0,16349.08
2018-04-26,326.5,327.0,310.5,317.3,316.1,6209388.0,19567.64
2018-04-27,316.15,324.65,313.35,322.6,320.25,4360743.0,13929.94
2018-04-30,317.1,321.9,312.0,316.0,313.1,3440871.0,10825.67
2018-05-02,314.95,318.4,312.35,313.85,313.8,5741657.0,18092.61
2018-05-03,311.35,327.0,311.35,324.3,324.95,4395421.0,14208.96
2018-05-04,321.7,325.0,318.65,323.0,322.45,2125043.0,6841.43
2018-05-07,321.1,324.45,319.3,323.2,320.65,2621067.0,8393.01
2018-05-08,323.0,324.5,319.6,321.0,321.0,7307907.0,23439.59
2018-05-09,323.9,328.2,322.15,324.9,324.85,2739153.0,8916.38
2018-05-10,324.9,328.3,317.2,319.3,320.7,2809718.0,9034.14
2018-05-11,320.7,322.85,315.45,318.2,319.85,2806644.0,8924.28
2018-05-14,319.25,323.3,313.0,313.3,316.0,1310795.0,4179.41
2018-05-15,315.0,315.65,311.1,312.9,312.45,3695713.0,11574.25
2018-05-16,312.2,323.8,308.2,314.3,315.2,2250017.0,7082.02
2018-05-17,317.7,324.75,312.9,320.0,321.75,3255853.0,10452.95
2018-05-18,318.5,322.25,315.1,317.0,316.15,1949318.0,6221.59
2018-05-21,316.0,323.5,315.6,319.8,321.7,1523518.0,4892.25
2018-05-22,319.5,320.7,313.05,316.05,315.85,2443082.0,7716.36
2018-05-23,317.0,319.5,313.75,317.0,317.3,3690868.0,11697.99
2018-05-24,318.8,319.55,313.65,317.0,318.35,4111643.0,13011.08
2018-05-25,318.0,318.15,312.0,315.05,314.85,1105911.0,3474.44
2018-05-28,315.85,317.95,309.2,311.9,310.7,1201629.0,3760.91
2018-05-29,312.0,313.8,303.15,304.85,304.9,2631933.0,8056.49
2018-05-30,307.0,307.0,298.95,301.0,301.15,2554562.0,7688.83
2018-05-31,301.55,304.0,293.35,300.9,298.65,11366237.0,34101.69
2018-06-01,300.2,303.9,298.75,300.8,300.65,1271174.0,3817.55
2018-06-04,302.0,302.15,294.0,294.05,295.15,926733.0,2752.79
2018-06-05,298.5,298.5,289.5,294.1,294.65,2364464.0,6924.17
2018-06-06,295.0,297.2,292.75,294.15,294.6,1434703.0,4225.8
2018-06-07,294.2,295.5,292.6,293.9,293.8,2471537.0,7262.66
2018-06-08,293.9,299.45,293.1,298.6,298.4,1360769.0,4046.03
2018-06-11,299.0,302.05,298.0,300.3,300.0,2123262.0,6372.67
2018-06-12,302.0,302.0,298.6,300.05,299.75,946261.0,2839.85
2018-06-13,300.0,302.2,296.6,300.0,300.5,5147453.0,15458.16
2018-06-14,298.0,299.85,294.9,296.0,296.5,1055622.0,3131.07
2018-06-15,296.5,297.7,291.6,293.5,293.6,3264270.0,9569.44
2018-06-18,292.0,294.0,288.9,291.15,291.3,1377676.0,4004.63
2018-06-19,290.1,292.5,285.9,288.05,287.75,1300911.0,3760.89
2018-06-20,288.2,290.9,284.1,284.9,285.3,1887084.0,5419.23
2018-06-21,286.9,286.9,274.55,278.95,279.6,5646050.0,15720.15
2018-06-22,278.95,287.95,275.45,285.85,286.0,2317644.0,6584.66
2018-06-25,285.85,293.0,283.25,290.75,291.95,2416530.0,6971.86
2018-06-26,290.0,294.95,282.35,292.8,292.95,5285978.0,15379.91
2018-06-27,291.95,302.75,287.2,300.0,299.55,4099169.0,12253.48
2018-06-28,299.0,300.0,293.9,298.85,297.95,4702328.0,13959.36
2018-06-29,300.0,307.95,295.6,300.5,300.55,3871075.0,11651.82
2018-07-02,301.0,304.8,294.8,300.0,298.9,2444336.0,7313.75
2018-07-03,296.0,297.8,286.6,291.5,291.5,2404666.0,6998.1
2018-07-04,291.5,301.85,289.55,297.7,299.5,2171623.0,6475.08
2018-07-05,296.7,305.1,294.3,303.0,303.45,1418401.0,4240.73
2018-07-06,300.45,303.95,295.35,299.0,299.1,1382388.0,4151.3
2018-07-09,299.1,303.0,299.1,301.85,301.85,613883.0,1851.28
2018-07-10,301.95,307.1,299.85,305.4,305.3,878200.0,2672.31
2018-07-11,305.3,319.2,304.0,315.0,317.15,4059566.0,12826.35
2018-07-12,315.0,317.0,307.65,311.65,314.05,1586131.0,4935.61
2018-07-13,314.0,314.0,300.35,302.25,302.7,1416753.0,4317.87
2018-07-16,302.7,305.7,298.3,301.2,301.15,1661955.0,4991.98
2018-07-17,299.0,307.25,297.1,302.6,303.35,836130.0,2540.11
2018-07-18,303.2,305.6,298.75,300.1,299.25,1537581.0,4618.31
2018-07-19,287.0,292.4,283.4,285.6,285.3,2182923.0,6239.62
2018-07-20,285.0,288.2,285.0,286.05,286.0,4041062.0,11567.62
2018-07-23,287.0,289.65,284.0,287.0,286.7,629540.0,1807.74
2018-07-24,287.0,288.0,285.1,286.0,285.85,3997082.0,11436.5
2018-07-25,286.0,291.9,283.45,286.05,286.9,6454497.0,18519.91
