Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,390.0,392.5,388.5,390.5,389.95,2218462.0,8658.35
2018-01-02,391.4,392.8,383.7,386.6,386.4,2521578.0,9745.73
2018-01-03,387.9,389.9,385.1,386.25,386.3,2613904.0,10141.27
2018-01-04,387.0,388.35,384.4,387.9,387.3,4367569.0,16896.03
2018-01-05,387.0,388.9,382.0,384.1,383.85,3073155.0,11813.45
2018-01-08,384.5,390.25,384.5,388.6,388.55,3732287.0,14464.04
2018-01-09,389.0,394.0,386.0,393.0,392.4,3255923.0,12710.21
2018-01-10,392.0,395.5,387.25,389.5,389.55,4019016.0,15724.62
2018-01-11,389.5,391.85,387.0,389.35,388.9,1315655.0,5111.6
2018-01-12,389.0,395.4,388.25,388.75,389.05,3398876.0,13309.51
2018-01-15,389.7,396.2,389.7,390.25,390.85,4154420.0,16310.92
2018-01-16,390.0,391.5,383.4,384.0,384.15,2903042.0,11202.64
2018-01-17,383.9,387.75,374.25,386.0,384.05,3946015.0,15047.64
2018-01-18,386.0,386.0,377.5,378.0,378.05,5348803.0,20238.37
2018-01-19,379.9,389.0,375.8,386.8,385.95,4136950.0,15825.32
2018-01-22,388.0,388.5,379.25,382.3,382.5,1696363.0,6484.39
2018-01-23,394.7,394.7,387.65,390.5,389.4,6610514.0,25851.36
2018-01-24,391.9,392.6,387.65,391.05,390.3,3229267.0,12584.48
2018-01-25,392.0,395.0,389.0,394.0,392.3,7028482.0,27509.85
2018-01-29,394.0,400.65,392.6,400.2,399.65,3058457.0,12137.5
2018-01-30,404.85,422.3,399.4,416.0,416.25,25628953.0,105660.57
2018-01-31,421.9,427.4,414.5,416.95,417.6,13503235.0,56750.11
2018-02-01,419.6,422.2,410.4,418.45,417.9,5851539.0,24467.45
2018-02-02,415.0,416.35,407.5,408.5,408.65,4844239.0,19902.57
2018-02-05,408.0,411.4,403.0,409.0,409.0,6571394.0,26844.06
2018-02-06,401.9,406.35,400.0,401.85,401.3,6888685.0,27678.89
2018-02-07,406.0,409.75,403.5,407.0,404.75,8710380.0,35362.93
2018-02-08,388.85,391.9,385.0,385.7,385.6,7736486.0,29993.19
2018-02-09,383.0,383.0,375.95,379.45,378.65,4405890.0,16696.89
2018-02-12,384.5,384.75,375.6,379.1,379.05,3116035.0,11808.47
2018-02-14,380.8,381.75,375.6,376.65,377.35,3806473.0,14371.63
2018-02-15,378.8,380.6,374.3,377.5,376.8,3819270.0,14388.69
2018-02-16,378.0,379.5,374.5,375.0,375.05,2501186.0,9426.1
2018-02-19,376.0,376.9,367.1,369.3,369.65,2490995.0,9233.75
2018-02-20,370.0,371.25,365.6,366.0,366.6,1803682.0,6646.12
2018-02-21,368.6,371.8,362.5,368.85,368.5,4396885.0,16099.44
2018-02-22,367.35,367.35,360.65,363.8,363.2,10219350.0,37157.22
2018-02-23,363.0,369.4,362.5,368.1,368.4,2608100.0,9568.64
2018-02-26,371.15,381.8,370.1,377.0,376.7,3474466.0,13089.11
2018-02-27,379.7,382.9,375.1,377.5,377.45,3906960.0,14783.6
2018-02-28,376.6,381.2,373.5,377.95,379.3,2103575.0,7946.7
2018-03-01,379.0,382.75,377.65,382.0,381.5,3630009.0,13811.47
2018-03-05,384.0,384.8,377.1,379.2,379.25,6535934.0,24833.91
2018-03-06,381.5,392.8,380.2,382.0,382.2,7917497.0,30578.82
2018-03-07,382.65,384.45,378.8,379.0,379.4,5554096.0,21158.29
2018-03-08,382.95,384.75,377.6,382.15,382.1,4560731.0,17388.27
2018-03-09,383.45,386.5,380.6,385.5,385.5,5655780.0,21696.79
2018-03-12,389.5,403.05,387.5,403.0,400.65,13848992.0,54620.21
2018-03-13,402.0,412.9,402.0,406.05,407.85,18612673.0,75929.03
2018-03-14,408.0,410.9,393.75,394.6,395.05,16701307.0,66766.76
2018-03-15,191.0,193.25,189.25,191.6,192.05,26369935.0,50618.11
2018-03-16,192.5,192.5,183.5,183.95,184.75,18690374.0,34742.47
2018-03-19,184.7,184.7,176.0,178.0,177.9,19625875.0,34962.82
2018-03-20,177.2,177.7,172.6,173.8,173.85,14209418.0,24880.61
2018-03-21,174.4,177.3,170.5,173.0,172.45,11840058.0,20596.25
2018-03-22,173.95,173.95,169.5,170.3,170.1,9690093.0,16539.58
2018-03-23,165.0,169.7,165.0,168.7,168.85,8890932.0,14970.08
2018-03-26,168.0,169.0,164.35,168.5,167.2,13271876.0,22096.97
2018-03-27,169.9,175.75,168.8,174.6,174.85,10299533.0,17809.14
2018-03-28,173.45,178.55,171.75,176.95,176.6,17742434.0,31024.89
2018-04-02,177.9,178.5,169.7,170.45,170.45,14001109.0,23966.27
2018-04-03,171.9,174.6,171.75,174.55,174.15,8435498.0,14628.04
2018-04-04,174.9,174.9,170.15,171.15,171.15,5753755.0,9883.67
2018-04-05,172.9,174.15,171.7,173.4,173.55,4094041.0,7079.26
2018-04-06,176.0,176.75,173.6,174.2,174.25,7938351.0,13879.71
2018-04-09,175.0,180.95,174.6,179.75,179.8,12237671.0,21935.92
2018-04-10,181.3,181.3,177.0,179.05,179.3,5146627.0,9203.95
2018-04-11,177.0,177.5,165.65,167.25,167.35,28352223.0,47826.45
2018-04-12,163.0,170.4,159.0,167.9,168.25,28397376.0,47215.24
2018-04-13,169.6,169.9,164.55,165.65,165.35,11452443.0,19092.89
2018-04-16,164.4,166.45,162.75,165.0,165.0,12701567.0,20891.9
2018-04-17,165.5,167.75,164.65,167.05,167.2,8389084.0,13962.57
2018-04-18,167.5,167.6,164.5,165.2,164.95,5236513.0,8660.35
2018-04-19,161.0,161.95,157.0,158.2,157.95,16984152.0,27005.66
2018-04-20,157.6,161.0,156.75,160.0,160.1,11402029.0,18146.44
2018-04-23,161.5,163.9,160.3,161.7,161.7,11318168.0,18349.12
2018-04-24,161.05,164.4,160.0,162.95,163.05,7313214.0,11918.57
2018-04-25,163.05,165.2,159.7,160.5,160.6,9312047.0,15070.75
2018-04-26,160.9,161.9,158.25,161.5,161.15,9718844.0,15565.08
2018-04-27,161.9,163.7,160.25,162.7,162.9,6923570.0,11243.01
2018-04-30,164.9,164.9,161.0,162.15,162.3,4585201.0,7443.48
2018-05-02,163.4,163.4,160.1,161.05,161.15,7334801.0,11823.51
2018-05-03,159.9,162.3,159.8,161.5,161.7,4626662.0,7455.94
2018-05-04,161.9,162.5,159.8,161.0,161.5,4862633.0,7845.92
2018-05-07,160.5,165.3,159.1,164.0,164.3,7348792.0,11953.5
2018-05-08,162.65,166.85,161.5,166.35,166.55,12126899.0,20042.83
2018-05-09,162.15,167.9,160.75,166.9,167.2,13486684.0,22194.74
2018-05-10,166.1,168.2,165.0,168.15,167.95,8198772.0,13659.34
2018-05-11,168.8,173.1,168.45,168.75,169.1,14928136.0,25507.42
2018-05-14,170.5,173.7,167.55,168.75,168.4,11036302.0,18731.12
2018-05-15,169.0,170.0,165.6,167.6,167.2,14647165.0,24582.79
2018-05-16,166.5,167.05,163.0,166.0,165.95,8435930.0,13939.73
2018-05-17,166.0,167.5,163.65,164.2,164.75,9962469.0,16441.53
2018-05-18,164.0,166.15,161.65,163.75,163.7,10159287.0,16645.24
2018-05-21,164.0,165.75,162.8,165.2,165.15,6378755.0,10475.12
2018-05-22,166.8,166.95,157.85,159.3,160.5,18878835.0,30638.27
2018-05-23,159.2,160.0,152.65,153.4,153.5,14317531.0,22201.57
2018-05-24,155.0,156.75,151.1,156.4,155.9,12335067.0,19100.41
2018-05-25,156.6,164.5,156.6,164.25,163.45,16641836.0,26739.51
2018-05-28,170.0,177.0,169.3,170.9,170.45,23786239.0,40997.28
2018-05-29,171.95,174.0,169.35,172.3,172.45,10905026.0,18770.06
2018-05-30,170.0,171.95,168.8,170.7,170.8,7970875.0,13604.68
2018-05-31,170.0,175.7,169.05,174.3,174.1,32872156.0,57020.48
2018-06-01,174.1,175.65,171.2,172.0,172.35,7345661.0,12702.2
2018-06-04,173.1,175.15,170.5,173.9,173.8,6514084.0,11271.43
2018-06-05,173.5,174.35,171.6,174.15,173.95,4952657.0,8581.21
2018-06-06,173.2,175.4,172.05,174.8,174.9,3655986.0,6350.85
2018-06-07,174.9,176.45,172.8,174.5,174.8,8518733.0,14865.52
2018-06-08,173.5,175.5,172.0,175.1,175.0,5311197.0,9241.15
2018-06-11,173.75,176.5,172.7,173.1,173.1,9812557.0,17170.98
2018-06-12,174.0,175.8,173.0,174.55,174.15,7232206.0,12597.74
2018-06-13,174.7,175.5,172.9,175.1,175.1,4976427.0,8665.04
2018-06-14,175.0,175.0,171.0,171.5,171.55,6988054.0,12021.62
2018-06-15,171.5,171.65,167.2,167.5,167.75,10962278.0,18471.02
2018-06-18,170.5,177.2,170.1,173.8,173.9,14477349.0,25286.41
2018-06-19,173.5,173.55,168.0,168.6,168.6,9426151.0,15927.49
2018-06-20,168.8,169.95,165.0,166.05,165.4,8942761.0,14835.56
2018-06-21,166.35,172.4,163.65,172.05,170.25,9990246.0,16712.22
2018-06-22,171.0,173.0,168.7,169.8,170.0,13172666.0,22479.81
2018-06-25,169.95,170.25,165.4,167.3,167.35,9083645.0,15168.14
2018-06-26,166.1,170.45,165.35,166.6,166.8,9846198.0,16578.22
2018-06-27,164.9,165.0,154.6,155.4,155.65,14124648.0,22367.58
2018-06-28,152.4,160.5,150.0,154.4,154.35,16810724.0,26175.38
2018-06-29,155.5,158.2,153.8,156.0,156.0,8675702.0,13523.56
2018-07-02,156.2,157.75,152.2,153.35,153.7,8556183.0,13177.85
2018-07-03,153.7,155.8,153.0,155.3,155.3,8148192.0,12610.58
2018-07-04,154.95,156.35,154.1,155.1,155.25,5945840.0,9223.16
2018-07-05,153.65,157.3,153.65,155.75,155.0,8994632.0,14002.9
2018-07-06,156.2,159.9,155.95,156.5,156.7,9866027.0,15578.68
2018-07-09,156.95,158.8,156.55,157.55,157.3,4165195.0,6560.15
2018-07-10,157.0,157.4,154.75,155.1,155.25,4409292.0,6894.48
2018-07-11,156.0,156.4,151.2,155.7,154.55,9578663.0,14741.88
2018-07-12,160.5,164.0,156.25,156.65,156.85,20040131.0,32004.57
2018-07-13,160.0,160.35,155.75,159.4,159.1,13690389.0,21687.37
2018-07-16,158.95,160.0,157.05,157.65,157.5,5899204.0,9345.55
2018-07-17,161.45,165.85,160.1,165.2,164.45,17102464.0,27881.48
2018-07-18,165.0,168.2,165.0,167.1,167.2,9065714.0,15117.41
2018-07-19,166.8,166.8,162.7,166.25,165.8,3935205.0,6490.45
2018-07-20,164.25,164.25,160.5,161.0,161.05,4733720.0,7670.58
2018-07-23,162.5,165.35,162.05,162.6,162.5,4552151.0,7442.91
2018-07-24,163.7,165.4,162.0,164.8,164.95,3692596.0,6054.98
2018-07-25,163.6,163.7,160.15,163.0,163.1,5276840.0,8561.94
2018-07-26,162.0,164.0,157.6,159.5,158.8,17358562.0,27752.49
2018-07-27,159.6,166.2,159.6,165.35,165.4,7780612.0,12658.86
2018-07-30,165.4,169.1,164.6,166.95,166.45,7573298.0,12615.44
2018-07-31,164.5,166.1,163.5,164.4,164.35,5825420.0,9571.76
2018-08-01,166.2,169.0,166.0,168.2,168.0,10422701.0,17482.44
2018-08-02,170.0,171.8,168.05,168.7,168.7,8159282.0,13812.62
2018-08-03,167.4,169.8,166.75,168.55,168.55,3642134.0,6139.07
2018-08-06,169.9,169.9,167.2,168.2,168.15,3279101.0,5516.47
2018-08-07,166.85,168.75,166.25,166.55,166.65,2534166.0,4234.62
2018-08-08,166.65,168.0,165.4,166.0,165.9,2793529.0,4641.2
2018-08-09,168.55,169.2,164.8,165.4,165.4,5341459.0,8893.27
2018-08-10,166.05,168.8,163.3,165.85,166.35,6391554.0,10604.51
2018-08-13,168.0,168.0,160.0,160.75,160.65,10569341.0,17301.33
2018-08-14,161.7,162.3,159.0,160.5,160.7,6120922.0,9840.13
2018-08-16,161.6,162.0,158.15,158.7,158.5,7751572.0,12352.4
2018-08-17,159.0,160.0,158.65,159.5,159.55,3422494.0,5456.45
2018-08-20,159.5,160.35,158.1,158.65,158.65,6048047.0,9616.7
2018-08-21,158.25,159.8,157.5,157.8,157.7,5851590.0,9272.76
2018-08-23,157.5,157.6,151.8,153.65,153.4,11472744.0,17627.16
2018-08-24,153.65,155.4,151.5,154.5,154.25,8881220.0,13657.87
2018-08-27,155.0,156.8,154.65,156.5,156.1,4403507.0,6854.97
2018-08-28,156.5,157.4,154.65,155.7,155.55,4438707.0,6924.63
2018-08-29,156.1,156.95,155.3,156.5,156.5,3540359.0,5533.78
2018-08-30,155.7,155.95,153.9,154.45,154.25,6850784.0,10584.17
2018-08-31,154.15,156.3,153.05,155.6,155.55,5240824.0,8120.11
2018-09-03,157.0,157.0,154.6,154.9,155.0,4167775.0,6497.17
2018-09-04,154.9,154.9,152.1,152.35,152.45,4350544.0,6670.72
2018-09-05,152.0,153.5,150.0,153.1,152.8,6771082.0,10246.94
2018-09-06,153.95,154.4,151.6,153.2,153.6,5735872.0,8785.99
2018-09-07,154.3,154.4,152.5,153.35,153.4,6117229.0,9378.21
2018-09-10,153.0,153.0,150.4,151.15,151.05,6619280.0,10022.46
2018-09-11,151.1,152.85,150.15,150.6,150.7,7963226.0,12031.05
2018-09-12,149.7,149.7,145.55,149.15,149.1,9516781.0,14029.55
2018-09-14,151.5,156.0,151.05,155.5,155.25,8910097.0,13690.39
2018-09-17,154.1,158.85,153.1,156.5,156.55,11622274.0,18245.78
2018-09-18,157.4,157.7,152.0,152.55,152.6,5269201.0,8149.65
2018-09-19,152.6,155.3,151.55,153.35,153.55,5819078.0,8956.09
2018-09-21,155.9,159.3,154.5,157.7,158.15,19078869.0,30078.73
2018-09-24,157.65,160.2,154.0,155.05,154.95,7021959.0,11043.66
2018-09-25,152.4,155.85,151.0,155.0,154.15,6688716.0,10237.95
2018-09-26,156.0,156.2,152.3,154.5,154.45,4795841.0,7375.52
2018-09-27,154.75,155.0,152.0,153.0,152.65,9068384.0,13863.53
2018-09-28,153.0,154.7,151.35,154.0,153.35,4977135.0,7627.58
2018-10-01,153.0,155.0,150.0,154.7,153.95,6344801.0,9645.39
2018-10-03,151.5,159.1,151.1,158.45,158.4,8151662.0,12749.66
