Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,263.25,266.3,261.25,261.8,262.3,10461011.0,27539.3
2018-01-02,262.6,264.2,260.45,260.7,260.75,5688384.0,14894.65
2018-01-03,261.3,262.65,260.6,260.95,261.15,11018996.0,28849.93
2018-01-04,260.95,262.75,260.6,261.75,261.55,9368913.0,24517.29
2018-01-05,261.9,263.5,261.9,263.0,262.9,9211954.0,24181.77
2018-01-08,264.0,266.8,263.25,265.75,265.6,14433239.0,38322.44
2018-01-09,265.5,272.0,264.75,270.25,270.55,25737663.0,69363.22
2018-01-10,273.45,274.0,269.05,269.45,269.4,16441299.0,44611.64
2018-01-11,269.5,271.0,268.1,269.95,269.8,11287447.0,30455.9
2018-01-12,270.25,271.35,266.15,267.15,267.55,8179762.0,21968.89
2018-01-15,268.0,271.1,267.0,267.75,267.6,10538330.0,28317.77
2018-01-16,268.2,268.7,260.8,262.6,261.7,12935712.0,34088.16
2018-01-17,262.0,267.0,259.55,266.4,266.05,16375659.0,43203.76
2018-01-18,268.0,275.25,266.65,274.0,273.4,26442702.0,72133.33
2018-01-19,276.0,277.5,271.1,274.0,274.55,25710521.0,70565.18
2018-01-22,275.0,275.5,271.7,272.7,273.65,8339156.0,22752.55
2018-01-23,274.0,277.25,273.55,276.8,276.6,18244388.0,50276.38
2018-01-24,276.65,282.0,276.05,280.55,281.45,17305234.0,48398.55
2018-01-25,281.0,283.2,278.6,280.7,281.25,13124518.0,36853.05
2018-01-29,281.15,283.3,275.0,275.2,275.65,9569723.0,26515.7
2018-01-30,275.0,276.45,271.95,275.75,275.2,13057276.0,35830.61
2018-01-31,273.9,276.0,269.85,271.35,271.4,18945945.0,51699.0
2018-02-01,272.0,290.3,267.4,275.5,275.3,59362154.0,165741.2
2018-02-02,274.4,285.65,270.8,274.5,275.35,35008302.0,97447.34
2018-02-05,273.55,281.7,271.85,279.8,279.25,19706340.0,54835.4
2018-02-06,269.95,277.3,268.15,274.75,273.5,15822723.0,43238.56
