Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,269.5,271.7,264.35,266.0,265.8,1261616.0,3391.98
2018-01-02,267.0,268.0,261.7,264.4,264.55,2277139.0,6019.64
2018-01-03,267.85,272.25,266.35,269.2,268.7,3279293.0,8832.97
2018-01-04,270.75,281.9,269.5,277.55,277.15,6281682.0,17351.0
2018-01-05,279.25,289.9,278.65,285.05,285.1,8325201.0,23768.95
2018-01-08,286.1,289.5,283.1,285.75,286.0,2686737.0,7687.95
2018-01-09,286.25,289.5,281.0,283.5,284.0,2281715.0,6492.95
2018-01-10,283.2,285.0,278.45,282.85,282.8,2748652.0,7744.54
2018-01-11,283.7,285.75,282.0,282.0,282.55,1757575.0,4983.66
2018-01-12,283.1,289.75,282.75,286.85,286.8,5118636.0,14649.23
2018-01-15,287.6,292.9,283.75,286.0,285.0,3602106.0,10424.85
2018-01-16,286.4,287.4,276.3,284.0,281.2,3107547.0,8748.33
2018-01-17,282.1,287.0,279.5,284.75,285.05,3574084.0,10146.77
2018-01-18,285.8,289.0,275.35,279.65,279.8,8128594.0,22859.1
2018-01-19,281.1,283.1,273.05,282.85,282.1,3291487.0,9204.52
2018-01-22,283.0,283.5,276.6,278.05,278.65,2143377.0,5971.88
2018-01-23,279.35,299.3,277.05,293.9,294.05,8672380.0,25513.35
2018-01-24,292.35,296.0,287.05,288.4,288.65,4037279.0,11739.26
2018-01-25,292.35,297.0,288.1,289.75,290.8,7330584.0,21377.17
2018-01-29,291.0,300.45,291.0,292.95,293.45,4673841.0,13838.6
2018-01-30,292.9,292.9,287.75,289.75,289.1,2152791.0,6236.39
2018-01-31,289.0,294.0,281.1,293.0,289.95,6604621.0,19019.84
2018-02-01,296.0,306.8,285.4,303.0,302.65,8031105.0,23778.27
2018-02-02,298.75,314.35,293.25,298.3,299.0,12354843.0,37500.82
2018-02-05,295.0,299.95,282.85,293.1,291.25,6863987.0,20061.71
2018-02-06,278.85,289.3,265.6,281.3,283.2,8006195.0,22581.75
2018-02-07,287.9,294.4,284.35,289.7,290.0,9691897.0,28126.23
2018-02-08,290.0,308.4,290.0,306.2,304.2,8028713.0,23897.08
2018-02-09,295.75,311.85,295.15,308.95,309.35,6726146.0,20550.17
2018-02-12,312.0,315.7,309.25,311.3,310.75,4120075.0,12881.15
2018-02-14,313.8,314.45,308.15,308.8,309.55,3992497.0,12434.21
2018-02-15,311.25,314.25,305.55,308.0,307.8,3695342.0,11469.7
2018-02-16,310.1,313.75,306.35,312.45,312.4,5742059.0,17831.19
2018-02-19,313.8,313.8,293.05,303.2,302.7,6238413.0,18829.1
2018-02-20,303.2,309.45,300.5,306.0,305.6,4940505.0,15081.09
2018-02-21,307.2,308.15,295.0,297.2,298.3,5947856.0,17796.76
2018-02-22,299.3,301.75,295.0,298.0,297.7,11882391.0,35431.26
2018-02-23,299.0,307.8,298.55,306.1,306.95,4641724.0,14132.62
2018-02-26,310.75,316.9,308.45,316.0,316.1,5314911.0,16595.94
2018-02-27,319.0,320.45,314.25,316.5,318.1,6081243.0,19310.46
2018-02-28,313.3,315.5,310.35,311.5,312.2,6391843.0,19988.96
2018-03-01,315.0,317.8,303.0,304.15,305.5,6417443.0,19985.48
2018-03-05,299.4,300.1,289.0,292.7,291.65,9282086.0,27208.79
2018-03-06,298.7,301.9,292.1,293.35,293.5,9755916.0,28939.74
2018-03-07,293.0,293.8,286.15,289.8,289.5,7208335.0,20884.21
2018-03-08,294.0,296.3,284.2,289.5,289.25,5748695.0,16613.07
2018-03-09,291.0,294.2,284.7,292.8,291.95,8084115.0,23487.0
2018-03-12,295.2,299.9,291.8,299.1,297.85,4186325.0,12370.14
2018-03-13,298.8,304.6,295.8,303.5,303.5,4161207.0,12497.88
2018-03-14,300.2,303.8,298.2,299.7,300.45,3032723.0,9132.89
2018-03-15,299.8,300.95,294.1,294.8,295.15,3721114.0,11040.99
2018-03-16,295.0,295.0,288.8,289.95,290.25,7106321.0,20695.28
2018-03-19,290.25,290.25,280.05,284.3,283.6,3716523.0,10541.69
2018-03-20,280.1,288.75,279.65,285.35,285.5,5586853.0,15960.67
2018-03-21,288.75,291.3,285.25,287.4,288.4,3943743.0,11369.18
2018-03-22,288.0,290.9,284.85,285.5,286.0,3731255.0,10744.91
2018-03-23,279.9,288.1,276.35,286.9,286.0,6571245.0,18490.29
2018-03-26,286.0,296.0,285.0,295.0,293.9,3302313.0,9563.92
2018-03-27,299.45,300.0,295.1,299.75,298.85,4209223.0,12549.56
2018-03-28,296.9,298.2,286.4,287.4,288.15,5122171.0,14949.92
2018-04-02,290.0,297.45,288.25,296.55,296.55,2582307.0,7554.76
2018-04-03,294.95,304.55,292.3,304.1,303.05,5214588.0,15652.47
2018-04-04,304.5,307.25,293.65,295.5,295.85,5561514.0,16739.52
2018-04-05,301.05,309.35,300.6,307.9,308.4,4210195.0,12873.29
2018-04-06,305.5,309.3,304.5,307.8,308.2,2787944.0,8551.66
2018-04-09,308.0,313.0,306.7,309.4,309.4,3191991.0,9909.25
2018-04-10,312.9,314.75,307.05,311.8,311.35,3478934.0,10847.71
2018-04-11,315.95,318.4,310.55,311.8,312.2,6847386.0,21568.7
2018-04-12,312.0,312.85,306.75,307.75,308.25,2993563.0,9254.85
2018-04-13,309.5,312.3,305.5,308.5,308.5,4046812.0,12503.83
2018-04-16,307.4,310.0,306.0,309.1,308.9,2741849.0,8462.08
2018-04-17,309.5,311.3,307.2,308.05,309.15,2788017.0,8615.37
2018-04-18,307.0,312.0,307.0,310.7,309.95,3234140.0,10028.09
2018-04-19,311.25,327.8,311.25,324.2,322.85,8395329.0,26917.86
2018-04-20,318.85,326.2,317.9,322.6,322.85,5243673.0,16871.87
2018-04-23,321.95,327.45,319.5,321.8,321.8,3113729.0,10042.99
2018-04-24,317.5,326.0,316.35,325.85,324.75,4078872.0,13112.77
2018-04-25,325.0,326.8,319.8,320.9,321.7,3081536.0,9938.91
2018-04-26,321.5,330.4,321.25,327.1,327.7,4602880.0,15019.47
2018-04-27,328.0,330.35,325.4,326.5,327.6,2704711.0,8866.81
2018-04-30,323.55,331.2,323.35,325.75,325.0,2847539.0,9307.4
2018-05-02,327.8,327.8,314.05,316.05,315.15,2136023.0,6837.16
2018-05-03,315.9,320.15,310.5,319.0,319.3,5122999.0,16188.99
2018-05-04,318.5,319.4,314.7,317.9,317.4,3147597.0,9973.83
2018-05-07,319.95,327.1,316.5,326.7,325.8,3285970.0,10631.53
2018-05-08,326.7,328.45,322.8,323.05,324.05,2779564.0,9031.4
2018-05-09,325.0,326.9,320.65,323.0,321.75,2987922.0,9669.4
2018-05-10,323.0,324.95,318.1,320.0,319.55,3185014.0,10218.22
2018-05-11,320.6,325.25,319.5,323.7,323.75,2208433.0,7131.86
2018-05-14,323.7,331.45,321.2,327.7,329.05,3103900.0,10141.03
2018-05-15,329.5,342.75,327.6,335.3,334.55,6620191.0,22197.4
2018-05-16,333.8,340.0,329.9,338.5,336.6,5178318.0,17392.74
2018-05-17,341.0,341.0,328.1,331.15,332.0,9191526.0,30631.45
2018-05-18,332.9,335.75,318.1,318.7,319.45,4676411.0,15269.57
2018-05-21,318.7,323.45,307.65,308.4,309.25,5132127.0,16156.8
