Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,1011.85,1012.2,996.8,998.15,999.95,1317415.0,13219.9
2018-01-02,1001.0,1006.0,992.5,1001.75,1003.2,1072207.0,10704.87
2018-01-03,1002.6,1006.9,998.1,998.5,1000.1,884021.0,8852.92
2018-01-04,1001.0,1002.9,996.1,1001.95,1000.4,783950.0,7839.03
2018-01-05,1002.5,1006.7,996.6,1003.0,1003.05,2147402.0,21533.37
2018-01-08,1008.85,1013.1,1003.7,1005.55,1006.1,1780412.0,17962.01
2018-01-09,1010.0,1020.65,996.0,1009.8,1009.75,1242106.0,12546.79
2018-01-10,1007.6,1009.45,1000.1,1002.0,1002.25,676881.0,6789.27
2018-01-11,1003.7,1021.0,1001.05,1017.8,1017.65,2077832.0,21076.47
2018-01-12,1022.5,1025.9,1016.1,1017.5,1023.35,2320796.0,23709.3
2018-01-15,1025.0,1041.4,1020.35,1038.0,1038.35,3511372.0,36215.28
2018-01-16,1043.55,1044.0,1027.5,1030.0,1033.25,1158187.0,11990.44
2018-01-17,1028.05,1034.15,1021.8,1030.0,1027.1,1603465.0,16472.06
2018-01-18,1033.0,1050.8,1031.4,1047.05,1046.5,3648214.0,37973.85
2018-01-19,1052.7,1063.9,1043.05,1058.0,1060.55,4304314.0,45362.3
2018-01-22,1061.0,1078.2,1044.0,1073.35,1074.1,3189930.0,34217.41
2018-01-23,1076.95,1083.75,1070.25,1070.95,1075.45,2458463.0,26495.53
2018-01-24,1071.25,1084.0,1070.95,1081.7,1080.1,1168000.0,12602.51
2018-01-25,1076.0,1098.0,1050.1,1092.4,1092.35,4061319.0,44256.87
2018-01-29,1092.0,1119.5,1091.0,1112.8,1115.1,2215014.0,24655.87
2018-01-30,1113.05,1118.0,1083.95,1085.8,1088.05,2692935.0,29557.52
2018-01-31,1084.0,1113.2,1083.15,1109.0,1108.95,3143011.0,34648.4
2018-02-01,1105.1,1131.0,1105.1,1120.55,1120.95,3856283.0,43244.79
2018-02-02,1115.0,1115.0,1077.95,1082.25,1085.95,2281820.0,24841.82
2018-02-05,1075.0,1081.05,1050.8,1063.0,1062.25,2370531.0,25265.81
2018-02-06,1035.65,1049.4,1018.2,1036.75,1033.8,3334520.0,34291.02
2018-02-07,1037.0,1050.0,1031.0,1033.0,1036.3,3536295.0,36765.3
2018-02-08,1036.3,1056.0,1030.6,1049.3,1051.75,1839297.0,19273.84
2018-02-09,1040.0,1045.5,1028.0,1036.0,1032.0,1898563.0,19640.53
2018-02-12,1037.5,1046.0,1032.65,1042.75,1042.95,772861.0,8024.24
2018-02-14,1050.0,1052.35,1036.8,1038.9,1042.45,1187333.0,12405.05
2018-02-15,1043.5,1047.5,1033.0,1043.75,1042.15,908706.0,9459.03
2018-02-16,1043.0,1062.0,1040.85,1052.0,1050.2,1655606.0,17441.53
2018-02-19,1059.0,1059.0,1046.55,1055.0,1056.2,1188168.0,12523.68
