Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,1261.0,1274.0,1255.9,1260.0,1260.7,2048058.0,25892.83
2018-01-02,1267.0,1269.9,1242.85,1251.9,1249.75,1512324.0,18941.39
2018-01-03,1255.9,1283.95,1251.5,1283.0,1275.3,2720736.0,34457.96
2018-01-04,1284.95,1320.0,1280.1,1313.3,1315.7,4546456.0,59302.58
2018-01-05,1325.0,1328.95,1308.0,1311.4,1314.9,2418902.0,31887.43
2018-01-08,1316.5,1345.95,1316.5,1335.0,1338.25,3513256.0,46885.86
2018-01-09,1340.0,1343.0,1326.4,1331.5,1332.75,1703294.0,22707.52
2018-01-10,1332.2,1336.5,1317.65,1322.9,1323.75,1098019.0,14546.8
2018-01-11,1320.2,1326.8,1313.05,1321.85,1323.55,1232290.0,16286.03
2018-01-12,1325.5,1332.3,1309.75,1330.0,1329.15,1825056.0,24187.04
2018-01-15,1334.85,1351.2,1323.6,1329.0,1325.95,2386631.0,31906.2
2018-01-16,1331.05,1339.65,1323.35,1325.0,1326.2,3139385.0,41747.64
2018-01-17,1323.0,1357.0,1320.25,1356.0,1353.35,2724814.0,36479.49
2018-01-18,1360.0,1385.0,1350.45,1362.35,1360.8,4966982.0,68133.16
2018-01-19,1362.0,1378.65,1353.5,1372.95,1371.45,2127776.0,29164.97
2018-01-22,1289.2,1403.65,1289.2,1399.0,1398.85,3067658.0,42317.59
2018-01-23,1406.0,1415.0,1393.1,1412.6,1410.7,4804202.0,67452.69
2018-01-24,1407.1,1409.8,1389.8,1400.45,1401.2,2147973.0,30081.52
2018-01-25,1392.0,1427.05,1392.0,1417.65,1416.5,6113475.0,86553.2
2018-01-29,1418.0,1441.65,1418.0,1432.95,1431.95,2945415.0,42192.02
2018-01-30,1429.95,1436.7,1406.75,1432.0,1429.9,1988140.0,28251.87
2018-01-31,1431.9,1439.7,1412.0,1424.9,1416.5,2614515.0,37127.55
2018-02-01,1458.9,1470.0,1405.2,1458.0,1455.6,8187730.0,118939.36
2018-02-02,1448.0,1448.0,1410.05,1415.0,1415.45,3621563.0,51622.62
2018-02-05,1380.0,1400.0,1355.1,1367.3,1363.65,3060688.0,42067.52
2018-02-06,1319.95,1372.35,1294.25,1351.25,1353.05,4230633.0,56916.68
2018-02-07,1370.0,1370.0,1330.0,1332.0,1333.75,2927403.0,39335.05
2018-02-08,1345.0,1359.5,1333.0,1346.45,1347.4,1932082.0,26075.96
