Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,9749.0,9789.0,9629.8,9644.0,9651.9,426354.0,41392.91
2018-01-02,9699.0,9718.6,9525.0,9562.0,9554.05,451227.0,43298.11
2018-01-03,9597.0,9598.0,9402.0,9420.0,9416.6,658281.0,62359.29
2018-01-04,9450.0,9488.0,9367.2,9393.35,9386.25,562919.0,52994.27
2018-01-05,9458.0,9532.0,9412.55,9448.7,9433.85,732512.0,69353.29
2018-01-08,9488.0,9495.0,9425.0,9432.0,9448.95,294549.0,27846.91
2018-01-09,9464.8,9491.45,9361.0,9385.1,9383.55,427590.0,40214.14
2018-01-10,9387.8,9454.85,9315.9,9375.0,9375.85,394826.0,37078.35
2018-01-11,9410.0,9430.0,9326.0,9333.65,9339.8,369158.0,34590.03
2018-01-12,9387.0,9494.75,9355.1,9460.0,9459.15,685141.0,64637.71
2018-01-15,9499.95,9508.55,9340.0,9352.0,9358.45,385462.0,36230.63
2018-01-16,9371.0,9408.65,9300.0,9323.3,9322.05,364816.0,34071.34
2018-01-17,9316.0,9368.8,9256.0,9316.0,9313.9,390461.0,36366.22
2018-01-18,9350.0,9518.9,9332.0,9360.0,9368.7,686971.0,64735.65
2018-01-19,9325.0,9396.0,9282.0,9335.0,9323.95,542339.0,50577.57
2018-01-22,9349.0,9356.75,9271.6,9316.0,9310.1,454188.0,42251.31
2018-01-23,9347.0,9429.3,9290.0,9405.0,9393.4,561948.0,52608.29
2018-01-24,9419.0,9519.95,9340.45,9431.0,9434.95,568489.0,53740.93
2018-01-25,9485.0,9485.0,9250.0,9299.9,9278.2,705224.0,66013.81
2018-01-29,9481.0,9714.0,9461.0,9612.45,9630.7,1546624.0,148677.96
2018-01-30,9620.0,9675.5,9550.0,9569.8,9571.55,573988.0,55166.06
2018-01-31,9558.05,9585.0,9458.9,9500.0,9509.7,462650.0,44063.05
2018-02-01,9545.0,9563.7,9312.0,9389.0,9401.85,550971.0,52049.72
2018-02-02,9359.0,9359.0,8940.0,8990.6,8990.6,984189.0,89644.08
2018-02-05,8850.15,9120.0,8688.0,9118.9,9080.6,651062.0,58394.6
2018-02-06,8700.0,9113.5,8661.6,9015.0,8984.6,840339.0,74696.49
2018-02-07,9170.0,9170.0,8873.0,8885.2,8921.8,509440.0,45999.47
