Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,177.05,177.35,175.7,176.5,176.55,5574802.0,9843.21
2018-01-02,176.8,179.25,176.55,178.5,178.9,8476281.0,15076.76
2018-01-03,179.5,180.3,176.75,177.0,177.05,10341665.0,18413.44
2018-01-04,177.45,177.9,176.55,177.6,177.1,7260268.0,12853.41
2018-01-05,177.3,178.25,176.5,177.25,177.5,10359225.0,18357.16
2018-01-08,177.6,178.5,176.9,178.0,177.65,6075105.0,10769.14
2018-01-09,177.9,178.4,175.75,175.95,176.7,6557247.0,11613.48
2018-01-10,176.2,176.8,173.4,174.25,173.95,8197173.0,14344.93
2018-01-11,174.0,174.9,173.0,173.5,173.5,5536143.0,9615.01
2018-01-12,173.7,174.1,171.8,172.5,172.5,6974418.0,12084.54
2018-01-15,173.0,175.4,171.8,173.35,172.95,4553198.0,7919.74
2018-01-16,173.6,174.6,170.6,173.6,173.25,8448334.0,14513.28
2018-01-17,173.2,174.85,170.85,174.25,174.25,6330277.0,10935.28
2018-01-18,174.85,174.85,171.65,172.25,172.15,6900318.0,11988.43
2018-01-19,172.05,173.45,170.2,172.5,172.75,3197248.0,5486.85
2018-01-22,173.0,173.3,171.45,171.8,172.4,4518855.0,7788.2
2018-01-23,172.1,176.25,172.1,172.7,172.7,5398827.0,9375.54
2018-01-24,172.65,174.7,171.6,174.5,174.0,9731185.0,16780.25
2018-01-25,173.55,175.5,171.4,171.7,171.95,11304494.0,19511.73
2018-01-29,172.0,172.75,170.5,171.35,171.05,10765685.0,18436.99
2018-01-30,171.05,172.5,169.8,170.15,170.3,7670738.0,13154.31
2018-01-31,170.0,170.95,168.75,170.3,170.25,6517115.0,11080.5
2018-02-01,169.25,169.8,167.4,169.0,169.05,9187297.0,15491.61
2018-02-02,167.5,168.55,164.8,164.9,165.2,4003119.0,6655.66
2018-02-05,162.0,167.4,162.0,167.0,166.25,5941662.0,9877.3
2018-02-06,162.0,166.0,161.25,165.35,165.3,4044285.0,6624.04
2018-02-07,164.5,166.25,158.85,165.05,165.45,9478496.0,15499.97
2018-02-08,165.45,165.75,163.0,163.75,163.7,6238973.0,10264.76
2018-02-09,162.45,164.05,160.5,163.2,163.25,3765185.0,6111.47
2018-02-12,163.8,165.3,162.1,164.75,164.9,8722064.0,14293.39
2018-02-14,165.0,165.7,162.15,162.4,162.95,4101637.0,6688.13
2018-02-15,163.45,164.35,162.65,162.95,163.2,2151637.0,3514.09
2018-02-16,163.5,163.8,162.05,162.65,162.8,6117270.0,9982.06
2018-02-19,163.35,163.65,161.45,163.0,162.9,2195735.0,3573.9
2018-02-20,162.35,165.1,162.1,163.7,164.2,5188315.0,8486.53
2018-02-21,165.0,165.0,161.5,162.6,162.3,7763625.0,12603.07
2018-02-22,161.9,162.3,160.15,161.0,160.75,4945614.0,7981.04
2018-02-23,161.05,164.0,160.85,163.1,163.55,3809344.0,6194.67
2018-02-26,163.6,163.65,161.5,162.5,162.95,2905593.0,4725.66
2018-02-27,164.0,166.0,162.55,165.1,165.55,3204111.0,5277.94
2018-02-28,164.0,165.2,162.55,163.25,163.25,4381524.0,7164.17
2018-03-01,163.7,163.75,162.0,163.05,163.0,2146760.0,3499.11
2018-03-05,161.5,165.1,160.05,165.1,163.3,3287892.0,5322.65
2018-03-06,164.3,164.95,162.2,163.0,163.35,5114754.0,8374.68
2018-03-07,163.0,164.7,161.9,163.6,163.5,2609001.0,4267.4
2018-03-08,164.0,166.0,162.25,164.75,165.3,4538911.0,7460.59
2018-03-09,165.1,165.3,162.55,164.6,164.4,3737738.0,6132.27
2018-03-12,164.8,172.75,164.1,170.75,171.15,2911168.0,4899.77
2018-03-13,169.4,170.75,167.3,169.0,169.4,3126930.0,5289.79
2018-03-14,169.3,170.15,168.15,168.95,169.7,3707403.0,6278.25
2018-03-15,169.0,170.15,167.3,170.0,169.9,3652747.0,6168.61
2018-03-16,167.8,169.45,163.65,165.0,164.85,12378708.0,20471.73
2018-03-19,165.0,167.9,163.65,166.85,167.0,5021670.0,8362.21
2018-03-20,166.4,167.3,164.65,167.0,166.4,3150362.0,5216.99
2018-03-21,167.5,170.85,165.65,170.0,170.35,5721685.0,9715.38
2018-03-22,169.0,171.2,168.5,171.0,170.95,3726928.0,6340.27
2018-03-23,168.9,171.8,168.3,169.95,170.05,9023161.0,15378.65
2018-03-26,169.95,171.0,168.75,169.55,169.85,5500046.0,9345.47
2018-03-27,170.25,171.5,168.45,170.85,171.05,3496078.0,5957.91
2018-03-28,170.7,171.0,166.45,170.0,169.7,8449015.0,14308.05
2018-04-02,169.9,170.85,168.1,170.55,170.4,2805938.0,4756.95
2018-04-03,170.8,171.9,168.6,169.05,169.35,3717328.0,6305.68
2018-04-04,169.15,169.35,165.5,165.8,166.55,3331860.0,5585.09
2018-04-05,167.0,169.75,166.8,169.35,168.95,3263955.0,5514.54
2018-04-06,168.4,170.0,167.15,169.55,169.45,2612270.0,4405.27
2018-04-09,169.0,170.45,168.45,168.8,169.65,3275669.0,5554.97
2018-04-10,169.9,170.4,168.15,168.4,168.4,2172698.0,3676.69
2018-04-11,169.3,170.6,167.7,168.25,168.5,5656579.0,9543.96
2018-04-12,168.1,169.85,167.35,169.5,169.5,5722517.0,9672.25
2018-04-13,169.6,171.7,169.15,170.8,170.95,2902637.0,4959.07
2018-04-16,169.6,174.9,169.6,174.45,174.1,3078790.0,5330.04
2018-04-17,174.45,177.8,174.1,176.55,176.95,5582697.0,9874.76
2018-04-18,176.5,180.0,176.35,178.95,178.55,4124162.0,7338.24
2018-04-19,179.0,179.6,177.0,177.5,177.55,2617699.0,4652.45
2018-04-20,177.95,177.95,173.25,175.2,174.35,2913239.0,5100.42
2018-04-23,174.05,175.5,173.15,173.9,173.6,2974188.0,5174.16
2018-04-24,173.55,174.65,172.1,173.2,172.85,1669647.0,2886.88
2018-04-25,172.8,172.85,169.5,172.0,171.85,4520117.0,7717.15
2018-04-26,172.65,173.85,169.55,171.65,172.0,4456282.0,7631.32
2018-04-27,172.6,172.75,169.4,170.65,170.75,7772540.0,13236.07
2018-04-30,171.2,173.15,169.8,172.1,172.15,1908456.0,3278.69
2018-05-02,172.75,172.75,169.8,170.45,170.4,2175321.0,3729.64
2018-05-03,170.75,176.2,170.05,173.5,174.3,2957534.0,5110.86
