Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,195.2,195.7,192.0,192.0,192.35,5899565.0,11412.44
2018-01-02,195.75,197.5,195.0,196.4,196.85,12878378.0,25284.06
2018-01-03,197.4,197.4,193.0,193.65,193.45,8032715.0,15622.29
2018-01-04,195.3,200.0,195.2,198.75,199.5,12740860.0,25197.47
2018-01-05,200.95,200.95,196.3,198.0,198.45,6812787.0,13498.63
2018-01-08,198.0,199.9,196.7,197.05,197.4,4858711.0,9612.24
2018-01-09,198.5,199.0,196.5,196.65,197.0,4598757.0,9085.61
2018-01-10,198.3,200.0,197.25,198.0,197.9,7673209.0,15228.37
2018-01-11,198.0,199.7,197.0,197.55,197.9,5701402.0,11287.27
2018-01-12,198.9,201.95,197.65,200.05,200.75,9291346.0,18566.47
2018-01-15,199.5,200.35,196.0,196.65,196.6,4500523.0,8901.29
2018-01-16,197.6,198.25,195.0,197.25,197.2,5778244.0,11353.33
2018-01-17,196.3,198.65,194.1,195.3,195.7,6306388.0,12362.78
2018-01-18,196.4,197.5,193.25,194.75,194.1,6247782.0,12203.44
2018-01-19,194.15,196.15,192.0,194.1,193.7,5046015.0,9784.61
2018-01-22,198.0,205.95,198.0,200.95,200.7,23165754.0,46790.71
2018-01-23,202.0,208.7,200.4,207.65,207.35,15755015.0,32242.34
2018-01-24,209.2,212.0,208.0,210.95,210.85,16132441.0,33877.78
2018-01-25,212.4,212.85,207.1,207.75,208.5,10247173.0,21428.0
2018-01-29,208.0,208.45,204.25,205.55,205.15,7620080.0,15687.79
2018-01-30,203.85,208.0,203.5,203.95,204.8,7323876.0,15040.86
2018-01-31,203.0,204.6,198.8,203.55,203.45,11990243.0,24227.75
2018-02-01,204.05,207.05,194.0,195.45,194.9,10015459.0,20052.87
2018-02-02,194.0,197.75,188.0,192.45,192.7,12239774.0,23499.17
2018-02-05,192.4,192.45,188.0,189.15,188.75,7607002.0,14450.13
2018-02-06,182.0,187.0,180.1,185.75,185.45,5935676.0,10967.24
2018-02-07,188.05,191.5,187.0,189.3,190.0,8644010.0,16403.98
2018-02-08,190.0,191.6,188.0,188.75,188.7,4540513.0,8599.26
2018-02-09,187.4,190.2,184.6,187.5,187.35,7314145.0,13713.93
2018-02-12,192.0,194.5,190.35,191.3,191.0,14960914.0,28804.44
2018-02-14,191.0,192.0,184.3,184.55,185.75,4960527.0,9318.61
2018-02-15,187.1,189.0,185.0,188.1,188.3,5046557.0,9440.9
2018-02-16,187.6,189.3,186.5,186.85,186.9,4167034.0,7824.56
2018-02-19,187.4,187.4,181.85,185.6,185.3,4265576.0,7860.21
2018-02-20,185.8,188.5,184.8,187.45,187.0,5328584.0,9948.62
2018-02-21,188.0,190.8,184.7,189.6,190.15,4651807.0,8781.42
2018-02-22,187.5,188.4,185.25,186.15,186.1,8629189.0,16066.01
2018-02-23,187.05,190.85,186.5,190.1,189.8,4880302.0,9223.01
2018-02-26,190.35,191.95,189.5,189.95,190.35,2721955.0,5195.61
2018-02-27,191.0,194.35,186.1,188.5,188.5,6611097.0,12615.11
2018-02-28,187.7,190.2,186.3,188.0,188.3,6147245.0,11610.62
2018-03-01,187.9,190.2,187.35,189.6,189.7,3450224.0,6528.98
2018-03-05,189.0,189.4,184.2,185.25,185.55,5082390.0,9456.33
2018-03-06,186.5,186.9,184.5,185.45,185.4,2906142.0,5391.1
2018-03-07,185.0,185.25,178.8,181.7,181.5,4482279.0,8112.28
2018-03-08,182.0,182.7,179.4,180.6,180.15,3288627.0,5927.44
2018-03-09,180.3,182.95,179.5,180.05,179.9,2053847.0,3718.34
2018-03-12,180.9,184.3,179.0,184.0,183.85,4161129.0,7537.45
2018-03-13,182.4,184.2,181.55,183.6,183.6,2457755.0,4497.75
2018-03-14,182.8,184.1,179.75,180.75,180.6,4846612.0,8788.18
2018-03-15,181.1,181.4,178.75,179.75,180.3,5145739.0,9266.47
2018-03-16,180.3,180.45,176.1,177.0,177.15,8194541.0,14536.88
2018-03-19,177.7,178.4,176.15,176.6,176.85,5782668.0,10247.54
2018-03-20,176.4,177.75,173.6,174.5,174.1,3020586.0,5303.63
2018-03-21,175.7,177.3,173.65,176.0,175.55,4055822.0,7122.28
2018-03-22,177.0,181.7,176.55,179.0,178.9,8348549.0,15011.35
2018-03-23,176.2,179.55,176.15,177.3,177.4,6884971.0,12262.28
2018-03-26,179.45,179.45,176.0,179.05,178.9,4169998.0,7408.4
2018-03-27,180.55,181.1,177.25,179.45,179.6,3823981.0,6833.72
2018-03-28,178.5,179.0,176.1,177.8,177.8,6229049.0,11052.46
2018-04-02,179.1,180.9,178.4,180.3,179.95,2235832.0,4017.06
2018-04-03,177.7,179.2,176.4,177.3,177.5,3552271.0,6302.45
2018-04-04,178.5,178.5,174.7,175.0,175.4,3353172.0,5901.78
2018-04-05,176.5,177.9,175.45,177.7,177.45,5375271.0,9498.05
2018-04-06,179.35,179.35,176.4,177.0,176.95,3633964.0,6448.02
2018-04-09,177.1,179.15,176.3,178.95,178.4,4046065.0,7199.45
2018-04-10,179.4,180.6,178.2,180.0,180.2,5180326.0,9307.32
2018-04-11,181.5,185.4,180.35,181.85,182.15,11607043.0,21244.43
2018-04-12,183.15,184.0,181.0,181.7,181.75,4277125.0,7794.61
2018-04-13,181.8,183.5,181.1,182.45,182.5,3050131.0,5560.33
2018-04-16,182.2,182.35,179.8,181.5,181.5,2308502.0,4180.84
2018-04-17,181.75,182.1,179.3,180.65,180.8,2721706.0,4906.0
2018-04-18,181.05,182.95,181.0,182.5,182.1,3279393.0,5969.44
2018-04-19,183.25,186.25,181.75,184.6,183.95,5004280.0,9215.45
2018-04-20,185.0,185.0,181.1,182.3,182.35,1618027.0,2951.44
2018-04-23,183.4,183.75,179.4,181.0,181.05,3930421.0,7114.18
2018-04-24,182.1,183.05,181.5,182.7,182.65,4080212.0,7449.83
2018-04-25,181.6,182.45,178.7,179.5,179.45,3629856.0,6522.28
2018-04-26,179.45,181.8,177.3,180.25,180.8,6742459.0,12131.17
2018-04-27,180.95,183.0,179.55,181.5,180.7,4687951.0,8482.32
2018-04-30,178.5,181.95,178.3,180.7,180.55,3335191.0,6024.15
2018-05-02,181.5,181.5,179.25,180.35,180.05,4157973.0,7495.67
2018-05-03,179.95,182.35,179.7,180.75,181.1,2796713.0,5065.28
2018-05-04,181.8,185.15,179.55,180.25,180.25,5325720.0,9725.67
2018-05-07,181.25,184.5,180.8,184.15,183.9,4799480.0,8764.51
2018-05-08,184.85,186.15,179.45,182.9,183.1,5730645.0,10519.22
2018-05-09,184.4,185.75,182.2,182.65,182.85,3075560.0,5638.42
2018-05-10,184.45,189.35,183.5,187.85,188.25,10328901.0,19337.29
2018-05-11,188.55,189.0,186.3,187.7,187.5,4926216.0,9248.01
2018-05-14,187.5,188.5,184.85,187.3,187.25,3255344.0,6071.88
2018-05-15,189.0,192.0,184.2,188.9,189.0,5877427.0,11171.19
2018-05-16,188.95,188.95,175.8,185.4,186.2,8348946.0,15588.67
2018-05-17,185.95,189.4,184.95,188.5,188.6,4519306.0,8482.61
2018-05-18,189.0,191.75,184.6,185.15,185.05,4488003.0,8463.63
2018-05-21,186.45,188.65,185.2,185.85,185.75,3380355.0,6317.87
2018-05-22,186.2,188.5,184.0,185.3,185.2,3796268.0,7055.51
2018-05-23,183.9,185.35,174.3,175.35,175.4,5590802.0,10039.76
2018-05-24,175.6,176.1,155.15,167.7,167.7,34819270.0,57110.21
2018-05-25,166.0,176.2,162.85,175.15,175.45,12361678.0,21140.49
2018-05-28,175.0,178.8,173.7,175.7,175.6,8087040.0,14195.74
2018-05-29,176.2,177.4,173.25,175.15,175.55,11015160.0,19270.14
2018-05-30,175.4,178.5,172.7,174.5,174.0,12554659.0,21893.64
2018-05-31,177.7,180.35,175.05,177.9,177.9,23822373.0,42409.38
2018-06-01,176.0,176.0,170.6,172.8,173.2,9847581.0,17029.05
2018-06-04,175.4,175.4,170.4,170.5,171.1,5294603.0,9133.75
2018-06-05,170.5,172.3,169.2,171.2,171.2,5918946.0,10132.02
2018-06-06,171.25,172.25,169.8,171.15,170.3,3331408.0,5700.02
2018-06-07,170.1,173.75,170.1,173.0,172.65,5086661.0,8778.54
2018-06-08,174.0,174.9,172.1,173.0,173.7,4323567.0,7506.05
2018-06-11,174.05,174.3,172.5,173.3,173.3,3192749.0,5531.0
2018-06-12,172.85,175.6,170.8,171.55,171.4,4564556.0,7904.25
2018-06-13,170.8,172.0,168.6,170.4,170.0,5321172.0,9044.69
2018-06-14,169.5,170.8,167.0,168.6,168.5,4188442.0,7052.14
2018-06-15,166.4,168.3,164.55,165.65,165.45,7589493.0,12591.72
2018-06-18,164.9,167.4,163.25,165.0,164.6,4390244.0,7233.06
2018-06-19,165.4,166.8,163.5,164.05,164.8,4413184.0,7290.15
2018-06-20,165.0,165.0,162.15,162.55,162.75,5768211.0,9397.41
2018-06-21,163.7,163.7,158.25,160.1,159.7,12638114.0,20196.38
2018-06-22,160.65,160.65,158.65,159.4,159.55,5371207.0,8560.76
2018-06-25,160.35,160.7,156.1,156.75,156.65,5899032.0,9273.01
2018-06-26,156.4,158.9,156.05,158.25,158.3,5960446.0,9387.04
2018-06-27,158.35,158.85,154.45,156.25,156.25,7034207.0,10977.31
2018-06-28,156.3,158.6,151.8,155.25,153.5,17670403.0,27398.74
2018-06-29,155.15,159.35,154.15,158.0,158.4,7079407.0,11176.11
2018-07-02,157.85,158.0,153.5,155.35,155.5,9196529.0,14268.13
2018-07-03,155.05,161.6,154.7,157.95,157.7,12087830.0,19246.61
2018-07-04,157.8,158.0,155.05,156.0,156.0,5194030.0,8098.22
2018-07-05,156.0,157.6,154.2,156.8,156.4,6807718.0,10622.35
2018-07-06,156.9,157.35,155.25,155.55,155.45,3633191.0,5674.01
2018-07-09,156.0,158.4,155.2,158.2,157.4,4379183.0,6861.14
2018-07-10,158.5,159.8,157.35,158.0,157.95,5276248.0,8351.8
2018-07-11,158.0,158.75,156.5,158.0,158.1,6653936.0,10506.71
2018-07-12,159.6,160.2,154.75,158.55,158.95,8165181.0,12969.32
2018-07-13,159.05,159.05,153.6,154.6,154.1,3523600.0,5485.32
2018-07-16,155.7,156.15,153.05,154.25,153.8,3680440.0,5691.29
2018-07-17,153.25,156.85,152.45,156.15,156.15,3952416.0,6129.33
2018-07-18,156.9,164.8,156.85,160.3,160.3,16571981.0,26830.16
2018-07-19,162.7,165.2,160.8,161.8,161.75,8472466.0,13793.69
2018-07-20,161.75,162.0,156.6,158.3,157.95,5475594.0,8643.16
2018-07-23,158.05,158.75,154.8,157.4,156.55,4553137.0,7117.45
2018-07-24,157.2,158.2,155.85,157.5,157.2,3943002.0,6184.79
2018-07-25,157.75,160.75,157.25,159.0,159.05,4063454.0,6466.43
2018-07-26,159.2,164.0,158.2,162.6,162.55,8778489.0,14196.79
2018-07-27,162.5,162.8,160.15,161.45,161.3,3542015.0,5711.08
2018-07-30,161.45,166.45,161.15,164.3,164.1,9599714.0,15700.05
2018-07-31,165.8,166.75,163.0,165.9,165.7,6815180.0,11237.09
2018-08-01,165.25,168.75,165.15,167.15,167.2,4618179.0,7728.32
2018-08-02,169.4,170.8,165.25,167.1,166.4,7825776.0,13110.75
2018-08-03,170.4,171.0,166.2,166.6,166.8,12172870.0,20446.86
2018-08-06,167.1,169.7,166.8,169.1,169.25,5159560.0,8688.56
2018-08-07,170.0,170.0,166.55,167.5,167.55,4300164.0,7243.16
2018-08-08,167.6,172.9,167.6,172.8,172.5,7991348.0,13634.85
2018-08-09,172.55,172.9,168.35,169.0,168.9,4437178.0,7528.18
2018-08-10,169.4,170.9,168.15,169.05,169.25,4341382.0,7344.29
2018-08-13,168.9,168.9,165.5,166.3,166.05,3731211.0,6220.55
2018-08-14,166.35,167.0,164.85,166.1,166.25,3791016.0,6284.36
2018-08-16,165.9,166.6,163.85,164.35,164.45,4184404.0,6901.04
2018-08-17,164.5,165.0,162.5,163.2,163.05,4754545.0,7762.08
2018-08-20,164.0,169.9,164.0,169.0,168.7,9674107.0,16262.84
2018-08-21,169.8,171.25,166.8,170.75,170.2,5181397.0,8752.41
2018-08-23,171.0,172.5,168.9,171.7,171.9,6635245.0,11336.29
2018-08-24,171.0,176.5,170.8,174.6,174.75,9867693.0,17242.08
2018-08-27,175.45,176.9,175.0,176.2,176.05,3612496.0,6353.32
2018-08-28,176.2,178.5,173.25,175.0,174.6,5439278.0,9591.82
2018-08-29,175.0,178.7,174.1,176.9,177.0,6288920.0,11142.9
2018-08-30,176.9,181.9,176.15,178.2,177.45,11296260.0,20230.39
2018-08-31,178.75,181.25,177.75,179.85,180.05,8916222.0,16008.66
2018-09-03,180.75,180.75,176.65,177.2,177.3,3168480.0,5670.85
2018-09-04,177.75,178.15,173.6,174.3,174.35,2874936.0,5068.15
2018-09-05,174.15,175.0,170.75,173.75,173.7,3735722.0,6453.57
2018-09-06,174.0,176.15,170.6,173.9,174.5,6809374.0,11784.28
2018-09-07,175.0,175.0,171.1,171.7,171.9,5309239.0,9156.29
2018-09-10,170.5,171.3,168.1,168.3,168.65,5569685.0,9442.51
2018-09-11,168.7,170.0,167.4,167.75,167.8,8750333.0,14714.52
2018-09-12,166.2,170.8,166.2,168.5,168.5,5610743.0,9489.7
2018-09-14,169.5,173.3,168.4,173.0,172.55,4720460.0,8065.69
2018-09-17,171.1,173.55,170.65,172.35,171.7,4012086.0,6894.75
2018-09-18,172.35,174.6,171.75,174.0,173.9,6426239.0,11159.71
2018-09-19,173.25,178.7,173.25,177.4,177.0,10038603.0,17794.1
2018-09-21,177.3,181.55,176.7,180.3,180.4,9298030.0,16644.81
2018-09-24,181.0,185.4,179.3,180.9,180.6,13799885.0,25272.66
2018-09-25,181.95,184.65,179.4,182.05,182.3,8363857.0,15243.15
2018-09-26,184.8,184.8,178.95,180.1,180.6,6680285.0,12052.86
2018-09-27,181.1,181.75,175.05,176.4,175.8,7853039.0,13948.41
2018-09-28,177.0,181.0,172.35,178.65,177.2,8598293.0,15134.37
2018-10-01,179.3,181.1,174.65,179.9,179.0,4582462.0,8107.35
2018-10-03,177.9,183.5,177.9,181.3,181.45,8893914.0,16095.23
2018-10-04,180.5,182.55,163.35,163.35,172.4,7866152.0,13956.82
2018-10-05,160.05,160.05,145.6,147.1,147.05,35255036.0,53475.83
2018-10-08,149.0,150.85,144.7,150.05,149.8,11709162.0,17344.71
2018-10-09,150.5,151.9,145.45,146.9,146.65,6818577.0,10098.76
2018-10-10,146.1,151.45,146.1,148.6,148.6,10873198.0,16210.45
2018-10-11,146.1,159.6,146.1,152.65,152.95,15633772.0,23982.79
2018-10-12,154.7,158.35,154.05,157.45,157.4,6089606.0,9502.45
2018-10-15,158.95,160.9,156.65,160.35,160.15,4679911.0,7447.01
2018-10-16,161.95,167.2,161.1,165.3,165.6,8912396.0,14635.68
2018-10-17,166.6,167.3,160.55,162.25,162.1,5347724.0,8708.28
2018-10-19,162.5,163.75,157.0,160.75,160.45,7258192.0,11607.94
2018-10-22,161.0,161.8,155.25,156.2,155.95,5476435.0,8628.91
2018-10-23,155.35,157.4,150.9,156.0,155.4,8239765.0,12612.54
2018-10-24,157.95,159.7,153.6,157.65,157.75,8342857.0,13057.95
2018-10-25,157.0,162.8,153.05,155.6,155.35,32100452.0,50093.45
2018-10-26,156.0,156.8,149.65,152.0,151.8,9427229.0,14403.36
2018-10-29,152.5,155.75,150.6,154.3,154.9,5954637.0,9162.46
2018-10-30,155.0,155.0,152.1,153.65,152.95,4156028.0,6367.71
2018-10-31,154.0,155.0,151.4,153.1,153.25,7562821.0,11564.05
2018-11-01,155.5,155.8,153.35,154.15,154.25,5220182.0,8066.81
2018-11-02,155.5,158.45,155.1,157.25,157.35,7789972.0,12259.12
2018-11-05,165.0,165.0,154.2,155.25,154.95,15261029.0,24044.87
2018-11-06,155.95,158.2,153.8,156.05,156.05,7749980.0,12114.73
2018-11-07,157.55,157.85,156.6,157.0,157.0,491522.0,771.55
2018-11-09,158.0,158.0,155.15,156.3,156.4,6478458.0,10112.96
2018-11-12,156.95,158.4,155.35,156.05,156.05,4686739.0,7348.39
2018-11-13,156.05,158.0,155.7,156.5,156.5,5499454.0,8608.61
2018-11-14,157.7,163.9,157.25,160.6,161.0,15008061.0,24228.54
2018-11-15,161.4,162.0,158.1,158.45,158.85,3468318.0,5559.22
2018-11-16,158.0,158.0,152.8,156.0,156.35,7515249.0,11644.42
2018-11-19,156.0,156.5,153.1,154.85,154.55,4614296.0,7123.46
2018-11-20,154.55,155.8,152.65,153.0,153.1,5480470.0,8455.17
2018-11-21,155.0,155.5,151.3,151.8,151.75,4573137.0,7027.71
2018-11-22,152.5,154.3,151.65,152.05,152.25,4477092.0,6857.63
2018-11-26,153.0,153.6,145.1,147.0,146.6,8093330.0,11936.61
2018-11-27,147.4,147.85,144.25,146.3,146.1,9231112.0,13464.82
2018-11-28,146.8,148.2,142.05,142.3,142.8,14201939.0,20552.53
2018-11-29,143.9,143.9,137.65,141.0,140.6,28991042.0,40573.95
2018-11-30,141.6,143.7,138.5,139.4,140.3,23675557.0,33194.84
2018-12-03,140.95,143.0,140.2,142.5,142.5,8371191.0,11873.59
2018-12-04,142.6,147.95,142.4,146.2,146.15,9753442.0,14220.19
2018-12-05,145.95,148.1,142.4,143.2,143.7,9774733.0,14167.93
2018-12-06,142.6,142.6,138.5,140.2,140.15,5771659.0,8107.69
2018-12-07,140.2,141.45,138.05,139.4,139.4,10571838.0,14734.41
2018-12-10,138.5,141.25,135.15,137.1,137.1,33096556.0,45610.24
2018-12-11,136.0,138.95,134.75,138.9,138.1,14884397.0,20350.16
2018-12-12,139.5,142.5,138.85,142.5,141.7,14020937.0,19689.8
2018-12-13,143.0,144.2,141.5,143.3,143.3,11251819.0,16063.8
2018-12-14,143.0,150.4,140.6,146.25,146.85,23355616.0,34235.15
2018-12-17,148.0,149.9,146.1,148.1,148.25,12767531.0,18930.12
2018-12-18,147.9,148.95,146.3,147.55,147.6,10474177.0,15431.51
2018-12-19,147.5,148.8,147.3,148.6,148.25,7008346.0,10382.38
2018-12-20,147.95,150.75,147.4,148.45,148.6,21204077.0,31569.02
2018-12-21,149.0,149.3,147.6,148.4,148.5,17767999.0,26343.66
2018-12-24,148.5,149.7,147.3,148.2,147.9,8200455.0,12161.5
2018-12-26,148.1,149.45,145.75,146.85,146.6,9247671.0,13629.57
2018-12-27,147.35,151.4,146.0,148.7,149.7,44356763.0,66234.86
2018-12-28,148.2,151.5,148.0,150.6,150.5,10732729.0,16137.64
2018-12-31,150.15,150.8,149.1,149.8,149.9,5778308.0,8663.18
