Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,199.05,201.75,199.05,200.45,200.2,3593261.0,7204.61
2018-01-02,201.25,201.8,199.3,201.0,200.75,2465835.0,4941.77
2018-01-03,201.5,202.45,200.6,202.1,201.65,4605412.0,9281.99
2018-01-04,202.0,202.85,200.0,200.4,200.35,2364782.0,4749.35
2018-01-05,201.3,202.05,200.6,201.15,201.25,2769503.0,5569.92
2018-01-08,202.0,203.25,200.05,201.1,200.55,6636300.0,13360.97
2018-01-09,201.1,201.4,200.3,201.0,201.0,4151457.0,8339.67
2018-01-10,201.9,201.9,198.5,199.95,199.85,4899593.0,9812.3
2018-01-11,199.1,200.3,197.3,198.0,197.85,6921938.0,13730.14
2018-01-12,198.1,198.3,195.7,196.2,196.35,5294204.0,10436.54
2018-01-15,197.8,200.25,195.15,199.1,199.3,5603852.0,11072.42
2018-01-16,199.1,199.3,194.35,196.4,196.2,7428122.0,14599.26
2018-01-17,196.0,198.7,194.0,198.0,197.4,7319498.0,14446.19
2018-01-18,198.6,199.8,195.75,196.85,197.0,13839476.0,27262.19
2018-01-19,197.0,198.0,194.3,195.6,196.1,4546247.0,8920.68
2018-01-22,196.15,196.95,195.0,195.25,195.3,5531239.0,10823.97
2018-01-23,195.3,196.35,194.05,195.0,195.85,9075432.0,17758.07
2018-01-24,195.3,196.95,195.15,195.75,195.95,6222026.0,12192.86
2018-01-25,196.7,196.85,193.15,194.9,194.3,7393321.0,14437.17
2018-01-29,194.5,196.0,194.0,194.05,194.15,6189131.0,12058.27
2018-01-30,193.8,196.15,190.7,194.95,194.95,12839776.0,24947.31
2018-01-31,194.95,195.3,192.0,194.1,193.8,8084501.0,15660.65
2018-02-01,194.5,195.15,189.0,195.0,194.85,9578382.0,18495.8
2018-02-02,194.5,194.5,191.0,193.0,192.9,12422214.0,23958.69
2018-02-05,190.0,196.95,190.0,196.35,196.5,12373481.0,24215.17
2018-02-06,190.0,195.6,190.0,194.5,194.95,7591082.0,14694.26
2018-02-07,195.8,196.85,193.4,195.0,195.5,8053174.0,15757.49
2018-02-08,194.0,194.65,192.35,193.25,193.2,18864371.0,36465.24
2018-02-09,192.0,194.3,191.0,194.0,193.2,8540478.0,16468.02
2018-02-12,194.2,199.05,193.3,198.0,198.5,6608165.0,12980.37
2018-02-14,198.45,198.45,193.7,195.75,195.45,7792834.0,15191.18
2018-02-15,196.0,198.3,194.7,197.35,197.9,4968912.0,9793.49
2018-02-16,198.1,198.25,194.75,195.35,195.55,3516874.0,6904.2
2018-02-19,195.6,196.95,193.6,194.15,194.15,2437060.0,4751.95
2018-02-20,194.9,196.35,193.75,195.1,195.0,4769753.0,9308.37
2018-02-21,195.6,195.9,193.3,194.0,193.95,5207855.0,10143.33
2018-02-22,193.3,194.5,189.25,190.5,190.25,14363969.0,27440.06
2018-02-23,190.6,193.85,190.35,193.35,193.25,6506718.0,12531.63
2018-02-26,195.0,197.2,193.0,196.05,196.15,4703810.0,9200.54
2018-02-27,197.25,198.25,195.55,197.2,197.75,9750068.0,19190.06
2018-02-28,196.8,198.2,195.4,198.1,197.7,3259699.0,6410.38
2018-03-01,197.1,198.5,195.55,197.1,197.4,4560010.0,8997.47
2018-03-05,196.8,197.05,194.25,196.7,196.95,3933311.0,7727.39
2018-03-06,197.1,197.5,192.1,193.3,193.15,5357824.0,10482.55
2018-03-07,192.75,194.0,191.25,193.75,193.35,5333068.0,10264.34
2018-03-08,193.85,195.9,192.4,195.2,195.4,5866779.0,11427.2
2018-03-09,195.5,195.65,191.8,192.35,192.9,5561479.0,10833.08
2018-03-12,193.5,195.65,193.0,195.05,195.0,8011688.0,15598.72
2018-03-13,194.9,197.0,193.25,194.65,195.05,5951992.0,11652.29
2018-03-14,194.65,196.2,193.5,194.2,194.35,4824847.0,9400.4
2018-03-15,193.95,195.75,193.8,194.3,194.8,3449728.0,6726.96
2018-03-16,194.4,197.15,191.35,192.35,192.25,5835262.0,11313.66
2018-03-19,193.4,195.1,192.5,194.4,194.2,7591581.0,14763.04
2018-03-20,194.1,196.1,192.8,194.95,194.9,5434545.0,10594.11
2018-03-21,195.5,195.5,193.6,193.9,194.2,5442271.0,10603.5
2018-03-22,194.2,194.7,192.25,192.35,192.7,6396662.0,12351.9
2018-03-23,191.0,195.25,191.0,194.75,194.25,5097792.0,9862.38
2018-03-26,194.4,195.5,194.25,194.9,194.9,8691285.0,16927.57
2018-03-27,195.1,196.35,195.1,196.0,195.95,4254453.0,8337.45
2018-03-28,195.5,195.8,192.3,192.8,193.25,7928958.0,15379.58
2018-04-02,192.9,195.2,192.9,194.8,194.9,3837160.0,7459.94
2018-04-03,194.8,199.5,194.55,198.65,198.55,3526792.0,6970.24
2018-04-04,198.95,199.9,194.65,196.35,196.05,5450232.0,10759.52
2018-04-05,197.9,198.45,196.0,196.1,196.25,4878846.0,9605.7
2018-04-06,197.5,197.9,195.75,195.95,195.95,4471171.0,8777.11
2018-04-09,196.0,196.5,195.2,195.8,195.85,2593376.0,5082.49
2018-04-10,196.85,198.65,196.3,197.0,196.95,4253691.0,8386.16
2018-04-11,198.0,198.2,195.8,197.0,197.0,3257053.0,6413.38
2018-04-12,197.2,197.9,196.1,196.4,196.35,1990005.0,3915.47
2018-04-13,196.5,198.0,196.4,197.95,197.5,1933883.0,3810.27
2018-04-16,197.25,200.9,196.8,199.55,199.2,5415997.0,10766.25
2018-04-17,203.2,207.15,202.2,204.9,204.9,13195105.0,27043.63
2018-04-18,205.1,205.8,204.35,205.0,205.0,4957945.0,10165.76
2018-04-19,205.5,208.9,204.95,207.6,208.1,5978038.0,12360.85
2018-04-20,208.8,209.6,206.2,207.5,207.2,3063725.0,6358.79
2018-04-23,207.9,207.9,205.2,207.05,206.8,2328743.0,4808.24
2018-04-24,208.2,208.2,204.8,206.6,206.45,2021988.0,4169.89
2018-04-25,206.4,210.0,203.9,209.25,207.35,3332687.0,6867.67
2018-04-26,207.55,208.7,206.2,207.5,207.0,4471983.0,9265.66
2018-04-27,207.5,208.7,207.1,207.95,207.9,4146524.0,8624.58
2018-04-30,207.55,209.0,207.05,207.8,207.85,3175241.0,6604.24
2018-05-02,207.0,209.1,204.7,204.7,205.15,4056134.0,8412.8
2018-05-03,205.0,207.55,203.25,206.25,206.45,2127777.0,4374.79
2018-05-04,207.0,207.8,204.5,207.25,207.4,12637368.0,26154.58
2018-05-07,207.0,210.0,207.0,209.95,209.3,3377187.0,7054.4
2018-05-08,209.5,214.0,208.85,212.5,212.75,11108293.0,23509.24
2018-05-09,212.0,213.7,211.15,212.0,211.85,7838063.0,16603.45
2018-05-10,211.2,211.8,204.7,207.9,208.0,7859920.0,16240.17
2018-05-11,208.8,209.0,205.95,207.3,206.85,6012540.0,12507.83
2018-05-14,206.0,209.8,206.0,209.0,209.05,7853699.0,16398.54
2018-05-15,209.0,216.0,208.65,214.0,213.85,31522977.0,67535.43
2018-05-16,214.4,215.0,212.55,213.5,213.45,10228377.0,21847.92
2018-05-17,212.5,216.0,212.3,213.45,213.45,10069279.0,21525.13
2018-05-18,213.7,215.0,212.1,212.9,212.95,10358438.0,22107.28
2018-05-21,214.45,214.45,211.6,212.95,212.65,9376866.0,19961.05
2018-05-22,213.75,214.0,209.5,210.4,210.75,5293836.0,11229.61
2018-05-23,211.0,212.45,209.7,211.05,211.3,10248747.0,21707.15
2018-05-24,212.4,212.4,211.4,211.8,211.75,9709004.0,20570.79
2018-05-25,210.25,213.05,210.25,211.95,212.05,16926167.0,35892.38
2018-05-28,212.25,212.5,206.3,206.9,206.95,9837171.0,20636.34
2018-05-29,208.25,209.7,205.75,206.55,207.0,8859017.0,18382.71
2018-05-30,207.0,211.95,207.0,209.5,209.5,20259356.0,42520.51
2018-05-31,209.9,212.7,201.6,209.35,209.45,154323307.0,322830.23
2018-06-01,206.9,207.9,200.35,204.7,205.95,9616721.0,19641.89
2018-06-04,206.95,206.95,200.6,202.55,201.7,8131730.0,16536.82
2018-06-05,200.8,201.15,195.1,198.15,198.85,7756212.0,15343.96
2018-06-06,197.5,203.25,197.5,202.0,201.1,4573416.0,9175.56
2018-06-07,201.45,203.95,198.25,202.8,202.75,4321986.0,8698.48
2018-06-08,200.9,201.2,196.75,197.85,197.9,6991475.0,13832.3
2018-06-11,198.6,199.25,194.5,195.65,195.7,11063276.0,21626.94
2018-06-12,196.45,196.45,193.4,194.9,195.05,7546970.0,14686.01
2018-06-13,196.3,199.35,195.1,197.7,198.15,6112507.0,12091.62
2018-06-14,198.2,199.35,196.6,199.0,198.85,4052919.0,8026.28
2018-06-15,198.85,199.0,196.25,197.55,197.85,5359466.0,10594.34
2018-06-18,197.85,199.5,196.25,198.75,198.65,2420688.0,4796.26
2018-06-19,197.55,199.7,196.8,199.1,198.7,4555719.0,9031.26
2018-06-20,198.7,199.7,196.8,198.55,199.15,4590123.0,9110.98
2018-06-21,198.1,198.65,193.8,195.45,195.45,6155201.0,12025.85
2018-06-22,196.2,198.4,194.1,197.0,197.7,4318762.0,8486.3
2018-06-25,197.7,198.3,191.5,193.9,194.2,4894771.0,9549.31
2018-06-26,193.9,194.7,189.0,192.15,190.75,5551442.0,10708.79
2018-06-27,191.95,192.5,185.7,188.8,187.2,7365681.0,13902.68
2018-06-28,188.4,188.75,183.15,185.2,184.8,12680239.0,23431.56
2018-06-29,185.25,190.35,184.1,187.5,186.85,4745135.0,8866.82
2018-07-02,187.0,187.35,183.5,185.0,185.05,7368833.0,13629.65
2018-07-03,184.05,185.45,181.2,184.6,184.55,5619804.0,10297.14
2018-07-04,185.25,189.25,182.15,183.25,183.0,5977279.0,11071.62
2018-07-05,183.15,183.75,180.55,181.65,181.65,4353397.0,7896.92
2018-07-06,181.65,182.9,180.85,181.5,181.8,4066661.0,7395.82
2018-07-09,182.2,185.0,182.0,184.3,184.5,5759335.0,10554.8
2018-07-10,185.0,185.35,183.4,183.95,184.05,4082776.0,7513.2
2018-07-11,183.8,184.75,182.4,183.35,182.9,2151809.0,3937.62
2018-07-12,183.2,183.6,181.6,182.5,182.6,6482241.0,11813.64
2018-07-13,182.2,183.35,181.25,181.8,181.75,2696476.0,4902.49
2018-07-16,181.05,182.5,180.6,181.4,181.35,6857537.0,12467.89
2018-07-17,180.7,182.25,180.0,181.65,181.45,2642742.0,4785.34
2018-07-18,182.6,183.8,178.05,178.35,178.5,3287886.0,5930.45
2018-07-19,179.1,180.8,177.1,177.5,177.45,3363819.0,6036.91
2018-07-20,177.5,177.95,174.1,175.8,175.8,2966436.0,5216.55
2018-07-23,175.95,178.0,175.65,176.65,177.05,3564547.0,6303.12
2018-07-24,178.2,178.45,176.25,177.3,177.75,3521357.0,6253.28
2018-07-25,178.65,179.0,174.7,175.1,175.65,4363728.0,7687.67
2018-07-26,176.25,183.8,174.2,182.1,181.85,19051590.0,34345.8
2018-07-27,183.25,184.8,178.2,181.15,179.9,11075771.0,20090.03
