Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,310.6,312.75,306.3,306.75,307.1,12182400.0,37653.15
2018-01-02,309.0,309.0,301.35,303.0,303.25,14797364.0,44983.28
2018-01-03,305.3,306.45,302.15,302.8,302.85,13857373.0,42170.7
2018-01-04,304.5,310.2,303.15,309.25,308.5,24517099.0,75422.11
2018-01-05,311.4,311.4,305.6,307.25,306.35,14580575.0,44915.44
2018-01-08,307.2,309.5,305.0,306.05,305.8,13557197.0,41563.38
2018-01-09,307.5,309.5,303.3,303.9,304.3,15574755.0,47639.35
2018-01-10,304.65,305.85,300.0,301.05,301.1,13064599.0,39488.25
2018-01-11,300.9,303.0,300.0,302.15,302.2,12299087.0,37139.83
2018-01-12,304.65,304.65,300.55,302.5,302.25,17594228.0,53229.41
2018-01-15,303.95,305.25,301.55,302.4,302.6,18189668.0,55212.33
2018-01-16,302.4,303.35,295.3,297.2,296.15,18040940.0,53969.49
2018-01-17,296.0,308.4,292.6,308.1,307.1,26277307.0,79500.1
2018-01-18,315.0,317.8,300.5,304.8,303.25,40000111.0,123827.43
2018-01-19,303.95,310.0,302.5,308.8,309.25,18461642.0,56710.84
2018-01-22,308.35,308.75,304.05,306.3,306.5,12622645.0,38694.43
2018-01-23,306.4,320.55,306.35,318.55,318.1,35252217.0,110623.85
2018-01-24,317.7,331.6,316.2,330.45,329.9,38070520.0,123337.62
2018-01-25,332.75,332.75,311.85,311.9,313.15,42466150.0,134935.53
2018-01-29,313.15,316.9,311.0,313.0,312.1,23600898.0,74010.09
2018-01-30,312.05,318.85,311.0,313.5,313.55,25810404.0,81266.96
2018-01-31,313.0,316.6,307.85,314.5,313.25,16409938.0,51252.07
2018-02-01,316.9,317.4,305.0,305.4,306.05,19515991.0,60630.27
2018-02-02,302.9,305.75,295.5,295.8,297.35,23274673.0,69840.12
2018-02-05,292.65,300.4,290.0,299.0,298.05,18940578.0,55996.68
2018-02-06,285.0,297.3,282.9,294.6,291.75,30577218.0,88592.23
2018-02-07,296.6,297.9,290.0,292.1,292.8,21463818.0,62970.8
2018-02-08,292.9,303.3,292.55,302.25,301.4,18932796.0,56533.83
2018-02-09,297.0,300.6,295.0,295.4,296.4,15750824.0,46891.07
2018-02-12,288.25,292.4,285.15,290.1,288.75,50839665.0,147078.62
2018-02-14,288.7,288.7,275.0,275.5,276.2,45641149.0,128246.21
2018-02-15,274.8,282.3,274.25,279.1,278.7,26058237.0,72737.88
2018-02-16,280.5,281.2,270.05,271.4,271.65,30338112.0,83109.86
2018-02-19,271.5,272.0,256.65,269.6,268.5,43847791.0,115701.88
2018-02-20,269.0,274.2,264.8,269.5,269.65,33458021.0,90183.43
2018-02-21,272.2,274.1,267.4,273.15,273.3,23714454.0,64308.2
2018-02-22,270.4,273.6,269.45,272.5,272.6,25584062.0,69686.89
2018-02-23,273.45,277.2,272.5,276.4,276.05,15482147.0,42668.16
2018-02-26,280.0,280.0,273.85,274.3,274.45,15306032.0,42205.75
2018-02-27,273.0,275.9,265.95,267.7,267.6,20824909.0,56133.62
2018-02-28,264.25,269.7,260.8,267.95,268.0,26810799.0,71353.36
2018-03-01,266.3,270.0,261.25,262.2,262.15,22859175.0,60490.17
2018-03-05,260.45,265.0,258.75,263.15,263.5,18484565.0,48522.94
2018-03-06,265.85,266.0,255.0,255.35,256.55,20778164.0,54319.96
2018-03-07,255.05,255.35,246.05,246.7,246.65,31262500.0,77832.71
2018-03-08,247.0,257.95,244.3,256.65,256.8,33133336.0,83324.37
2018-03-09,257.0,257.4,251.65,253.65,253.25,21536191.0,54678.77
2018-03-12,254.1,255.25,247.25,253.55,252.85,25332474.0,63398.1
2018-03-13,251.3,262.4,249.6,254.1,254.7,37647221.0,96792.84
2018-03-14,252.5,257.85,250.0,257.8,257.05,25471485.0,64637.47
2018-03-15,257.0,258.8,252.55,253.25,253.7,18339890.0,46882.77
2018-03-16,250.65,255.7,250.1,252.7,252.3,25728297.0,65135.84
2018-03-19,252.9,253.6,246.1,247.9,247.95,18167594.0,45200.36
2018-03-20,246.85,252.25,245.35,250.0,249.1,20556571.0,51273.56
2018-03-21,251.75,254.3,247.1,247.45,248.0,19533972.0,49069.86
2018-03-22,247.0,247.35,240.65,241.5,241.55,26828240.0,65318.3
2018-03-23,237.8,239.65,232.35,234.7,234.8,27150262.0,63741.14
2018-03-26,234.75,247.85,234.25,247.2,246.5,30373940.0,73410.1
2018-03-27,250.0,255.5,248.0,253.4,254.35,31205051.0,78651.11
2018-03-28,252.0,256.2,248.7,249.25,249.9,36673566.0,92275.5
2018-04-02,251.8,252.0,244.9,246.0,246.15,14993188.0,37065.22
2018-04-03,249.55,252.8,248.25,250.95,250.5,19883309.0,49777.77
2018-04-04,251.7,253.0,245.5,246.7,247.3,18824449.0,46934.72
2018-04-05,252.6,261.9,250.0,260.8,259.3,22880821.0,58345.36
2018-04-06,259.65,261.45,254.85,258.75,259.7,24868860.0,64256.23
2018-04-09,260.65,262.75,257.6,259.85,260.65,20208874.0,52692.69
2018-04-10,261.1,265.0,258.5,263.15,263.3,21201141.0,55467.37
2018-04-11,263.0,263.0,256.3,257.4,257.05,14885838.0,38454.81
2018-04-12,257.5,257.5,252.25,253.9,253.8,18660913.0,47436.66
2018-04-13,254.0,255.95,249.7,250.8,250.95,25654020.0,64794.17
2018-04-16,249.35,251.3,247.1,249.0,249.0,16408377.0,40875.03
2018-04-17,251.4,252.5,246.6,248.15,248.15,15922452.0,39726.1
2018-04-18,249.5,249.9,245.3,247.0,246.45,16142387.0,39979.87
2018-04-19,247.1,248.45,245.2,246.7,246.15,13166927.0,32479.07
2018-04-20,245.85,245.85,239.5,241.85,241.2,15546939.0,37554.99
2018-04-23,241.9,244.85,239.3,242.4,242.45,12111837.0,29377.74
2018-04-24,242.0,243.4,239.6,240.7,240.6,9486349.0,22892.53
2018-04-25,239.7,240.75,236.75,237.5,237.2,13124853.0,31340.17
2018-04-26,238.4,238.8,232.5,233.25,233.2,24495144.0,57497.36
2018-04-27,233.25,245.8,233.25,243.2,242.6,31401889.0,76137.75
2018-04-30,244.8,249.7,244.5,246.05,246.4,17263193.0,42658.23
2018-05-02,245.9,246.3,239.75,241.2,241.0,12887066.0,31197.04
2018-05-03,240.95,243.4,238.75,241.6,241.9,12939642.0,31211.37
2018-05-04,243.5,243.9,240.35,241.75,241.95,12777310.0,30940.83
2018-05-07,242.45,248.2,242.05,247.2,246.5,15122614.0,37139.35
2018-05-08,248.0,252.6,244.6,250.3,250.05,23293920.0,58060.01
2018-05-09,249.8,249.8,246.3,248.1,248.0,11429823.0,28326.3
2018-05-10,248.25,250.2,246.3,247.1,247.95,13160967.0,32637.22
2018-05-11,247.6,251.6,246.05,250.8,250.35,11958589.0,29736.25
2018-05-14,249.95,255.8,248.15,252.4,253.6,18673849.0,47351.32
2018-05-15,253.0,257.45,245.9,246.55,248.0,18026861.0,45538.28
2018-05-16,245.5,248.7,240.6,242.9,243.1,17222004.0,42055.92
2018-05-17,244.2,246.0,241.15,242.55,242.7,11721064.0,28611.08
2018-05-18,243.0,244.0,237.85,239.6,238.85,11873041.0,28529.24
2018-05-21,243.55,245.75,240.3,244.5,244.45,18780730.0,45670.26
2018-05-22,243.65,259.7,241.0,255.7,253.9,68713602.0,172177.51
2018-05-23,254.65,269.75,254.3,263.45,263.2,71202072.0,188862.92
2018-05-24,263.85,269.7,260.65,268.8,268.5,34679642.0,92305.56
2018-05-25,267.8,268.4,262.55,267.0,266.95,22317308.0,59198.49
2018-05-28,267.4,274.2,266.05,271.95,272.05,18959368.0,51348.8
2018-05-29,270.5,270.95,262.8,263.65,264.3,16107543.0,42862.44
