Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,571.5,585.4,571.25,574.5,574.05,5314142.0,30755.91
2018-01-02,577.0,582.0,567.2,574.0,572.15,3839130.0,22012.4
2018-01-03,575.0,578.95,567.0,569.5,569.05,2182632.0,12500.89
2018-01-04,572.0,583.95,560.1,583.7,581.2,6246746.0,35713.56
2018-01-05,585.0,587.35,575.3,579.3,578.75,4600683.0,26741.03
2018-01-08,588.0,604.6,586.15,591.5,591.6,10475190.0,62553.55
2018-01-09,597.0,598.0,584.35,587.2,586.5,4025566.0,23787.22
2018-01-10,590.8,594.0,581.4,585.05,585.1,2929462.0,17203.06
2018-01-11,585.75,598.5,580.5,587.45,587.95,5930449.0,34922.45
2018-01-12,590.0,591.45,579.6,582.4,583.45,2842683.0,16613.34
2018-01-15,586.8,586.8,574.5,574.55,576.45,4456611.0,25820.32
2018-01-16,577.35,583.95,572.15,578.4,577.7,4868363.0,28133.36
2018-01-17,583.0,585.9,576.7,583.45,583.75,4812606.0,28018.0
2018-01-18,586.0,589.45,574.3,576.9,576.7,3679687.0,21417.67
2018-01-19,580.0,580.65,567.6,572.25,572.1,4693971.0,26874.7
2018-01-22,573.0,578.9,568.85,577.0,576.15,3072409.0,17613.55
2018-01-23,579.0,585.85,575.5,577.0,579.35,4790590.0,27749.75
2018-01-24,577.0,596.5,575.1,587.1,586.55,7168397.0,42131.45
2018-01-25,591.0,596.0,578.0,581.05,579.85,4213982.0,24690.89
2018-01-29,581.05,594.2,578.35,585.85,587.95,6006564.0,35305.04
2018-01-30,585.7,594.75,580.05,591.5,591.95,3542190.0,20880.33
2018-01-31,590.0,594.9,575.05,580.15,579.9,4781423.0,27803.85
2018-02-01,580.0,580.0,549.55,555.4,554.3,8789899.0,49743.57
2018-02-02,552.0,567.35,544.65,552.0,551.2,10873325.0,60473.25
2018-02-05,538.8,560.45,533.55,558.5,557.45,4734366.0,26086.61
2018-02-06,537.0,554.5,531.2,550.1,551.8,6325143.0,34714.97
2018-02-07,556.0,557.45,542.6,548.95,549.5,5110233.0,28139.52
2018-02-08,540.05,587.0,533.8,584.9,584.1,13707589.0,77510.34
2018-02-09,570.1,586.0,570.1,583.5,582.7,3796079.0,21963.13
2018-02-12,586.0,608.95,585.0,587.55,589.15,10261511.0,61097.75
2018-02-14,590.95,591.8,571.2,572.65,574.8,6630066.0,38351.66
2018-02-15,565.4,584.95,565.4,575.4,575.75,10715444.0,61585.24
2018-02-16,575.4,577.55,563.35,575.0,575.25,6640151.0,37966.2
2018-02-19,575.0,577.25,553.55,562.35,561.4,3518880.0,19877.26
2018-02-20,564.65,566.65,557.0,558.95,559.5,2481944.0,13911.63
2018-02-21,560.05,563.0,511.3,523.9,525.75,21898950.0,116040.15
2018-02-22,527.5,547.0,524.0,545.5,541.45,12473655.0,66977.35
2018-02-23,550.0,575.25,546.0,574.0,569.65,30844893.0,173252.28
2018-02-26,570.0,571.9,553.35,555.4,555.95,8083731.0,45279.48
2018-02-27,555.95,563.45,542.05,543.1,544.8,6920945.0,38145.83
2018-02-28,543.0,552.35,532.65,534.5,535.35,8366660.0,45270.96
2018-03-01,537.95,541.5,533.25,535.25,535.4,4264631.0,22901.08
2018-03-05,535.1,552.7,527.05,547.35,548.55,7343286.0,39804.86
2018-03-06,561.0,563.0,530.0,530.45,531.75,9825945.0,53477.99
2018-03-07,532.0,534.15,520.1,523.35,524.85,6282066.0,33055.58
2018-03-08,529.7,530.5,509.5,510.0,514.6,9316674.0,48175.8
2018-03-09,514.0,519.9,505.0,506.4,506.8,4996423.0,25635.51
2018-03-12,511.0,516.0,506.55,514.35,512.65,4632925.0,23710.67
2018-03-13,512.65,525.5,512.65,524.5,523.3,4795084.0,24951.8
2018-03-14,523.3,523.3,516.1,520.3,520.1,2469628.0,12818.19
