Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,732.5,735.4,719.5,721.8,722.2,1833942.0,13328.27
2018-01-02,724.0,731.25,715.25,730.45,729.3,2467294.0,17878.23
2018-01-03,732.0,737.5,731.25,734.55,734.95,2634779.0,19355.67
2018-01-04,736.5,763.45,732.0,763.45,760.25,8082986.0,60777.21
2018-01-05,764.0,776.9,762.5,770.4,770.7,7136203.0,55020.15
2018-01-08,777.75,777.85,765.0,768.25,768.75,2584335.0,19905.04
2018-01-09,770.0,780.85,767.0,770.65,772.3,3197787.0,24759.79
2018-01-10,771.25,777.0,762.9,773.8,772.85,2990882.0,22984.96
2018-01-11,772.85,777.9,768.35,769.0,770.95,1934937.0,14963.61
2018-01-12,771.2,776.8,760.05,768.1,770.25,2169940.0,16716.86
2018-01-15,772.0,793.0,771.0,779.65,783.5,4171663.0,32780.01
2018-01-16,782.75,782.75,760.1,766.75,765.75,2791328.0,21475.65
2018-01-17,768.0,777.95,757.0,775.0,774.0,2988170.0,22938.9
2018-01-18,775.0,779.85,746.2,750.35,751.75,4616814.0,34977.11
2018-01-19,752.5,762.0,742.5,753.0,753.0,3217972.0,24211.99
2018-01-22,752.0,756.4,747.35,753.55,752.2,3605727.0,27102.71
2018-01-23,752.0,787.1,752.0,780.25,779.75,8036841.0,62467.8
2018-01-24,780.5,780.6,757.15,762.0,762.1,4935129.0,37914.03
2018-01-25,765.0,773.1,758.25,768.75,769.15,8397681.0,64448.74
2018-01-29,771.0,791.8,770.15,783.7,783.15,6508012.0,51097.63
2018-01-30,780.6,783.9,771.25,781.0,775.85,6019374.0,46702.32
2018-01-31,735.5,747.9,701.7,706.6,705.05,12958902.0,93358.78
2018-02-01,708.0,712.75,681.6,695.05,696.75,7403931.0,51548.05
2018-02-02,692.0,693.0,666.05,668.85,670.45,6500926.0,44254.1
2018-02-05,661.0,674.5,650.5,666.0,664.05,4698722.0,31136.56
2018-02-06,641.0,679.0,632.55,666.2,664.5,6704557.0,43970.02
2018-02-07,668.0,682.2,657.0,659.1,661.8,6789521.0,45367.18
2018-02-08,660.05,677.0,654.0,673.0,671.45,5845590.0,38896.7
2018-02-09,663.7,690.0,660.15,684.55,685.3,9140288.0,62331.55
2018-02-12,716.0,716.9,697.4,713.7,713.1,12036307.0,85510.83
2018-02-14,719.3,720.5,704.55,708.6,708.0,4885951.0,34852.81
2018-02-15,711.35,719.15,697.25,703.0,700.55,5131245.0,36372.99
2018-02-16,708.0,709.5,683.6,688.0,689.75,5012760.0,34783.99
2018-02-19,693.4,693.4,639.0,649.0,648.85,17658708.0,115580.48
2018-02-20,654.8,661.5,648.15,651.2,651.3,10214478.0,66860.23
2018-02-21,654.9,655.55,633.0,643.5,640.95,10307539.0,66063.58
2018-02-22,640.35,647.8,632.85,636.1,637.55,8950631.0,57382.77
2018-02-23,640.85,686.4,639.0,676.0,677.75,21866214.0,146410.61
2018-02-26,680.0,692.65,673.2,681.4,680.2,9199775.0,62930.86
2018-02-27,681.4,686.9,669.2,671.05,671.75,6805376.0,46276.51
2018-02-28,663.85,675.0,660.0,672.85,671.6,7112650.0,47604.04
2018-03-01,671.35,685.0,670.05,673.5,675.05,7128399.0,48261.49
2018-03-05,669.25,669.3,651.8,655.7,655.9,9785466.0,64392.6
2018-03-06,664.85,674.0,656.55,659.5,659.75,8414960.0,56111.5
2018-03-07,657.0,661.4,644.65,650.0,647.7,5130577.0,33424.0
2018-03-08,656.9,660.95,632.7,636.25,635.9,7126105.0,45760.17
2018-03-09,640.05,646.75,601.5,612.7,606.75,18096367.0,111974.6
2018-03-12,614.45,626.4,606.4,623.5,622.9,12193581.0,75145.42
2018-03-13,623.0,633.2,614.35,627.95,628.85,10490405.0,65694.99
2018-03-14,624.0,630.9,618.6,620.0,620.55,8655181.0,53982.84
2018-03-15,620.0,622.6,609.6,612.2,611.75,7510951.0,46198.6
2018-03-16,611.75,613.9,594.4,602.5,600.2,11739582.0,70732.4
2018-03-19,600.0,601.9,572.85,574.0,574.95,12542317.0,73120.88
2018-03-20,571.0,600.9,568.45,594.35,593.0,17645035.0,104433.21
2018-03-21,598.95,601.7,580.5,582.3,582.25,11939451.0,70361.06
2018-03-22,582.7,587.45,572.0,579.25,580.9,11486245.0,66496.41
2018-03-23,560.05,568.8,553.5,567.0,566.5,14133550.0,79426.93
2018-03-26,568.9,588.35,560.8,586.0,581.55,10929998.0,62437.45
2018-03-27,590.45,599.0,587.55,590.0,590.0,10038168.0,59533.51
2018-03-28,581.05,583.0,565.3,570.65,571.05,18655057.0,106619.75
2018-04-02,573.1,580.3,568.1,577.65,578.8,6889345.0,39647.03
2018-04-03,570.2,585.45,568.35,580.0,579.7,10508317.0,60699.83
2018-04-04,583.1,590.5,557.55,559.1,560.55,13909893.0,80343.77
2018-04-05,573.85,583.6,569.5,580.0,580.45,13262168.0,76635.06
2018-04-06,574.85,589.9,573.0,586.1,587.2,8520201.0,49514.3
2018-04-09,589.5,595.75,583.4,585.0,586.15,9489221.0,55910.11
2018-04-10,593.0,604.6,592.3,603.4,601.9,10850710.0,64962.64
2018-04-11,608.0,610.9,600.35,608.0,608.05,8724716.0,52916.7
2018-04-12,606.9,608.75,596.7,598.4,598.4,6628499.0,39954.87
2018-04-13,600.0,604.7,590.4,593.7,594.05,6716146.0,40110.08
2018-04-16,591.0,596.8,585.15,593.0,591.6,5145813.0,30386.65
2018-04-17,595.0,604.6,591.95,595.2,596.05,6400378.0,38312.6
2018-04-18,600.95,604.9,594.6,604.5,601.6,4259135.0,25527.6
2018-04-19,606.05,624.5,606.05,621.4,621.95,10817008.0,66856.67
2018-04-20,618.95,618.95,602.6,607.05,606.2,6346274.0,38597.29
2018-04-23,608.3,611.0,600.1,605.5,606.6,4591161.0,27848.98
2018-04-24,594.45,601.8,589.4,600.0,597.55,5953046.0,35428.56
2018-04-25,598.0,598.5,584.3,586.85,586.2,4122443.0,24308.44
2018-04-26,588.0,591.55,576.7,577.9,578.2,7463062.0,43389.25
2018-04-27,582.95,594.75,581.25,587.75,589.8,4717405.0,27760.39
2018-04-30,591.65,599.9,586.0,595.1,594.95,3658754.0,21759.6
2018-05-02,597.1,597.4,572.95,574.8,574.5,4241068.0,24689.16
2018-05-03,574.0,587.4,568.1,586.7,585.45,6778904.0,39166.56
2018-05-04,586.7,589.8,579.25,580.7,580.75,3881632.0,22655.57
2018-05-07,585.95,597.95,581.0,596.25,596.45,4553509.0,26935.08
2018-05-08,600.0,604.2,590.5,593.45,596.35,4125958.0,24630.95
2018-05-09,593.4,608.85,592.55,604.75,603.15,6238211.0,37659.53
2018-05-10,603.9,606.8,591.15,593.8,594.15,4001269.0,23866.89
2018-05-11,597.0,610.55,591.2,606.25,607.25,6155537.0,37139.0
2018-05-14,608.2,614.95,602.3,608.75,610.35,5173139.0,31581.16
2018-05-15,609.0,636.8,605.5,627.0,625.95,12818436.0,80525.89
