Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,501.1,508.7,500.05,503.55,503.1,1115837.0,5620.53
2018-01-02,503.5,515.0,503.5,513.6,513.95,2204383.0,11280.02
2018-01-03,516.1,525.0,515.7,517.55,519.45,2288877.0,11935.69
2018-01-04,519.5,525.0,514.0,521.65,522.55,1460097.0,7570.08
2018-01-05,521.0,527.0,514.85,524.95,525.45,1756809.0,9167.08
2018-01-08,520.7,542.85,520.7,533.9,536.3,2795379.0,14995.71
2018-01-09,540.0,540.0,529.0,535.5,533.85,1855191.0,9903.98
2018-01-10,535.0,544.0,533.8,542.6,542.1,2748547.0,14847.83
2018-01-11,544.0,555.85,542.7,549.65,551.7,3485390.0,19187.09
2018-01-12,550.0,554.5,548.0,550.05,550.75,2790912.0,15404.83
2018-01-15,550.95,554.9,542.35,545.15,543.75,1959669.0,10786.36
2018-01-16,548.0,563.0,547.3,556.95,557.65,4791310.0,26785.12
2018-01-17,559.95,564.55,553.15,554.0,554.9,1636201.0,9132.02
2018-01-18,560.0,560.0,550.25,551.5,552.65,2158972.0,11947.48
2018-01-19,553.0,558.5,547.05,550.8,552.9,1951962.0,10788.54
2018-01-22,550.0,572.4,549.7,568.8,569.5,4127554.0,23283.86
2018-01-23,569.15,590.7,564.2,587.0,588.25,4103152.0,23805.49
2018-01-24,584.15,612.45,584.15,603.25,603.15,6672393.0,40230.65
2018-01-25,604.5,613.45,588.1,598.5,598.45,5104213.0,30644.27
2018-01-29,599.05,608.7,595.45,606.0,604.8,3352495.0,20158.68
2018-01-30,600.0,611.25,593.2,602.3,602.95,6290644.0,37970.26
2018-01-31,602.8,626.2,597.0,611.0,612.65,7244068.0,44458.07
2018-02-01,612.55,619.5,607.05,609.6,611.05,2479739.0,15199.42
2018-02-02,604.3,622.5,599.05,617.1,619.45,3994302.0,24581.13
2018-02-05,609.9,631.2,609.4,627.9,629.05,3500770.0,21870.97
2018-02-06,601.0,621.2,601.0,607.55,606.7,3104038.0,18940.82
2018-02-07,611.8,617.3,596.95,600.5,603.1,3653165.0,22191.75
2018-02-08,610.0,622.0,594.95,606.05,608.25,2894969.0,17703.03
2018-02-09,601.0,603.0,589.4,594.75,595.25,3481551.0,20713.45
2018-02-12,598.0,604.9,586.15,588.45,590.35,2343988.0,13948.98
2018-02-14,588.5,614.6,588.5,608.5,611.5,5004415.0,30215.52
2018-02-15,615.0,618.6,604.0,606.35,605.65,1676641.0,10252.73
2018-02-16,610.0,613.7,581.2,585.9,584.35,2887255.0,17212.04
2018-02-19,588.75,588.75,563.65,574.0,572.45,3170119.0,18159.99
2018-02-20,575.0,582.2,569.0,572.05,574.2,2273116.0,13093.38
2018-02-21,581.05,598.0,566.55,594.5,595.2,5590807.0,33028.35
2018-02-22,592.0,606.45,592.0,604.0,602.6,4421727.0,26598.87
2018-02-23,607.0,624.95,605.0,624.0,621.45,3490526.0,21465.88
2018-02-26,622.0,627.45,611.05,611.45,612.45,2923731.0,18021.1
2018-02-27,618.0,618.3,602.45,612.0,610.55,1905663.0,11605.49
2018-02-28,610.2,615.0,603.85,612.95,612.65,2113430.0,12933.13
2018-03-01,612.05,615.9,605.55,610.65,611.9,2226114.0,13609.55
2018-03-05,608.5,634.9,606.55,633.9,630.85,4765322.0,29608.25
2018-03-06,631.9,633.9,615.0,617.0,617.25,2424505.0,15151.77
2018-03-07,619.8,626.45,606.55,608.0,609.05,1787149.0,11033.86
2018-03-08,615.0,616.75,603.0,603.7,607.2,1858046.0,11349.94
2018-03-09,609.7,623.1,606.5,621.15,619.2,2095483.0,12917.67
2018-03-12,621.15,636.4,616.7,618.8,619.55,4336200.0,27139.12
2018-03-13,620.0,624.95,613.6,618.85,619.15,2306960.0,14298.21
2018-03-14,617.5,640.75,617.5,640.0,639.1,3825750.0,24196.51
2018-03-15,641.7,651.95,627.05,630.8,631.85,5855371.0,37640.42
2018-03-16,634.7,639.0,627.0,634.85,634.7,3741772.0,23715.28
2018-03-19,634.85,637.4,608.0,609.7,609.9,1731324.0,10696.53
2018-03-20,605.0,635.3,603.1,634.0,633.4,3320421.0,20757.82
2018-03-21,635.0,636.85,621.25,625.95,625.85,2428150.0,15240.19
2018-03-22,627.0,631.0,616.5,621.0,619.05,1785067.0,11119.94
2018-03-23,607.5,625.0,604.75,622.1,623.35,3153066.0,19560.43
2018-03-26,623.0,628.6,617.0,622.5,620.4,1552991.0,9651.16
2018-03-27,625.0,629.6,619.0,622.2,621.65,1135697.0,7068.76
2018-03-28,621.2,641.0,616.65,637.1,638.7,5534298.0,35142.34
2018-04-02,638.7,646.5,634.1,641.3,640.3,2095519.0,13399.29
2018-04-03,636.5,638.0,613.5,615.95,615.95,3851192.0,23891.83
2018-04-04,618.0,622.0,603.25,607.0,606.3,2670676.0,16337.44
2018-04-05,616.2,620.75,604.55,616.0,617.35,2809480.0,17236.8
2018-04-06,616.0,622.0,613.8,618.1,618.2,1160620.0,7175.62
2018-04-09,621.0,622.5,613.25,615.4,614.85,1427650.0,8807.65
2018-04-10,620.9,629.5,611.5,625.7,626.45,2085181.0,12980.81
2018-04-11,626.05,636.8,620.65,636.0,633.35,2139871.0,13439.64
2018-04-12,636.4,655.0,634.05,652.55,652.8,3614281.0,23416.12
2018-04-13,652.55,673.85,641.1,671.0,671.55,5653116.0,37448.68
2018-04-16,658.1,682.8,657.5,667.0,668.7,3931095.0,26438.07
2018-04-17,671.0,672.5,661.65,665.0,668.3,1576573.0,10515.65
2018-04-18,668.95,674.0,654.2,658.0,656.8,1676060.0,11064.61
2018-04-19,662.95,669.25,655.95,665.0,665.2,2662071.0,17676.94
2018-04-20,667.0,706.0,667.0,696.1,700.5,5490181.0,37916.29
2018-04-23,694.55,729.5,690.6,700.0,702.0,6998046.0,49888.53
2018-04-24,695.0,699.75,680.0,680.3,682.7,2728320.0,18769.57
2018-04-25,685.9,699.95,677.0,686.45,686.4,4560558.0,31436.59
2018-04-26,681.0,697.0,680.65,693.55,691.1,2852323.0,19666.84
2018-04-27,695.05,695.85,668.45,670.1,670.5,3756249.0,25312.45
2018-04-30,675.0,684.15,668.1,669.25,670.6,2639069.0,17770.44
2018-05-02,674.0,674.0,655.5,661.5,662.55,1745715.0,11552.95
2018-05-03,662.55,667.0,645.9,649.95,652.95,2284475.0,14936.84
2018-05-04,652.95,665.6,636.45,663.0,662.65,3162498.0,20737.12
2018-05-07,671.75,675.5,654.2,657.1,657.4,2770174.0,18367.36
2018-05-08,663.0,666.4,651.05,652.1,653.35,1771130.0,11648.36
2018-05-09,653.0,665.75,648.3,656.15,654.1,2193797.0,14428.17
2018-05-10,656.65,671.9,656.65,662.8,663.6,3927593.0,26075.29
2018-05-11,663.0,671.75,654.2,665.3,666.45,2880596.0,19078.77
2018-05-14,661.6,670.0,658.25,664.6,667.25,1436196.0,9550.84
2018-05-15,664.6,680.0,663.3,669.15,670.65,2427422.0,16361.77
2018-05-16,671.0,678.7,669.0,674.45,672.7,1690858.0,11390.8
2018-05-17,679.0,681.0,666.3,673.55,675.8,2022339.0,13606.74
2018-05-18,679.8,697.5,671.25,695.9,692.95,4304706.0,29681.72
2018-05-21,692.0,695.9,678.25,687.8,685.35,2342450.0,16080.59
2018-05-22,683.6,690.5,675.0,686.45,686.4,1797801.0,12278.1
2018-05-23,687.0,707.3,683.25,701.0,697.45,3516538.0,24580.91
2018-05-24,700.95,715.9,695.85,713.2,711.35,5914361.0,41876.74
