Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,857.7,862.05,851.05,853.8,852.45,472607.0,4049.34
2018-01-02,854.1,858.45,840.6,846.75,845.15,1181949.0,10029.28
2018-01-03,863.9,869.4,853.0,854.9,856.3,2606556.0,22427.01
2018-01-04,864.4,897.45,853.1,894.55,892.9,3028931.0,26634.62
2018-01-05,895.0,913.95,893.5,909.0,909.7,4036882.0,36609.95
2018-01-08,911.0,930.0,906.75,924.7,926.1,2112170.0,19439.34
2018-01-09,925.0,938.5,917.25,932.0,932.95,2419079.0,22515.17
2018-01-10,932.5,935.4,911.9,915.0,917.6,1605433.0,14839.61
2018-01-11,916.9,917.7,903.3,905.4,906.9,1597329.0,14552.44
2018-01-12,906.0,917.4,892.45,901.95,903.8,1874518.0,16995.42
2018-01-15,909.0,921.9,897.7,918.75,918.25,2195562.0,20022.98
2018-01-16,927.0,927.5,882.6,893.0,889.4,2383484.0,21630.6
2018-01-17,892.8,895.55,862.5,895.0,893.1,2553841.0,22607.6
2018-01-18,897.75,903.6,875.0,884.7,885.85,1285534.0,11490.58
2018-01-19,879.1,897.55,879.1,893.5,891.45,1483177.0,13162.28
2018-01-22,890.0,912.0,887.1,910.0,909.75,1495629.0,13529.33
2018-01-23,910.7,914.7,898.3,905.0,905.7,1747166.0,15840.33
2018-01-24,905.7,909.25,881.0,883.0,886.9,1109233.0,9894.47
2018-01-25,882.0,905.3,876.75,887.2,884.1,3104669.0,27654.43
2018-01-29,887.4,901.5,880.5,896.2,896.2,1151570.0,10293.48
2018-01-30,899.25,911.6,878.35,881.5,884.15,2101888.0,18893.23
2018-01-31,883.0,884.95,859.4,867.65,869.55,1431670.0,12497.09
2018-02-01,877.5,879.1,812.75,827.0,831.0,6097492.0,51096.01
2018-02-02,810.0,849.75,784.15,825.0,822.2,8088986.0,66176.38
2018-02-05,810.0,816.75,795.2,806.0,802.3,3079541.0,24829.86
2018-02-06,765.0,788.4,752.7,781.45,782.65,3188895.0,24557.54
2018-02-07,785.0,801.0,780.0,784.0,783.65,2686877.0,21263.63
2018-02-08,785.1,808.9,780.8,800.8,800.75,2219546.0,17666.27
2018-02-09,790.1,804.0,783.05,796.05,796.8,1564899.0,12457.47
2018-02-12,803.0,812.8,796.55,808.0,809.05,2067452.0,16671.57
2018-02-14,814.0,825.9,809.1,810.0,813.7,2154852.0,17666.13
2018-02-15,822.7,823.3,800.0,817.0,814.85,2225089.0,18140.67
2018-02-16,820.0,826.9,798.65,803.2,803.2,1698333.0,13823.85
2018-02-19,805.0,809.0,790.0,801.8,803.95,1699508.0,13571.56
2018-02-20,803.95,837.9,797.65,832.5,832.25,3881439.0,32032.55
2018-02-21,837.95,841.5,818.75,822.95,822.9,2067029.0,17146.12
2018-02-22,825.0,836.0,814.05,816.95,817.5,3244314.0,26787.69
2018-02-23,822.2,823.6,810.25,814.65,814.2,2446637.0,19956.65
2018-02-26,819.95,823.35,805.0,823.0,819.7,2438241.0,19861.18
2018-02-27,825.0,835.7,819.25,822.4,822.6,2089446.0,17320.23
2018-02-28,819.8,825.9,810.4,816.15,816.15,1583674.0,12962.76
2018-03-01,814.0,822.3,808.0,810.2,810.2,975986.0,7954.77
2018-03-05,810.0,814.85,801.0,810.0,808.9,1262568.0,10204.53
2018-03-06,812.5,823.2,799.05,800.5,807.65,1358775.0,11072.73
2018-03-07,806.0,820.1,800.2,816.95,814.85,1826249.0,14806.27
2018-03-08,820.0,822.3,808.05,816.9,817.7,1109489.0,9040.19
2018-03-09,820.0,827.6,815.5,818.6,819.1,1061685.0,8729.95
2018-03-12,824.0,831.6,822.4,829.9,829.1,1033715.0,8552.07
2018-03-13,836.0,860.0,830.0,852.1,851.95,2754435.0,23325.42
2018-03-14,851.0,867.85,849.95,867.0,865.0,1889040.0,16228.3
2018-03-15,864.9,875.75,860.0,874.0,872.5,2486538.0,21626.39
2018-03-16,879.0,883.4,862.1,878.1,879.25,2538310.0,22184.09
2018-03-19,879.7,891.85,864.0,864.7,869.0,2536517.0,22295.48
2018-03-20,867.0,880.0,860.1,871.2,871.75,1985478.0,17342.46
2018-03-21,875.0,884.7,869.6,870.15,872.25,1859947.0,16322.0
2018-03-22,873.0,892.0,872.25,888.6,887.55,3186401.0,28181.66
2018-03-23,874.1,900.0,872.85,895.0,895.05,4132765.0,36920.24
2018-03-26,896.45,949.8,896.45,940.0,939.05,5918775.0,54892.48
2018-03-27,948.45,949.5,932.35,943.0,942.4,2756923.0,25952.38
2018-03-28,938.2,964.0,918.0,926.3,942.3,11431588.0,108100.46
2018-04-02,943.1,948.5,926.3,941.5,944.1,2764385.0,25947.9
2018-04-03,944.9,951.7,924.55,929.25,931.95,2454365.0,22940.92
2018-04-04,939.7,939.7,902.0,902.45,904.35,2930774.0,26735.28
2018-04-05,915.0,924.0,902.65,921.0,920.05,4148653.0,37999.18
2018-04-06,922.0,946.0,908.05,938.4,940.3,2819200.0,26253.51
2018-04-09,950.0,971.8,947.05,959.5,960.65,5116819.0,49339.74
2018-04-10,964.85,968.9,953.1,960.0,962.25,2434826.0,23416.26
2018-04-11,967.0,981.4,958.1,981.4,979.95,3452488.0,33585.28
2018-04-12,982.25,993.0,971.35,976.6,976.05,4379096.0,43146.97
2018-04-13,986.05,994.8,980.5,987.0,987.15,3311755.0,32725.73
2018-04-16,986.0,991.9,973.3,980.0,980.5,2247785.0,22023.33
2018-04-17,985.0,999.0,974.1,999.0,997.6,2983704.0,29514.12
2018-04-18,999.7,999.7,975.1,977.8,977.1,2621345.0,25814.5
2018-04-19,978.5,983.0,949.2,952.0,952.75,3347181.0,32015.47
2018-04-20,950.0,965.4,947.05,960.0,956.55,2201052.0,21072.51
2018-04-23,960.0,973.2,948.6,963.0,962.95,2295872.0,22096.76
2018-04-24,966.0,971.3,954.25,964.0,961.95,1473491.0,14184.64
2018-04-25,961.75,968.0,955.1,960.0,960.85,1385599.0,13322.82
2018-04-26,963.5,972.45,955.0,970.9,969.5,1859223.0,17971.82
2018-04-27,972.0,978.0,963.6,967.5,970.0,1049687.0,10202.74
2018-04-30,970.5,984.9,968.0,981.2,981.8,1083840.0,10602.09
2018-05-02,981.95,985.45,960.4,965.0,964.5,1027474.0,9999.41
2018-05-03,964.8,977.75,951.0,959.4,959.35,1585290.0,15255.48
2018-05-04,961.0,966.0,952.35,958.15,958.1,958663.0,9184.28
2018-05-07,962.0,980.9,957.3,967.9,968.95,1987395.0,19300.74
2018-05-08,978.95,978.95,963.0,974.8,968.1,1979745.0,19204.52
2018-05-09,974.9,995.6,971.0,985.75,985.7,4201827.0,41410.88
2018-05-10,991.4,993.85,965.55,981.0,973.1,3434978.0,33706.2
2018-05-11,990.0,991.85,952.0,958.0,956.05,5712581.0,55319.71
2018-05-14,960.0,962.0,917.05,922.65,920.0,3754208.0,35044.16
2018-05-15,925.0,944.45,909.25,931.05,931.0,3154028.0,29442.21
2018-05-16,928.0,939.5,915.85,931.2,931.15,1923381.0,17928.57
2018-05-17,935.85,949.0,927.7,936.15,936.5,2895005.0,27285.91
2018-05-18,937.0,945.85,930.3,940.0,939.95,2574768.0,24230.32
2018-05-21,940.6,944.5,912.75,915.25,915.25,1233987.0,11431.06
2018-05-22,915.0,930.85,904.05,917.1,914.2,2086584.0,19152.72
2018-05-23,914.2,923.0,908.1,919.0,920.1,1938630.0,17789.95
2018-05-24,923.0,926.8,913.95,919.6,921.3,1209456.0,11115.46
2018-05-25,923.35,938.6,915.1,924.0,924.4,1700500.0,15793.07
2018-05-28,928.0,935.6,917.5,928.05,928.9,1139544.0,10556.31
