Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,4302.2,4319.8,4243.05,4275.0,4256.05,166780.0,7127.54
2018-01-02,4285.0,4301.0,4243.8,4260.0,4252.3,141217.0,6017.36
2018-01-03,4256.0,4314.0,4245.4,4310.0,4301.95,166916.0,7157.17
2018-01-04,4302.1,4350.0,4295.0,4350.0,4345.5,149645.0,6486.23
2018-01-05,4359.8,4412.0,4350.05,4395.0,4395.8,165179.0,7260.02
2018-01-08,4400.0,4433.4,4371.2,4431.95,4425.3,176265.0,7776.48
2018-01-09,4432.9,4478.0,4385.3,4428.5,4426.85,137512.0,6091.41
2018-01-10,4428.0,4428.0,4376.6,4400.5,4403.2,108721.0,4778.66
2018-01-11,4419.85,4435.0,4381.6,4408.0,4406.1,111608.0,4918.56
2018-01-12,4412.8,4436.2,4351.6,4415.3,4405.5,77493.0,3409.33
2018-01-15,4417.8,4565.85,4403.4,4521.0,4520.15,318055.0,14282.08
2018-01-16,4528.0,4591.0,4511.0,4545.0,4545.1,315736.0,14371.81
2018-01-17,4542.0,4599.9,4498.95,4555.0,4544.25,325182.0,14780.94
2018-01-18,4554.5,4557.75,4370.0,4409.0,4408.65,626579.0,27893.11
2018-01-19,4368.0,4382.4,4271.0,4305.0,4300.0,311100.0,13447.38
2018-01-22,4325.0,4344.25,4260.55,4328.35,4330.0,179728.0,7752.28
2018-01-23,4344.7,4407.05,4301.0,4353.3,4374.7,250337.0,10904.85
2018-01-24,4364.8,4368.95,4275.1,4279.65,4283.0,244058.0,10505.2
2018-01-25,4285.0,4390.95,4282.0,4360.0,4359.95,279951.0,12154.2
2018-01-29,4370.0,4413.1,4331.3,4376.0,4390.7,263874.0,11584.75
2018-01-30,4383.9,4384.55,4306.0,4357.15,4363.2,201842.0,8757.98
2018-01-31,4363.2,4405.9,4330.0,4376.15,4382.0,189153.0,8258.12
2018-02-01,4382.0,4425.0,4347.65,4390.0,4391.45,268309.0,11788.75
2018-02-02,4368.0,4368.0,4129.0,4138.0,4179.45,240012.0,10215.25
2018-02-05,4122.85,4179.8,4052.05,4144.0,4146.4,178020.0,7336.96
2018-02-06,3980.0,4114.75,3948.6,4095.1,4092.65,298939.0,12078.12
2018-02-07,4157.9,4167.85,4051.0,4080.0,4081.55,262748.0,10798.19
2018-02-08,4085.0,4181.9,4051.95,4160.0,4167.0,188256.0,7732.21
2018-02-09,4060.0,4167.9,4054.05,4165.0,4153.3,181041.0,7468.16
2018-02-12,4170.0,4222.45,4162.55,4203.75,4200.3,218964.0,9192.02
2018-02-14,4200.0,4206.55,4155.0,4161.05,4175.5,152754.0,6389.85
2018-02-15,4190.4,4229.1,4160.05,4205.0,4187.85,122433.0,5151.61
2018-02-16,4205.0,4259.9,4144.15,4155.2,4166.35,114025.0,4792.53
2018-02-19,4143.05,4215.0,4077.35,4085.55,4116.6,131776.0,5478.64
2018-02-20,4100.0,4185.0,4084.3,4165.0,4140.6,123931.0,5132.88
2018-02-21,4165.1,4172.95,4120.05,4137.0,4131.55,170432.0,7050.33
2018-02-22,4131.55,4131.55,4072.2,4095.0,4099.9,196243.0,8039.06
2018-02-23,4119.8,4134.25,4063.55,4113.0,4116.4,136480.0,5597.55
2018-02-26,4120.0,4149.0,4120.0,4142.0,4140.8,129762.0,5365.08
2018-02-27,4148.0,4185.2,4139.8,4166.05,4176.1,179366.0,7459.99
2018-02-28,4125.0,4193.95,4125.0,4150.85,4155.6,160018.0,6650.64
2018-03-01,4155.65,4180.0,4131.3,4153.35,4153.3,198915.0,8264.0
2018-03-05,4116.2,4134.4,4075.45,4095.0,4095.4,124424.0,5093.97
2018-03-06,4107.0,4174.65,4102.7,4149.8,4150.3,235296.0,9763.62
2018-03-07,4160.0,4170.5,4093.0,4110.0,4113.45,188355.0,7763.24
2018-03-08,4105.25,4133.6,4064.15,4112.95,4119.9,154031.0,6320.86
2018-03-09,4115.0,4134.55,4051.95,4055.95,4079.85,135949.0,5574.04
2018-03-12,4079.85,4185.85,4074.9,4170.0,4176.0,102681.0,4251.96
2018-03-13,4143.0,4209.1,4141.8,4176.4,4170.0,138444.0,5773.36
2018-03-14,4153.1,4244.0,4144.75,4237.0,4230.25,237294.0,10013.29
2018-03-15,4230.0,4230.0,4156.0,4171.8,4189.4,188385.0,7888.96
2018-03-16,4141.0,4166.8,4003.3,4040.5,4026.3,527458.0,21382.55
2018-03-19,4059.0,4065.5,3960.0,3972.05,3972.4,193770.0,7749.64
2018-03-20,3969.0,3998.9,3910.2,3946.05,3936.8,155144.0,6125.58
2018-03-21,3960.0,4054.0,3958.45,3980.0,3999.2,205143.0,8227.9
2018-03-22,3999.0,4012.0,3912.6,3925.2,3925.15,180643.0,7134.18
2018-03-23,3851.0,3898.95,3813.1,3884.8,3873.75,249194.0,9578.15
2018-03-26,3863.0,3970.0,3826.2,3951.7,3950.0,156418.0,6097.2
2018-03-27,3949.5,3990.05,3923.0,3980.0,3978.6,106468.0,4221.87
2018-03-28,3974.9,3974.9,3923.0,3955.0,3950.0,464340.0,18327.4
2018-04-02,4123.0,4123.0,3923.05,3968.65,3978.5,303869.0,12049.05
2018-04-03,3967.0,3991.6,3914.5,3934.45,3951.2,240321.0,9491.61
2018-04-04,3952.0,3974.95,3872.6,3889.0,3881.3,177225.0,6955.85
2018-04-05,3935.0,3979.85,3915.0,3966.0,3966.6,124669.0,4933.51
2018-04-06,3950.0,3989.15,3920.05,3946.0,3949.5,214201.0,8450.62
2018-04-09,3956.1,3974.95,3901.45,3920.0,3918.2,107499.0,4223.72
2018-04-10,3944.8,3947.85,3908.05,3926.9,3931.2,115836.0,4553.05
2018-04-11,3921.0,3936.95,3890.0,3910.1,3924.65,139653.0,5458.46
2018-04-12,3885.05,3900.0,3865.0,3865.75,3872.3,218223.0,8471.91
2018-04-13,3884.8,3905.7,3862.5,3872.35,3878.95,304761.0,11819.1
2018-04-16,3865.15,3924.05,3865.15,3923.8,3917.0,180569.0,7038.77
2018-04-17,3920.0,3945.0,3902.55,3915.0,3917.25,103447.0,4056.06
2018-04-18,3934.0,4008.7,3922.45,4007.0,3992.35,159338.0,6338.88
2018-04-19,4015.2,4163.5,4007.55,4091.35,4103.45,449754.0,18482.52
2018-04-20,4105.0,4134.5,4058.05,4092.1,4080.9,192832.0,7898.27
2018-04-23,4072.1,4162.65,4072.1,4150.0,4143.7,111251.0,4608.57
2018-04-24,4168.0,4173.7,4096.0,4135.0,4119.25,378441.0,15632.93
2018-04-25,4134.0,4162.75,4079.0,4117.7,4134.8,482116.0,19927.69
2018-04-26,4175.0,4175.0,4026.75,4077.5,4079.45,512593.0,21014.89
2018-04-27,4077.5,4122.85,4036.0,4048.05,4062.35,127581.0,5210.23
2018-04-30,4099.95,4127.95,4078.05,4102.1,4108.85,177986.0,7303.89
2018-05-02,4112.8,4119.95,3993.0,4034.0,4016.5,217139.0,8778.63
2018-05-03,4028.8,4029.75,3981.5,3995.8,3995.35,146828.0,5875.92
2018-05-04,3998.9,4034.3,3960.0,3991.65,3985.85,212463.0,8492.86
2018-05-07,4005.0,4050.0,3970.0,4045.9,4033.4,133722.0,5372.91
2018-05-08,4046.2,4076.75,4033.0,4061.1,4064.1,202627.0,8229.08
2018-05-09,4074.8,4080.0,3955.0,3966.0,3966.25,230272.0,9182.5
2018-05-10,3967.0,4016.8,3930.0,4003.0,3998.55,263132.0,10451.98
2018-05-11,4011.0,4085.0,3968.55,4079.0,4071.6,97087.0,3934.14
2018-05-14,4085.0,4155.0,4055.75,4104.75,4107.05,346826.0,14283.59
2018-05-15,4110.0,4139.5,4077.15,4100.2,4109.3,211226.0,8677.77
2018-05-16,4090.0,4090.0,3970.15,3980.0,3990.75,218521.0,8743.25
2018-05-17,3998.0,4019.8,3940.0,3949.9,3957.8,241558.0,9637.86
2018-05-18,3931.05,3941.05,3851.45,3853.95,3858.85,382059.0,14802.24
2018-05-21,3899.95,4019.0,3814.2,3865.0,3852.25,516801.0,20149.56
2018-05-22,3840.0,3881.05,3720.0,3751.05,3755.55,976312.0,36675.62
2018-05-23,3750.0,3750.0,3690.05,3695.0,3700.8,333394.0,12344.48
2018-05-24,3700.0,3723.95,3631.75,3669.9,3658.4,398238.0,14555.08
2018-05-25,3693.9,3700.0,3662.0,3698.0,3682.15,271222.0,9985.54
