Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,331.0,333.3,323.4,324.6,325.45,5729566.0,18789.88
2018-01-02,328.0,328.8,318.7,327.05,327.75,6721641.0,21849.95
2018-01-03,330.35,335.25,329.05,332.25,332.5,8171980.0,27194.75
2018-01-04,335.2,341.5,330.05,341.5,339.1,8879360.0,29840.89
2018-01-05,340.5,346.3,338.1,338.85,339.55,9693755.0,33130.07
2018-01-08,339.9,341.7,335.65,340.2,340.25,5023286.0,17019.49
2018-01-09,342.25,342.85,334.55,338.5,337.7,6677065.0,22542.8
2018-01-10,339.85,343.5,333.0,334.8,334.8,7713328.0,26062.5
2018-01-11,335.0,336.3,331.35,334.6,333.9,4128265.0,13779.38
2018-01-12,337.0,341.45,335.2,338.8,339.55,8144499.0,27595.69
2018-01-15,342.0,344.0,337.7,338.0,339.2,5084069.0,17345.15
2018-01-16,339.8,340.75,325.05,331.15,330.15,8117693.0,26927.71
2018-01-17,329.9,336.25,322.05,332.9,334.9,9947827.0,32856.51
2018-01-18,335.9,336.0,323.0,324.9,326.7,13916937.0,45659.87
2018-01-19,326.5,333.7,323.1,332.45,331.65,7650044.0,25092.4
2018-01-22,332.5,332.7,324.5,327.9,326.95,7508442.0,24528.0
2018-01-23,328.1,349.95,328.1,344.0,343.5,18222487.0,62489.82
2018-01-24,343.4,347.4,337.6,337.85,340.0,11024875.0,37753.19
2018-01-25,338.9,352.05,338.8,345.4,345.6,13605990.0,47227.94
2018-01-29,348.35,355.7,342.45,345.9,345.0,13215637.0,46409.18
2018-01-30,344.9,344.9,337.1,341.8,341.3,7382593.0,25182.36
2018-01-31,342.0,346.45,335.25,340.9,340.35,8287707.0,28280.79
2018-02-01,340.0,346.2,329.8,343.05,341.45,15344365.0,51752.72
2018-02-02,337.4,345.95,331.3,332.5,334.3,11879455.0,40332.15
2018-02-05,325.0,332.9,313.5,332.75,328.85,12360798.0,40131.31
2018-02-06,311.1,328.85,309.7,323.6,321.65,12008404.0,38147.75
2018-02-07,326.5,331.0,312.6,313.2,315.7,16798249.0,53691.49
2018-02-08,312.5,318.6,305.15,315.65,314.45,16604938.0,51754.14
2018-02-09,307.05,321.0,306.1,316.4,316.3,9515144.0,29926.7
2018-02-12,319.95,319.95,312.6,315.2,315.55,9097394.0,28729.2
2018-02-14,320.25,323.4,311.9,312.65,315.75,7154264.0,22897.7
2018-02-15,320.1,328.35,320.05,324.2,324.4,11559723.0,37566.61
2018-02-16,329.9,329.9,316.0,320.0,319.75,9116738.0,29298.85
2018-02-19,321.1,324.5,314.1,321.55,320.35,8642478.0,27602.2
2018-02-20,321.0,331.0,320.0,329.0,328.7,11395413.0,37309.79
2018-02-21,330.0,331.0,320.9,329.0,327.6,12281795.0,39881.55
2018-02-22,325.3,330.55,322.0,328.7,328.65,17254470.0,56552.14
2018-02-23,330.05,340.75,327.15,338.7,337.9,11270987.0,37860.89
2018-02-26,339.4,345.0,339.0,342.0,343.15,8842289.0,30299.99
2018-02-27,343.5,344.85,338.0,341.5,340.6,4697935.0,16010.42
2018-02-28,338.7,338.7,327.0,330.0,329.75,10566570.0,35115.66
2018-03-01,327.2,333.65,321.7,322.5,323.25,8160931.0,26753.95
2018-03-05,319.0,321.25,310.55,315.0,315.9,9269131.0,29291.42
2018-03-06,318.3,327.45,311.1,312.45,313.45,11634001.0,37326.37
2018-03-07,312.6,313.4,303.2,310.15,309.35,12198965.0,37533.83
2018-03-08,313.9,317.0,301.85,307.65,308.4,9818423.0,30289.18
2018-03-09,311.8,316.4,302.55,305.0,304.15,13854157.0,42844.78
2018-03-12,308.3,318.75,305.6,316.55,317.4,11167602.0,34892.41
2018-03-13,315.0,324.0,312.0,319.65,321.05,17819886.0,56960.27
2018-03-14,319.55,323.1,315.7,319.05,318.95,10148672.0,32407.87
2018-03-15,319.7,320.8,315.0,316.0,316.95,9166951.0,29079.74
2018-03-16,317.0,317.0,306.8,310.75,308.9,13398137.0,41733.15
2018-03-19,311.45,313.6,304.0,308.5,307.2,10063284.0,30917.0
2018-03-20,284.8,293.1,283.75,288.15,287.1,14598256.0,42212.17
2018-03-21,290.0,293.5,282.5,285.9,285.75,11337441.0,32656.84
2018-03-22,288.8,294.2,285.9,290.45,291.8,12008468.0,34852.8
2018-03-23,284.25,285.5,274.3,275.4,276.0,13290580.0,37099.76
2018-03-26,276.4,286.0,268.75,285.5,283.3,14875633.0,41024.84
2018-03-27,288.0,289.9,283.7,287.5,287.0,10333840.0,29669.57
2018-03-28,283.95,285.95,276.65,279.05,277.85,14701677.0,41269.18
2018-04-02,284.0,284.9,277.45,282.1,282.3,6555940.0,18447.75
