Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,311.5,320.0,309.45,314.8,316.55,3350397.0,10601.97
2018-01-02,315.85,324.0,314.45,316.5,318.7,2874518.0,9160.98
2018-01-03,320.4,320.4,308.75,309.85,309.95,2197677.0,6924.0
2018-01-04,310.1,313.0,307.45,310.6,311.65,1464584.0,4536.0
2018-01-05,313.0,313.9,307.7,310.05,309.55,1613205.0,5017.51
2018-01-08,310.0,312.9,309.1,311.8,311.15,1785248.0,5547.76
2018-01-09,312.6,320.0,306.4,315.3,317.2,4575572.0,14330.25
2018-01-10,316.4,327.85,315.1,326.4,326.7,3811138.0,12298.66
2018-01-11,323.55,326.05,319.0,320.05,321.1,2116462.0,6831.82
2018-01-12,321.0,323.75,317.2,320.0,318.8,3162664.0,10100.16
2018-01-15,318.85,324.25,313.4,315.45,315.0,1195210.0,3809.23
2018-01-16,316.9,334.0,316.0,333.6,331.95,6166445.0,20222.48
2018-01-17,333.0,333.5,325.0,325.95,325.7,3042506.0,9961.3
2018-01-18,327.0,328.25,322.15,327.0,325.35,1770781.0,5745.7
2018-01-19,327.0,330.0,320.5,328.8,328.95,1608101.0,5245.21
2018-01-22,317.0,328.95,317.0,322.2,321.55,4572569.0,14760.1
2018-01-23,322.1,322.95,313.4,316.4,315.25,3230027.0,10221.42
2018-01-24,316.5,323.4,312.2,313.4,313.95,6578273.0,20860.92
2018-01-25,315.7,318.0,308.75,314.0,311.95,8298689.0,25946.07
2018-01-29,314.1,316.1,309.6,310.45,311.15,3523977.0,11000.03
2018-01-30,309.55,312.3,304.7,307.1,307.3,2279998.0,6996.1
2018-01-31,306.1,308.95,301.55,305.05,304.7,2823913.0,8586.8
2018-02-01,305.05,309.1,300.0,301.5,300.75,2202328.0,6689.92
2018-02-02,299.3,302.45,295.2,300.05,300.6,2517624.0,7538.91
2018-02-05,298.0,305.55,295.95,298.45,298.75,2194146.0,6596.58
2018-02-06,291.7,296.15,290.1,294.9,294.65,2433492.0,7139.85
2018-02-07,298.2,298.2,288.0,289.25,289.35,2498537.0,7263.37
2018-02-08,290.1,294.65,287.05,289.85,289.8,5297067.0,15428.72
2018-02-09,289.0,289.0,284.0,285.25,285.0,3151977.0,8996.16
2018-02-12,287.9,290.95,285.9,289.05,288.95,2520859.0,7286.93
2018-02-14,290.0,296.75,289.55,291.65,293.45,3023672.0,8897.76
2018-02-15,295.6,295.6,290.45,292.5,292.5,1655650.0,4848.07
2018-02-16,292.95,295.9,290.05,291.5,291.0,3078393.0,9027.89
2018-02-19,293.0,293.0,288.8,291.25,289.95,1657827.0,4815.33
2018-02-20,290.0,293.25,289.1,292.5,291.45,3435235.0,10016.94
2018-02-21,294.0,294.85,290.55,292.9,292.2,5155603.0,15084.85
2018-02-22,292.9,294.25,291.05,292.5,292.65,4814439.0,14092.41
2018-02-23,295.5,295.95,292.3,294.0,295.0,3667414.0,10788.69
2018-02-26,294.8,295.7,290.4,291.75,291.6,5032102.0,14717.34
2018-02-27,292.45,294.35,291.15,293.0,291.75,3925139.0,11473.94
2018-02-28,293.0,293.8,289.0,292.8,292.8,5146717.0,15042.53
2018-03-01,292.8,294.1,291.2,292.05,292.5,4085785.0,11941.13
2018-03-05,293.6,293.75,289.8,290.35,290.95,3748745.0,10933.02
2018-03-06,291.25,291.95,286.15,287.95,286.95,4726588.0,13640.54
2018-03-07,288.45,290.85,284.3,284.75,285.35,1825628.0,5253.47
2018-03-08,286.45,287.75,283.15,285.0,285.2,2020258.0,5775.99
2018-03-09,285.0,287.9,284.1,285.35,285.05,1005546.0,2875.6
2018-03-12,286.3,292.0,286.1,290.85,290.7,1746849.0,5069.98
2018-03-13,292.5,299.4,292.5,295.7,296.6,3204842.0,9500.7
2018-03-14,295.0,296.6,293.0,294.0,293.85,2080252.0,6122.83
2018-03-15,295.45,302.0,292.0,293.25,293.4,4942929.0,14682.63
2018-03-16,295.0,297.15,291.05,295.0,295.75,4834160.0,14262.57
2018-03-19,293.55,296.5,286.6,286.85,288.65,1486227.0,4333.76
2018-03-20,286.9,295.2,284.65,292.95,293.6,3024209.0,8850.92
2018-03-21,294.5,296.3,291.2,295.3,295.25,3143562.0,9246.43
2018-03-22,293.8,295.0,287.15,287.9,288.45,1888816.0,5503.27
2018-03-23,284.05,287.6,283.05,284.6,284.65,3289391.0,9392.16
2018-03-26,284.6,285.6,272.35,274.65,274.0,7029093.0,19306.35
2018-03-27,278.95,280.8,273.25,274.5,274.05,5339857.0,14708.71
2018-03-28,274.0,283.5,273.0,283.4,281.15,5194922.0,14500.97
2018-04-02,283.5,290.8,278.8,289.3,289.65,2453933.0,6972.2
2018-04-03,287.3,287.35,283.05,284.25,283.9,1612729.0,4581.01
2018-04-04,285.0,286.5,280.0,280.85,281.6,1634266.0,4622.02
2018-04-05,283.0,286.7,283.0,286.2,286.25,1055111.0,3011.16
2018-04-06,286.0,286.0,283.3,284.05,283.95,675853.0,1921.42
2018-04-09,284.7,286.05,283.25,284.5,285.05,1119910.0,3187.7
2018-04-10,280.6,288.4,277.75,285.85,286.0,4377685.0,12391.65
2018-04-11,288.0,289.2,283.85,286.1,285.7,1300675.0,3728.74
2018-04-12,286.3,290.5,285.1,288.5,286.85,2246208.0,6471.24
2018-04-13,289.5,294.95,286.85,292.95,294.15,3184290.0,9276.55
2018-04-16,289.0,294.0,287.45,289.3,289.9,2346056.0,6817.35
2018-04-17,288.1,288.8,283.3,285.25,284.75,2195268.0,6262.89
2018-04-18,288.2,293.8,286.5,293.0,292.65,2650004.0,7694.08
2018-04-19,293.0,293.8,289.65,293.25,292.45,957095.0,2795.18
2018-04-20,294.8,300.0,293.9,297.8,298.05,3351507.0,9992.54
2018-04-23,299.8,301.0,293.8,294.65,297.35,3997685.0,11889.77
2018-04-24,294.4,295.65,286.15,287.05,286.95,3541285.0,10248.33
2018-04-25,287.9,293.8,283.15,286.7,287.15,6448168.0,18638.0
2018-04-26,275.0,283.0,274.0,280.3,281.35,9581301.0,26713.74
2018-04-27,276.4,279.3,274.35,276.1,276.15,2444786.0,6760.76
2018-04-30,276.15,282.35,276.1,278.8,278.75,2118289.0,5923.16
2018-05-02,279.0,279.0,274.35,275.75,275.55,2383103.0,6568.46
2018-05-03,275.0,275.75,269.55,271.75,271.45,3356041.0,9113.06
2018-05-04,272.5,272.65,264.05,270.2,269.9,3096047.0,8301.07
2018-05-07,270.0,275.65,267.2,274.25,274.75,1974705.0,5397.66
2018-05-08,275.2,275.95,270.0,273.0,272.75,1957943.0,5332.08
2018-05-09,273.0,274.4,269.6,270.9,270.25,1937183.0,5262.95
2018-05-10,270.9,271.6,268.4,270.7,270.45,1803318.0,4872.59
2018-05-11,271.5,273.6,268.3,272.7,272.65,1525070.0,4134.58
2018-05-14,271.4,273.95,270.0,273.0,272.35,1539271.0,4185.24
2018-05-15,272.8,273.85,268.15,270.9,271.0,1688107.0,4587.07
2018-05-16,270.9,278.95,270.0,274.7,274.7,3155210.0,8673.5
2018-05-17,275.0,280.8,274.35,278.3,278.35,2606144.0,7242.59
2018-05-18,276.5,276.5,268.05,268.55,268.9,4816593.0,13079.21
2018-05-21,269.1,269.45,264.1,264.7,264.85,3045146.0,8104.72
2018-05-22,264.0,266.95,263.1,264.85,264.95,1487525.0,3937.32
2018-05-23,265.55,265.7,262.6,263.2,263.45,3525447.0,9315.25
2018-05-24,264.1,266.0,261.95,264.4,264.35,2350421.0,6211.47
2018-05-25,265.0,265.65,263.65,264.8,264.6,2349381.0,6219.97
2018-05-28,262.65,264.75,262.65,263.5,263.3,1174145.0,3095.25
2018-05-29,261.65,264.5,261.65,263.2,263.0,1788224.0,4710.3
2018-05-30,262.9,263.45,258.55,260.95,260.85,2924795.0,7628.02
2018-05-31,261.8,264.5,258.0,263.55,261.9,5148537.0,13483.13
2018-06-01,262.95,264.5,259.05,261.2,260.6,1425020.0,3739.5
2018-06-04,261.45,262.45,258.05,260.05,260.15,1583746.0,4127.45
2018-06-05,260.2,262.0,254.0,256.25,255.25,2464517.0,6350.6
2018-06-06,257.15,260.5,253.5,259.7,259.25,1904820.0,4923.37
2018-06-07,258.05,265.85,258.05,264.5,264.6,2002310.0,5281.66
2018-06-08,264.6,265.0,262.5,264.0,264.0,1884800.0,4979.47
2018-06-11,264.5,266.25,263.25,264.75,264.4,2077925.0,5498.08
2018-06-12,266.75,269.15,265.55,267.0,266.45,2274737.0,6076.61
2018-06-13,269.0,270.0,266.85,268.75,268.8,1537840.0,4130.77
2018-06-14,267.15,269.1,264.65,266.8,266.4,2336679.0,6230.03
2018-06-15,268.75,268.75,265.0,266.85,266.9,4835437.0,12899.59
2018-06-18,269.0,269.0,263.9,266.0,265.75,3119539.0,8281.57
2018-06-19,265.95,265.95,260.1,261.2,261.0,3667556.0,9610.58
2018-06-20,261.3,262.55,258.35,260.0,259.7,1921955.0,4986.74
2018-06-21,261.0,261.3,257.1,258.4,258.65,3815401.0,9859.74
2018-06-22,258.75,259.6,255.0,257.45,258.25,2612052.0,6711.47
2018-06-25,257.9,261.25,256.0,257.3,257.5,1639454.0,4228.16
2018-06-26,257.5,259.95,256.15,257.45,257.6,1983623.0,5126.92
2018-06-27,259.1,259.9,254.2,256.0,256.05,3198964.0,8216.41
2018-06-28,256.4,258.95,255.7,256.65,257.1,3904763.0,10040.28
2018-06-29,259.0,262.5,255.0,260.85,261.5,3619783.0,9406.5
2018-07-02,260.7,262.25,258.1,261.0,260.6,3770856.0,9821.25
2018-07-03,261.45,262.8,258.55,262.0,261.9,3934114.0,10278.7
2018-07-04,262.05,262.55,258.1,262.0,261.95,3834319.0,10012.5
2018-07-05,262.5,264.8,260.15,263.85,264.1,4677308.0,12330.69
2018-07-06,263.0,264.4,261.5,262.45,262.8,2842723.0,7474.0
2018-07-09,263.3,265.25,262.15,265.0,264.95,2187251.0,5776.74
2018-07-10,266.0,272.3,263.7,271.75,270.6,4965837.0,13358.18
2018-07-11,272.95,274.8,269.4,271.95,272.1,3958697.0,10785.77
2018-07-12,272.45,281.5,269.85,278.8,279.45,4462606.0,12276.12
2018-07-13,279.8,289.8,278.25,280.55,280.85,7734425.0,22002.11
2018-07-16,279.25,287.0,278.85,282.9,283.1,4703923.0,13346.98
2018-07-17,283.0,288.95,281.75,284.5,283.9,5426840.0,15495.22
2018-07-18,286.0,287.3,283.65,284.05,284.8,2297219.0,6552.01
2018-07-19,286.0,288.35,281.6,287.5,285.8,2787897.0,7929.37
2018-07-20,287.5,290.6,280.5,281.65,283.0,5237399.0,14955.66
2018-07-23,282.5,282.5,263.35,275.95,276.45,8843493.0,24203.16
2018-07-24,278.2,278.5,269.2,272.75,272.95,3459105.0,9453.31
2018-07-25,275.0,276.7,272.6,273.75,274.7,2486066.0,6835.4
2018-07-26,273.4,275.1,269.65,271.0,271.4,4333086.0,11790.77
2018-07-27,272.0,275.5,272.0,274.0,274.5,1811083.0,4970.13
2018-07-30,273.8,274.0,269.5,273.4,273.15,2727347.0,7407.86
2018-07-31,273.5,277.25,271.2,277.25,276.4,2788567.0,7672.41
2018-08-01,276.0,278.5,273.7,277.6,277.35,1582340.0,4368.21
2018-08-02,277.0,280.8,274.6,278.9,279.1,3003757.0,8370.62
2018-08-03,280.45,280.45,277.1,278.0,278.0,1636066.0,4555.5
