Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,315.5,317.75,311.3,312.3,312.6,4019878.0,12642.42
2018-01-02,313.4,314.0,307.15,312.4,311.65,5224976.0,16261.39
2018-01-03,312.0,316.5,311.15,316.0,315.85,5672263.0,17863.45
2018-01-04,316.0,318.4,313.0,317.55,317.1,5667580.0,17867.11
2018-01-05,317.5,337.9,317.45,332.9,332.85,30720675.0,101816.39
2018-01-08,336.0,341.3,331.3,333.15,333.6,12747890.0,42894.5
2018-01-09,334.9,342.8,327.55,341.5,341.35,13282560.0,44811.32
2018-01-10,341.5,342.35,335.45,338.75,339.8,10385044.0,35205.86
2018-01-11,339.0,344.25,335.3,342.35,343.15,8266266.0,28175.6
2018-01-12,344.1,344.7,337.55,340.05,340.9,5688676.0,19381.69
2018-01-15,341.9,343.7,335.1,336.15,336.0,7142164.0,24202.81
2018-01-16,336.0,338.75,328.0,334.65,334.85,7296505.0,24384.38
2018-01-17,335.1,343.5,331.4,342.4,342.4,7985222.0,26960.18
2018-01-18,350.0,356.9,332.35,346.35,341.2,35465087.0,123731.52
2018-01-19,347.5,352.25,339.1,348.75,349.35,21425789.0,74107.64
2018-01-22,349.95,358.25,348.75,357.8,355.35,13456538.0,47565.4
2018-01-23,359.85,360.4,352.3,359.45,359.55,10196645.0,36417.14
2018-01-24,357.0,366.3,356.0,364.7,364.8,11258771.0,40834.65
2018-01-25,364.5,364.5,355.65,361.2,361.6,8963188.0,32228.76
2018-01-29,361.2,363.7,355.55,357.3,358.0,7931235.0,28512.23
2018-01-30,358.0,360.8,351.85,352.55,353.35,7890491.0,28121.62
2018-01-31,353.0,356.55,350.45,354.9,354.4,8527044.0,30154.71
2018-02-01,355.0,367.25,352.65,360.3,359.9,15217926.0,54607.02
2018-02-02,354.2,356.0,341.8,347.0,349.05,16298953.0,57043.03
2018-02-05,340.0,349.0,333.6,343.95,343.6,13407059.0,45738.24
2018-02-06,325.0,342.9,324.0,339.4,338.75,12557261.0,41926.02
2018-02-07,344.0,344.0,330.6,330.95,332.9,11681640.0,39265.48
2018-02-08,332.9,340.35,331.5,336.1,335.0,7785799.0,26247.79
2018-02-09,330.0,331.45,324.0,325.1,325.55,9395513.0,30742.64
2018-02-12,326.6,337.2,326.6,334.7,335.4,12049356.0,40069.34
2018-02-14,336.0,337.85,318.95,319.35,320.35,13548524.0,44159.01
2018-02-15,321.2,328.8,317.7,321.0,319.8,15482667.0,50244.14
2018-02-16,324.0,325.0,309.65,312.0,311.8,18611798.0,58475.61
2018-02-19,313.85,315.0,307.55,314.35,312.05,9311433.0,28922.1
2018-02-20,314.35,316.1,307.5,308.05,308.7,11389041.0,35581.62
2018-02-21,311.0,313.9,304.5,313.2,312.35,13342678.0,41226.79
2018-02-22,311.9,316.9,308.15,315.55,316.1,14787238.0,46547.06
2018-02-23,316.45,326.0,316.45,323.4,323.45,11399732.0,36830.79
2018-02-26,326.5,328.2,319.35,324.35,326.15,9225197.0,29929.24
2018-02-27,325.3,334.25,325.0,326.35,327.15,15104405.0,49755.18
2018-02-28,323.0,325.2,318.05,322.1,322.3,10985771.0,35266.05
2018-03-01,322.1,326.0,318.35,320.1,321.05,7333939.0,23728.31
2018-03-05,318.5,319.0,311.15,313.5,312.95,7973146.0,25005.95
2018-03-06,317.0,320.5,309.85,310.9,312.15,8299126.0,26261.2
2018-03-07,312.0,314.9,308.0,310.0,311.95,8420190.0,26313.45
2018-03-08,312.3,313.25,294.7,308.85,308.55,24027679.0,72729.36
2018-03-09,310.0,310.95,301.3,302.85,303.25,11596136.0,35454.92
2018-03-12,305.2,314.5,301.35,313.55,311.15,12860205.0,39268.8
2018-03-13,310.0,315.4,309.8,312.6,312.8,11436348.0,35793.61
2018-03-14,311.8,321.9,308.2,318.0,318.85,12905495.0,40865.2
2018-03-15,318.95,321.0,310.85,312.0,311.85,9999620.0,31487.53
2018-03-16,312.4,316.85,310.0,314.5,312.9,17094363.0,53657.91
2018-03-19,316.0,316.5,302.5,304.6,304.8,11267355.0,34686.1
2018-03-20,303.0,305.8,299.7,303.0,302.4,9874137.0,29937.43
2018-03-21,305.0,309.05,300.05,300.9,300.75,13383435.0,40794.72
2018-03-22,301.8,303.7,295.75,297.4,298.25,19356591.0,58011.94
2018-03-23,293.0,293.05,285.0,287.4,286.65,21617995.0,62122.82
2018-03-26,286.5,304.9,286.0,304.85,303.35,24240033.0,71649.32
2018-03-27,307.0,309.25,300.7,303.35,303.5,15267419.0,46516.82
2018-03-28,300.15,307.5,299.1,306.05,304.85,14952643.0,45347.91
2018-04-02,307.0,308.5,303.6,306.8,306.25,8844027.0,27039.2
2018-04-03,306.45,314.2,304.0,313.0,313.1,10392997.0,32425.69
2018-04-04,313.0,320.0,304.0,305.0,305.45,13516525.0,42381.76
2018-04-05,311.8,315.6,307.8,314.7,313.05,11449637.0,35668.15
2018-04-06,314.7,316.0,311.6,313.6,314.5,8598435.0,27000.36
2018-04-09,316.0,319.9,314.4,315.8,316.25,14002415.0,44378.42
2018-04-10,320.1,320.5,315.0,319.25,319.25,9976629.0,31707.81
2018-04-11,320.0,320.0,310.5,312.4,312.0,9921987.0,31172.08
2018-04-12,312.2,313.35,308.0,312.2,311.75,11359462.0,35284.81
2018-04-13,312.6,314.45,305.7,310.0,309.55,12849690.0,39993.79
2018-04-16,307.0,311.1,306.45,310.85,310.35,10808237.0,33339.21
2018-04-17,311.9,313.35,307.25,308.4,307.9,12509310.0,38773.48
2018-04-18,311.0,313.7,308.75,309.5,309.55,11323144.0,35243.31
2018-04-19,311.0,319.5,309.0,318.5,318.5,13498117.0,42528.67
2018-04-20,317.7,317.7,306.05,309.0,308.55,21800867.0,67554.76
2018-04-23,310.9,317.0,309.0,314.0,313.05,10927239.0,34348.09
2018-04-24,314.0,328.8,314.0,324.15,324.0,24392058.0,78920.49
2018-04-25,323.75,328.5,317.45,325.15,325.25,15370686.0,49882.48
2018-04-26,327.95,360.25,323.6,358.15,352.4,62364794.0,212803.47
2018-04-27,365.0,369.0,345.1,348.65,348.9,52230752.0,185528.57
2018-04-30,350.9,367.2,350.3,360.95,362.0,28400085.0,102553.53
2018-05-02,361.95,364.7,351.7,354.0,354.25,13058846.0,46686.91
2018-05-03,354.0,359.25,346.5,353.45,353.95,15431044.0,54400.54
2018-05-04,354.5,357.75,344.2,345.65,345.1,12241946.0,42741.94
2018-05-07,347.8,350.0,342.65,348.0,347.9,6781161.0,23561.39
2018-05-08,350.0,353.95,340.5,344.05,343.3,11670852.0,40448.09
2018-05-09,344.45,349.75,343.2,348.15,347.85,9802803.0,34044.0
2018-05-10,350.95,350.95,342.65,343.2,344.65,7330619.0,25426.09
2018-05-11,346.5,351.8,341.8,348.7,350.25,7642090.0,26519.3
2018-05-14,350.8,353.8,343.1,345.0,344.8,7468232.0,25990.94
2018-05-15,346.0,354.6,343.6,345.55,345.75,12805393.0,44792.49
2018-05-16,344.0,356.45,342.0,349.55,349.75,12708109.0,44456.63
2018-05-17,351.5,352.0,344.0,345.25,345.3,6702419.0,23273.63
