Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-01,581.95,587.5,574.7,581.0,579.2,1102118.0,6404.13
2018-01-02,581.0,584.0,576.1,578.1,578.15,769766.0,4458.91
2018-01-03,580.0,581.95,577.5,578.4,579.75,1207540.0,7000.87
2018-01-04,580.0,581.0,574.75,578.5,580.0,1456032.0,8435.93
2018-01-05,580.6,590.05,578.5,585.7,586.85,1568108.0,9173.76
2018-01-08,588.9,599.05,587.65,593.0,593.9,2621722.0,15556.73
2018-01-09,593.1,593.6,578.8,580.7,580.05,3938517.0,22935.57
2018-01-10,582.0,586.5,579.0,579.55,580.5,3939541.0,22964.54
2018-01-11,581.9,583.25,577.4,580.9,580.0,3333739.0,19340.5
2018-01-12,584.0,598.45,579.65,595.75,591.0,9177336.0,54220.29
2018-01-15,595.95,610.7,595.75,607.5,606.15,2944837.0,17824.75
2018-01-16,610.4,618.3,607.5,616.5,613.4,4805427.0,29455.91
2018-01-17,615.95,616.45,584.8,592.1,593.1,8594970.0,51550.24
2018-01-18,604.0,604.35,588.75,597.0,595.85,4229588.0,25226.75
2018-01-19,590.0,602.9,585.0,597.75,600.35,1852650.0,11006.95
2018-01-22,599.8,616.7,598.0,607.8,608.85,2713393.0,16480.69
2018-01-23,605.4,608.0,591.55,597.1,597.15,2448720.0,14660.44
2018-01-24,596.9,611.25,590.0,603.0,603.2,3537117.0,21253.52
2018-01-25,603.0,606.6,592.6,598.25,595.85,1782889.0,10673.47
2018-01-29,599.0,619.0,599.0,606.25,608.9,4384110.0,26826.97
2018-01-30,610.45,610.45,597.1,603.5,603.0,1627474.0,9786.6
2018-01-31,600.0,607.2,589.45,596.4,593.7,1844853.0,11015.31
2018-02-01,599.5,600.45,585.5,594.0,594.95,1806045.0,10741.87
2018-02-02,588.0,594.55,577.3,582.0,586.1,1443177.0,8479.9
2018-02-05,576.0,586.1,573.6,580.1,582.7,1228509.0,7133.46
2018-02-06,565.0,576.85,558.05,572.0,571.75,1296900.0,7371.97
2018-02-07,582.9,585.95,573.25,579.1,581.15,1708635.0,9927.03
2018-02-08,581.8,592.3,581.15,584.0,584.8,1194015.0,7004.16
2018-02-09,579.4,584.9,575.55,584.0,580.95,868462.0,5038.32
2018-02-12,585.0,589.8,579.0,580.0,584.5,908184.0,5296.06
2018-02-14,585.0,586.65,572.1,573.0,576.6,672167.0,3901.91
2018-02-15,576.9,580.6,565.1,571.0,570.9,1621559.0,9251.38
2018-02-16,580.0,581.5,565.55,567.6,569.6,1908094.0,10886.12
2018-02-19,569.9,571.4,553.4,566.1,567.95,1708758.0,9592.32
2018-02-20,570.0,573.6,561.4,570.0,570.75,1080131.0,6141.12
2018-02-21,572.0,577.75,570.0,574.9,573.1,1201048.0,6885.21
2018-02-22,570.0,572.1,565.0,567.05,567.05,1898985.0,10770.84
2018-02-23,570.0,574.0,566.6,570.0,569.95,1052867.0,5999.51
2018-02-26,571.5,587.3,569.0,584.95,585.45,1041351.0,6023.85
2018-02-27,585.45,589.0,575.0,575.2,576.5,1137417.0,6595.0
2018-02-28,572.0,573.9,564.2,564.8,565.35,1239880.0,7039.42
2018-03-01,563.95,568.9,551.6,553.0,555.4,1671540.0,9371.54
2018-03-05,554.9,557.6,546.95,550.7,551.85,1269210.0,7008.57
2018-03-06,554.5,569.5,553.7,556.25,559.5,2853083.0,16074.57
2018-03-07,562.4,568.7,556.0,564.9,565.1,2115998.0,11935.68
2018-03-08,565.9,570.0,560.25,561.65,563.5,1291874.0,7299.53
2018-03-09,566.0,572.5,564.9,569.15,568.5,1112161.0,6331.59
2018-03-12,575.0,578.0,565.1,577.8,576.25,894309.0,5113.39
2018-03-13,572.0,580.35,570.25,576.6,579.15,1279371.0,7364.65
2018-03-14,574.55,581.85,570.9,577.05,576.6,844455.0,4856.03
2018-03-15,577.05,578.6,568.6,570.4,570.4,948246.0,5427.22
2018-03-16,570.4,580.95,569.1,570.05,570.35,2562954.0,14661.48
2018-03-19,574.0,574.0,563.7,567.7,566.45,1501099.0,8515.7
2018-03-20,567.45,577.05,562.0,574.8,575.1,1329829.0,7573.5
2018-03-21,579.8,579.8,564.75,569.15,566.85,1232152.0,7027.81
2018-03-22,569.65,576.95,553.8,560.0,559.2,2725681.0,15383.99
2018-03-23,555.5,572.35,551.4,570.1,569.4,2132211.0,12020.7
2018-03-26,569.95,590.0,567.3,590.0,585.85,1384646.0,8032.81
2018-03-27,588.25,597.0,583.6,590.7,586.5,1852675.0,10961.89
2018-03-28,584.5,588.8,573.0,579.1,575.5,2085254.0,12072.15
