Date,High,Low,Mid,Last,Bid,Ask,Volume
2019-05-24,7285.4,6961.320263,7185.55,7185.7,7185.3,7185.8,911.11246764
2019-05-23,7115.9,6676.77174,7045.95,7045.9,7045.9,7046.0,596.4159054
2019-05-22,7208.3,6724.0042784,6929.7,6929.7,6929.6,6929.8,673.02783031
2019-05-21,7250.3,7010.9,7127.85,7134.7,7127.7,7128.0,447.82451419
2019-05-20,7407.6,6807.9,7100.85,7105.1,7100.8,7100.9,874.05398622
2019-05-19,7361.4,6481.8,7318.75,7310.4,7318.7,7318.8,983.0125341
2019-05-18,6731.3,6455.19202795,6531.0,6544.1,6530.9,6531.1,870.74199665
2019-05-17,7075.60434728,6262.4,6540.05,6540.1,6540.0,6540.1,1828.08630715
2019-05-16,7449.1,6890.9,7045.85,7048.0,7045.2,7046.5,1370.94422016
2019-05-15,7320.8,6986.5,7236.45,7238.4,7236.4,7236.5,1463.59128984
2019-05-14,7294.79750899,6781.0,7037.9,7030.6,7036.2,7039.6,1792.12974438
2019-05-13,7170.41673821,6123.1,7075.25,7076.3,7074.9,7075.6,1634.38421688
2019-05-12,6628.9,6103.86003552,6222.35,6221.7,6222.3,6222.4,2104.51510762
2019-05-11,6446.0,5727.2,6360.55,6363.6612465,6360.3,6360.8,1455.89619869
2019-05-10,5800.2,5533.83396706,5756.45,5756.3903712,5756.4,5756.5,486.08270463
2019-05-09,5666.9,5451.1,5595.55,5596.7,5595.5,5595.6,450.20828407
2019-05-08,5575.62721785,5369.49828624,5534.15,5539.58054593,5533.6,5534.7,437.51951897
2019-05-07,5645.081475,5377.2,5556.0,5553.9,5555.9,5556.1,649.34545589
2019-05-06,5444.0,5276.4,5397.9,5398.0,5397.8,5398.0,440.47034222
2019-05-05,5483.6,5312.4,5393.4,5393.9,5393.3,5393.5,257.04736811
2019-05-04,5521.1,5231.2,5463.0,5460.5,5461.7,5464.3,545.29843936
2019-05-03,5508.9,5102.9,5364.1,5364.5,5362.1,5366.1,1097.07597595
2019-05-02,5175.2,5008.2,5134.1,5135.4,5134.0,5134.2,562.507987
2019-05-01,5039.9,4967.8,5008.5,5008.5,5008.4,5008.6,506.89131084
2019-04-30,5004.13124611,4873.1,5001.2,5001.2,5001.1,5001.3,441.51567693
2019-04-29,4941.3,4811.6,4874.2,4875.4,4874.1,4874.3,474.77568216
2019-04-28,4965.4,4838.8,4914.35,4908.29586,4914.3,4914.4,567.94005635
2019-04-27,4888.2,4794.7,4872.2,4872.2,4872.1,4872.3,419.3608704
2019-04-26,4960.9,4633.2,4858.2,4858.2,4858.1,4858.3,1976.28620793
2019-04-25,4991.2,4539.3,4661.45,4668.78222835,4661.4,4661.5,1771.57948986
2019-04-24,5069.5,4826.3,4907.6,4907.8,4907.5,4907.7,2184.38144351
2019-04-23,5034.5,4787.9,4969.3,4964.15091265,4969.2,4969.4,1950.86720498
