Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-01-01,157.4,159.0,155.4,158.95,158.45,2350082.0,3708.33
2015-01-02,158.9,161.2,158.35,160.0,160.1,2923839.0,4684.25
2015-01-05,161.0,161.95,155.5,157.0,156.85,4830121.0,7663.94
2015-01-06,156.3,156.3,151.15,153.5,153.4,7054029.0,10848.65
2015-01-07,153.8,154.5,146.7,148.85,148.9,6638158.0,9996.74
2015-01-08,150.7,153.2,148.55,153.0,152.55,3540099.0,5349.06
2015-01-09,153.1,155.25,152.1,155.0,155.0,3743205.0,5752.17
2015-01-12,155.2,155.2,150.5,151.0,151.1,4659450.0,7079.66
2015-01-13,152.1,154.4,150.75,151.65,151.7,4324660.0,6602.03
2015-01-14,150.95,151.35,140.8,142.05,142.15,13580758.0,19537.52
2015-01-15,143.55,145.75,138.35,141.5,141.9,10860317.0,15460.77
2015-01-16,141.5,143.4,137.75,138.9,138.55,9096928.0,12785.41
2015-01-19,140.95,141.7,139.5,140.35,140.25,8541810.0,11977.65
2015-01-20,141.0,145.2,141.0,144.75,144.7,8856169.0,12736.3
2015-01-21,145.65,146.35,140.5,143.0,143.2,8871757.0,12681.98
2015-01-22,143.05,144.9,141.1,143.05,143.45,6918171.0,9876.78
2015-01-23,145.6,146.25,142.1,144.6,144.8,6943971.0,10030.75
2015-01-27,139.9,144.5,139.0,142.15,142.5,7886739.0,11154.76
2015-01-28,141.75,143.1,139.65,140.35,140.15,7496686.0,10572.53
2015-01-29,139.9,142.9,138.25,142.2,142.4,10636771.0,15011.02
2015-01-30,143.0,143.1,138.6,140.25,139.7,7570814.0,10631.14
2015-02-02,140.0,145.7,139.5,145.2,145.25,7296741.0,10471.34
2015-02-03,145.85,148.5,142.9,145.15,146.45,6262548.0,9090.43
2015-02-04,147.0,153.8,146.0,151.75,152.4,8349284.0,12519.14
2015-02-05,152.3,153.9,146.75,148.05,148.05,6672029.0,10013.01
2015-02-06,148.0,150.0,145.65,147.3,147.3,5623571.0,8295.94
2015-02-09,146.3,149.0,145.5,146.9,146.55,9737189.0,14332.52
2015-02-10,148.5,153.7,146.55,149.4,149.2,8706407.0,13114.52
2015-02-11,149.55,151.5,147.05,149.65,149.85,6154345.0,9213.9
2015-02-12,151.8,153.4,149.05,153.0,152.8,10713094.0,16286.64
2015-02-13,153.0,156.1,152.0,153.15,153.55,5666609.0,8703.09
2015-02-16,157.0,158.0,150.25,151.0,150.95,4949268.0,7611.47
2015-02-18,151.0,152.45,149.6,151.05,151.65,3717870.0,5621.19
2015-02-19,151.0,157.8,150.1,155.7,156.25,8185032.0,12640.1
2015-02-20,158.0,160.7,155.2,158.0,156.55,6630757.0,10496.87
2015-02-23,161.6,161.8,154.2,154.6,154.85,6743403.0,10619.25
2015-02-24,155.0,156.9,151.4,154.05,153.65,6455384.0,9931.83
2015-02-25,154.6,155.45,152.25,153.65,153.65,3479311.0,5347.39
2015-02-26,153.1,154.0,148.0,150.5,149.75,9010829.0,13562.88
2015-02-27,150.55,155.8,149.8,155.4,155.15,6534491.0,10063.86
2015-02-28,156.3,156.7,151.0,153.3,152.85,3999382.0,6141.06
2015-03-02,154.2,157.4,153.5,156.45,156.55,4452819.0,6925.23
2015-03-03,157.5,159.3,156.15,158.1,158.7,3718817.0,5877.2
2015-03-04,160.0,160.0,152.3,153.0,153.1,5559004.0,8587.03
2015-03-05,153.05,154.0,146.9,147.5,148.1,8404364.0,12570.56
2015-03-09,149.4,149.85,140.0,140.6,140.8,8031261.0,11496.55
2015-03-10,142.6,142.6,136.65,137.9,138.05,6588296.0,9166.19
2015-03-11,138.85,138.85,127.2,131.0,130.35,21561044.0,28409.74
2015-03-12,131.75,135.7,129.1,134.5,134.9,14242872.0,19007.18
2015-03-13,136.7,136.75,131.05,131.95,131.7,6690050.0,8936.67
2015-03-16,131.0,131.4,123.1,127.4,126.8,10785285.0,13745.06
2015-03-17,128.0,134.75,126.8,133.75,134.25,9699896.0,12818.63
2015-03-18,134.0,134.8,131.8,132.95,133.15,4154051.0,5539.78
2015-03-19,134.0,136.2,131.3,132.0,132.3,4626972.0,6210.04
2015-03-20,132.15,135.0,130.55,132.2,132.05,4836454.0,6420.62
2015-03-23,131.95,136.8,131.95,136.3,135.9,6306085.0,8519.52
2015-03-24,135.8,135.9,132.0,133.2,132.85,4386125.0,5863.27
2015-03-25,133.0,134.45,132.35,132.9,132.9,2895061.0,3853.46
2015-03-26,132.4,133.4,128.55,130.1,129.55,7955596.0,10369.32
2015-03-27,131.0,134.45,130.05,133.95,133.95,5241353.0,6943.34
2015-03-30,134.25,134.7,130.3,131.4,131.15,3651285.0,4796.25
2015-03-31,133.0,133.45,128.4,128.65,129.0,8516432.0,11182.73
2015-04-01,129.0,132.9,127.5,132.2,132.2,7180617.0,9412.18
2015-04-06,133.4,135.1,132.0,134.75,134.7,5542921.0,7415.03
2015-04-07,135.0,137.55,134.2,137.15,136.95,6514199.0,8854.41
2015-04-08,137.25,138.9,136.15,137.3,137.95,6176434.0,8512.0
2015-04-09,138.6,140.85,136.6,139.55,139.9,6142066.0,8488.87
2015-04-10,139.0,139.2,137.05,137.7,137.9,4860480.0,6704.05
2015-04-13,138.0,138.95,135.1,137.0,136.1,5017864.0,6838.41
2015-04-15,136.0,137.4,134.6,135.3,135.15,8714291.0,11795.16
2015-04-16,135.85,137.9,135.4,136.8,137.15,5457847.0,7464.35
2015-04-17,138.0,141.7,137.6,140.0,139.75,8674061.0,12153.22
