Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-01-01,1493.8,1506.9,1492.0,1503.95,1502.95,449532.0,6746.55
2015-01-02,1501.5,1539.0,1501.5,1537.0,1534.65,1291056.0,19709.14
2015-01-05,1545.35,1571.0,1545.35,1559.0,1556.0,1451018.0,22653.99
2015-01-06,1541.0,1544.75,1496.05,1498.0,1504.1,2032017.0,30859.04
2015-01-07,1498.75,1510.0,1485.55,1507.8,1500.5,1375757.0,20626.25
2015-01-08,1519.5,1523.5,1504.15,1509.0,1510.05,970636.0,14671.54
2015-01-09,1522.0,1524.0,1488.0,1501.0,1500.25,1157153.0,17402.62
2015-01-12,1503.9,1537.0,1495.1,1533.0,1534.2,1023547.0,15550.39
2015-01-13,1544.95,1547.15,1516.2,1518.9,1519.5,878899.0,13443.74
2015-01-14,1522.5,1534.1,1500.0,1525.0,1518.0,984594.0,14929.69
2015-01-15,1545.0,1586.2,1535.5,1564.0,1573.7,2279394.0,35655.02
2015-01-16,1582.5,1612.0,1560.0,1595.0,1591.75,2796685.0,44520.33
2015-01-19,1603.0,1623.0,1601.9,1616.55,1614.85,1391965.0,22470.17
2015-01-20,1621.9,1634.0,1601.0,1631.0,1629.55,1392519.0,22530.34
2015-01-21,1633.8,1668.2,1630.75,1657.95,1654.55,2470158.0,40827.55
2015-01-22,1656.0,1669.0,1653.35,1664.0,1663.3,1207449.0,20072.72
2015-01-23,1675.0,1715.95,1675.0,1712.0,1711.3,2916141.0,49729.44
2015-01-27,1720.0,1750.0,1718.0,1739.4,1742.0,2260406.0,39318.74
2015-01-28,1735.2,1740.5,1685.0,1695.25,1698.35,2309016.0,39592.37
2015-01-29,1692.35,1733.7,1688.25,1731.0,1723.9,2306675.0,39488.51
2015-01-30,1728.6,1740.8,1683.35,1705.0,1700.55,1521663.0,26044.39
2015-02-02,1696.0,1739.85,1696.0,1735.0,1735.1,1417138.0,24438.64
2015-02-03,1742.0,1749.9,1707.35,1715.5,1722.5,1953815.0,33747.91
2015-02-04,1729.55,1732.2,1682.4,1684.1,1688.4,1230675.0,21007.58
2015-02-05,1690.95,1706.0,1674.1,1678.5,1682.4,1343965.0,22737.28
2015-02-06,1682.0,1694.0,1663.0,1674.3,1683.55,1473747.0,24775.97
2015-02-09,1663.3,1669.0,1550.0,1558.35,1572.45,3559882.0,57133.46
2015-02-10,1545.1,1611.0,1532.15,1576.6,1571.7,6981365.0,109682.12
2015-02-11,1587.0,1623.7,1583.7,1607.4,1612.7,3117098.0,50185.57
2015-02-12,1618.0,1659.0,1605.2,1655.0,1650.05,2108189.0,34297.06
2015-02-13,1660.0,1674.0,1650.0,1664.0,1662.15,1575712.0,26213.02
2015-02-16,1665.0,1678.0,1640.1,1654.35,1648.45,1117688.0,18487.55
2015-02-18,1654.8,1674.9,1654.0,1663.55,1663.35,1458528.0,24314.47
2015-02-19,1668.8,1710.0,1662.4,1709.5,1698.55,1872581.0,31470.92
2015-02-20,1700.0,1714.8,1671.5,1680.6,1677.6,3581711.0,60563.39
2015-02-23,1686.45,1711.9,1679.35,1681.0,1687.0,2372609.0,40271.57
2015-02-24,1691.45,1724.5,1690.05,1722.3,1721.1,2124338.0,36322.04
2015-02-25,1725.0,1734.8,1686.0,1693.9,1697.9,1840117.0,31539.89
2015-02-26,1699.0,1700.75,1670.0,1690.55,1678.05,1911784.0,32224.05
2015-02-27,1702.8,1765.0,1700.0,1762.55,1758.95,4269703.0,74593.69
2015-02-28,1780.0,1799.9,1716.0,1759.0,1768.1,4728380.0,83497.47
2015-03-02,1782.0,1850.0,1782.0,1849.9,1846.1,4851329.0,88664.26
2015-03-03,1850.0,1859.0,1828.1,1852.7,1851.65,2377803.0,43851.06
2015-03-04,1870.0,1893.8,1817.0,1840.0,1837.9,3304664.0,61345.88
2015-03-05,1842.25,1846.45,1795.0,1831.1,1826.05,1887700.0,34343.39
2015-03-09,1817.2,1821.6,1755.0,1757.95,1762.3,1577677.0,28178.29
