Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-01-01,340.25,344.75,340.1,343.7,344.05,1232882.0,4226.31
2015-01-02,344.1,352.5,344.1,350.0,349.2,2490979.0,8695.35
2015-01-05,347.0,358.0,346.0,353.5,353.15,4049746.0,14323.74
2015-01-06,348.55,348.95,330.6,331.75,333.15,6016665.0,20362.46
2015-01-07,333.0,341.55,328.1,338.6,338.05,5958447.0,20002.09
2015-01-08,342.95,343.85,335.5,340.5,341.8,4385954.0,14945.29
2015-01-09,347.1,356.9,336.4,350.6,351.0,8815843.0,30691.54
2015-01-12,352.05,352.4,344.45,347.1,347.7,2105033.0,7320.2
2015-01-13,348.0,348.6,338.3,340.2,339.95,4930014.0,16789.47
2015-01-14,340.0,346.0,339.0,344.5,344.05,4469815.0,15306.73
2015-01-15,349.0,353.0,342.65,344.05,346.5,7158658.0,24855.44
2015-01-16,345.0,352.0,343.35,346.95,347.1,2856616.0,9916.59
2015-01-19,349.1,353.0,345.8,348.6,347.5,2033127.0,7096.74
2015-01-20,351.5,351.5,347.3,350.4,350.3,3228047.0,11288.89
2015-01-21,350.15,350.5,344.1,346.35,346.05,5908766.0,20456.7
2015-01-22,347.0,354.85,345.75,353.75,352.9,5374509.0,18864.14
2015-01-23,355.0,356.0,347.55,349.55,348.8,4282933.0,15069.7
2015-01-27,350.0,351.6,346.05,350.0,350.25,3126582.0,10900.71
2015-01-28,350.0,356.5,348.55,354.65,353.9,4691651.0,16515.03
2015-01-29,352.0,355.5,347.5,350.5,351.9,7034153.0,24720.72
2015-01-30,351.9,355.45,348.05,352.1,351.35,4108295.0,14435.45
2015-02-02,355.0,357.8,348.6,348.95,349.85,2478348.0,8704.73
2015-02-03,352.6,361.0,352.0,359.2,359.45,5078611.0,18164.49
2015-02-04,366.15,373.8,362.1,368.0,368.55,8264203.0,30492.17
2015-02-05,368.1,368.5,354.05,355.85,356.65,2635861.0,9468.92
2015-02-06,360.0,361.25,347.7,350.9,351.0,3889739.0,13750.06
2015-02-09,349.1,357.85,349.1,356.0,356.35,2697234.0,9574.4
2015-02-10,355.0,359.1,351.0,355.2,354.65,2292260.0,8139.27
2015-02-11,355.0,356.4,344.0,345.0,344.95,2503286.0,8666.82
2015-02-12,346.0,350.6,339.35,349.0,346.45,4345518.0,14929.8
2015-02-13,339.55,343.9,338.25,339.5,339.55,6089865.0,20745.06
2015-02-16,337.5,344.7,337.0,340.7,340.45,3808761.0,12985.22
2015-02-18,341.35,343.9,332.0,332.4,332.6,5165029.0,17448.66
2015-02-19,334.0,335.95,330.6,334.75,333.45,3595968.0,11978.99
2015-02-20,334.4,335.9,330.0,330.85,330.7,3176119.0,10544.71
2015-02-23,331.7,333.55,323.7,324.45,324.85,3111810.0,10249.45
2015-02-24,326.1,326.8,312.65,314.9,315.05,7596275.0,24017.59
2015-02-25,317.8,323.35,315.15,317.9,317.15,5165018.0,16496.16
2015-02-26,320.0,322.2,315.55,321.0,319.35,5553374.0,17686.22
2015-02-27,319.0,326.0,319.0,324.3,324.75,6949416.0,22498.98
2015-02-28,329.7,332.45,321.85,324.0,324.95,4579338.0,14967.31
2015-03-02,328.8,329.6,317.4,320.45,320.05,6100603.0,19649.84
2015-03-03,320.05,326.0,317.0,321.35,320.5,6251517.0,20095.35
2015-03-04,322.45,326.75,318.8,320.25,320.55,8262246.0,26614.05
2015-03-05,321.05,321.45,317.4,319.8,319.95,3540831.0,11295.94
2015-03-09,317.85,318.5,314.1,316.5,316.0,5596361.0,17696.53
2015-03-10,318.0,318.95,308.15,315.5,314.4,7231231.0,22530.16
2015-03-11,315.0,316.9,309.0,309.6,309.5,5058223.0,15720.47
2015-03-12,311.0,313.95,308.9,312.75,312.2,3663263.0,11389.68
2015-03-13,313.1,316.8,311.3,315.0,313.9,3705620.0,11618.43
2015-03-16,313.85,314.6,311.1,312.0,312.0,2471402.0,7713.19
2015-03-17,312.1,315.5,310.05,314.25,314.2,2533222.0,7915.48
2015-03-18,315.0,315.45,308.0,309.25,309.2,3234687.0,10018.19
2015-03-19,309.9,313.9,309.2,312.25,311.9,3578353.0,11158.39
2015-03-20,312.2,313.0,308.4,311.5,311.35,3195868.0,9914.3
2015-03-23,311.0,315.35,310.85,314.6,314.4,3059875.0,9599.23
