Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-01-01,312.45,315.0,310.7,314.0,314.0,6138488.0,19254.89
2015-01-02,314.35,318.3,314.35,315.6,315.25,9935094.0,31473.89
2015-01-05,316.25,316.8,312.1,312.8,312.75,9136716.0,28674.32
2015-01-06,310.0,311.1,298.7,299.9,299.9,15329257.0,46776.01
2015-01-07,300.0,302.55,295.15,301.4,300.15,15046745.0,45132.43
2015-01-08,305.0,306.5,302.35,305.25,304.85,8939749.0,27225.93
2015-01-09,306.7,307.85,302.0,303.0,303.2,11953948.0,36393.61
2015-01-12,304.15,307.8,301.1,306.9,307.1,8536142.0,26109.06
2015-01-13,308.15,310.75,304.15,305.25,305.1,9484804.0,29234.06
2015-01-14,304.0,307.0,302.25,305.0,304.7,8855660.0,26991.65
2015-01-15,319.9,323.7,314.0,318.4,320.3,30729523.0,97796.01
2015-01-16,320.0,320.3,313.1,315.25,315.45,21598514.0,68122.25
2015-01-19,316.55,317.95,312.5,313.2,313.15,9975658.0,31358.78
2015-01-20,314.0,319.8,314.0,318.0,318.15,13104643.0,41623.11
2015-01-21,319.9,327.6,319.0,326.0,326.2,22617660.0,73572.45
2015-01-22,326.9,327.6,321.8,325.2,324.65,12232626.0,39636.51
2015-01-23,328.25,332.55,324.65,327.05,327.45,17127278.0,56292.91
2015-01-27,329.4,332.15,322.6,331.45,330.05,13734088.0,44829.0
2015-01-28,330.4,336.0,328.2,333.4,334.6,19428852.0,64705.29
2015-01-29,332.8,333.6,325.1,326.45,327.0,14911660.0,49018.25
2015-01-30,328.7,330.5,307.0,309.3,308.95,30252827.0,94771.5
2015-02-02,309.5,311.9,305.1,308.5,307.5,17639807.0,54397.87
2015-02-03,312.0,312.0,299.05,299.65,300.3,23743882.0,72145.58
2015-02-04,302.7,302.95,291.9,292.55,293.05,21477507.0,63519.8
2015-02-05,293.15,297.8,289.2,290.5,290.8,15722348.0,46247.55
2015-02-06,291.0,294.85,285.7,291.2,290.3,15985714.0,46471.2
2015-02-09,289.5,292.8,278.0,279.5,279.5,17088719.0,48630.94
2015-02-10,277.5,290.8,275.7,289.75,287.3,22589681.0,64578.63
2015-02-11,290.8,293.5,283.7,286.2,285.95,17366588.0,50026.77
2015-02-12,288.9,289.0,278.3,286.1,284.3,20957180.0,59317.46
2015-02-13,288.0,307.95,285.35,307.7,306.95,70540056.0,211053.44
2015-02-16,310.6,313.15,304.7,306.5,306.7,21372131.0,66132.7
2015-02-18,306.8,307.9,302.0,305.65,305.7,13472484.0,41170.92
