Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-01-01,826.5,830.0,818.1,822.25,822.2,587479.0,4838.78
2015-01-02,824.0,830.5,824.0,826.1,826.25,710310.0,5877.41
2015-01-05,826.1,830.7,824.45,825.0,826.75,792287.0,6556.79
2015-01-06,823.0,824.6,803.7,811.0,808.55,1709888.0,13858.01
2015-01-07,809.1,815.2,800.0,810.85,809.8,1730518.0,13939.05
2015-01-08,815.0,821.0,814.4,816.55,818.8,943536.0,7715.97
2015-01-09,820.0,836.0,820.0,833.0,830.05,1766875.0,14658.1
2015-01-12,832.45,837.25,830.1,836.0,835.3,1188646.0,9919.11
2015-01-13,837.05,843.4,826.15,833.0,833.1,838422.0,7016.35
2015-01-14,831.0,837.75,817.0,820.2,820.65,996066.0,8222.44
2015-01-15,826.0,833.9,819.4,824.75,825.9,2224116.0,18338.39
2015-01-16,828.9,854.4,826.2,852.5,849.75,2005202.0,16869.26
2015-01-19,855.0,866.15,853.1,863.05,863.0,1382755.0,11917.1
2015-01-20,865.0,874.5,854.5,873.0,872.3,2053198.0,17811.77
2015-01-21,875.0,888.0,873.0,887.0,885.95,2358508.0,20799.72
2015-01-22,885.3,927.35,885.3,918.0,920.05,4797782.0,43939.66
2015-01-23,921.5,938.7,918.0,927.4,926.8,2835629.0,26307.59
2015-01-27,939.9,939.95,901.0,911.2,914.0,2261868.0,20635.98
2015-01-28,915.0,933.1,892.0,910.0,909.75,1939863.0,17752.93
2015-01-29,900.0,933.0,891.0,912.5,919.8,2668139.0,24219.84
2015-01-30,923.5,927.8,910.5,919.85,917.75,1873464.0,17222.26
2015-02-02,925.0,943.55,922.0,928.0,929.1,1750030.0,16308.39
2015-02-03,936.0,947.65,919.05,944.0,941.25,2275229.0,21192.11
2015-02-04,947.5,965.95,946.0,960.0,958.95,2769365.0,26560.02
2015-02-05,960.0,965.9,951.0,959.7,959.55,1850360.0,17736.96
2015-02-06,958.75,962.9,920.25,931.05,926.85,3120503.0,29287.9
2015-02-09,926.8,948.2,915.85,942.0,941.45,1350099.0,12700.34
2015-02-10,942.0,942.0,911.0,923.0,919.55,1515424.0,13995.14
2015-02-11,924.8,937.0,920.2,925.0,925.85,1046438.0,9712.46
2015-02-12,929.65,932.2,919.0,922.5,923.6,778562.0,7189.73
2015-02-13,928.0,952.0,928.0,931.8,940.55,2046667.0,19300.03
2015-02-16,918.0,930.9,907.3,913.9,914.75,2869370.0,26320.47
2015-02-18,919.9,927.5,911.75,917.5,917.8,1309654.0,12041.93
2015-02-19,922.7,926.8,909.55,909.8,916.7,1190354.0,10935.59
2015-02-20,914.8,921.6,910.0,911.0,913.2,1146633.0,10483.79
2015-02-23,914.0,924.0,904.25,910.0,908.65,2440626.0,22356.28
2015-02-24,907.0,913.9,905.0,909.05,910.45,1469026.0,13365.84
2015-02-25,913.5,914.65,886.4,889.5,890.75,1407691.0,12679.29
2015-02-26,890.1,894.25,860.2,869.3,865.7,2614022.0,22760.0
2015-02-27,870.15,883.9,868.55,877.7,878.9,2160310.0,18920.12
2015-02-28,884.45,918.4,873.5,915.2,911.0,1118395.0,9982.11
2015-03-02,912.1,932.0,909.4,930.1,925.2,2019863.0,18545.38
2015-03-03,937.45,951.4,933.1,941.85,943.05,2114707.0,19943.4
2015-03-04,946.9,1035.95,937.8,1005.0,1006.3,7567230.0,75707.58
2015-03-05,1018.0,1045.95,1005.5,1041.0,1038.75,3792463.0,38897.02
2015-03-09,1024.35,1049.9,1008.0,1041.9,1041.0,3154190.0,32688.29
2015-03-10,1046.0,1055.5,1017.75,1025.35,1024.65,2094814.0,21711.09
2015-03-11,1029.4,1035.4,1007.05,1011.85,1009.85,1845619.0,18687.93
2015-03-12,1012.65,1039.8,1010.0,1038.0,1036.15,1990646.0,20345.1
2015-03-13,1044.7,1044.7,1006.55,1017.9,1011.6,1499576.0,15219.95
2015-03-16,1014.1,1032.9,1010.15,1027.0,1029.85,1445672.0,14821.29
2015-03-17,1033.0,1051.0,1026.15,1036.0,1041.9,1818956.0,18949.35
2015-03-18,1043.4,1048.0,1031.0,1042.05,1044.5,1489193.0,15530.2
2015-03-19,1050.0,1075.0,1036.2,1047.65,1047.75,2661474.0,28252.5
2015-03-20,1050.0,1074.5,1021.3,1027.4,1026.65,2371025.0,24723.87
2015-03-23,1036.9,1045.95,1013.4,1026.85,1024.25,1972135.0,20308.29
2015-03-24,1034.0,1049.8,1030.0,1039.9,1037.15,2573597.0,26768.35
2015-03-25,1058.0,1067.8,1042.1,1055.05,1052.05,4242685.0,44752.25
2015-03-26,1052.8,1053.0,1020.0,1039.0,1027.7,2974909.0,30829.26
2015-03-27,1036.9,1041.55,1002.1,1013.0,1011.2,1999967.0,20265.0
2015-03-30,1021.15,1025.75,1009.0,1009.45,1010.8,1613058.0,16349.3
2015-03-31,1015.0,1033.25,1010.35,1021.0,1023.9,1939047.0,19819.74
2015-04-01,1023.9,1094.0,1018.95,1082.0,1081.15,4104961.0,43814.67
2015-04-06,1102.7,1181.0,1090.0,1177.9,1169.3,4805720.0,54585.75
2015-04-07,1180.0,1200.8,1135.75,1150.0,1152.05,3978093.0,46161.14
2015-04-08,1161.35,1173.3,1137.05,1149.3,1150.45,2732857.0,31429.09
2015-04-09,1159.9,1162.3,1106.0,1110.15,1113.45,3143647.0,35199.1
2015-04-10,1113.0,1128.6,1098.35,1118.0,1119.75,2880186.0,32052.2
2015-04-13,1120.1,1157.9,1112.7,1154.7,1150.95,2036205.0,23163.95
2015-04-15,1161.4,1161.4,1112.35,1115.0,1117.3,3103257.0,34987.61
2015-04-16,1122.2,1127.25,1082.5,1087.35,1087.95,2725037.0,29855.78
2015-04-17,1090.0,1105.2,1028.75,1040.0,1037.75,3749872.0,39953.35
2015-04-20,1048.0,1066.9,1037.8,1041.95,1043.8,2941375.0,30938.33
2015-04-21,951.0,974.25,930.0,952.2,952.2,265709391.0,2481773.12
2015-04-22,963.0,978.9,948.0,969.0,967.8,10905987.0,105303.2
2015-04-23,980.0,980.8,936.0,941.1,942.0,9450660.0,89800.3
2015-04-24,946.0,956.0,938.25,943.3,947.4,10416821.0,98752.31
2015-04-27,951.5,957.3,921.85,927.15,926.4,7641311.0,71383.75
2015-04-28,922.0,934.2,912.25,921.9,924.85,5553353.0,51406.64
2015-04-29,934.2,947.0,929.0,939.8,940.5,7229944.0,67835.95
2015-04-30,926.0,943.9,921.0,943.9,938.85,16367861.0,153570.98
2015-05-04,949.0,957.25,942.05,946.6,947.75,7780934.0,73839.77
2015-05-05,954.9,960.0,950.05,958.5,958.45,4329997.0,41406.91
2015-05-06,957.55,957.7,925.0,932.85,937.15,5151640.0,48351.71
2015-05-07,933.0,936.0,920.05,929.85,927.9,3690081.0,34254.98
2015-05-08,933.35,946.25,920.1,938.0,940.25,4998817.0,46614.39
2015-05-11,950.5,968.45,948.8,961.0,964.4,5241168.0,50394.91
2015-05-12,962.25,965.4,943.0,949.95,949.65,4197503.0,39976.33
2015-05-13,952.9,962.95,942.65,953.3,954.05,2584318.0,24651.56
2015-05-14,952.8,953.2,939.0,942.6,944.4,2701006.0,25521.44
2015-05-15,927.4,952.0,926.25,947.0,946.35,2563043.0,24169.27
2015-05-18,947.4,960.0,943.3,958.7,956.95,2137699.0,20332.36
2015-05-19,956.95,978.45,947.85,956.1,957.05,2047194.0,19563.51
2015-05-20,961.4,969.35,956.0,961.8,965.35,2163245.0,20823.96
2015-05-21,966.1,986.7,962.1,979.0,981.25,4649220.0,45304.41
2015-05-22,978.0,1008.9,976.75,1000.0,1003.75,4813876.0,47882.68
