Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-01-01,2589.0,2613.45,2580.75,2596.0,2594.55,122347.0,3174.14
2015-01-02,2587.0,2619.0,2587.0,2611.0,2607.25,256301.0,6682.37
2015-01-05,2600.0,2619.7,2555.0,2559.2,2563.75,192701.0,4992.97
2015-01-06,2555.05,2569.0,2515.35,2541.0,2536.25,489983.0,12406.5
2015-01-07,2545.0,2574.8,2513.2,2534.0,2524.4,332883.0,8465.32
2015-01-08,2528.0,2579.9,2528.0,2569.3,2566.65,440235.0,11263.94
2015-01-09,2568.0,2689.9,2568.0,2683.1,2680.35,751010.0,19813.77
2015-01-12,2697.0,2759.0,2685.0,2758.4,2754.0,864263.0,23682.24
2015-01-13,2764.0,2772.2,2735.0,2765.1,2761.1,755128.0,20846.08
2015-01-14,2764.0,2795.95,2751.5,2795.0,2791.55,410554.0,11428.47
2015-01-15,2797.05,2800.0,2767.1,2774.4,2781.8,587022.0,16328.58
2015-01-16,2785.0,2819.95,2770.6,2803.55,2816.95,960237.0,26873.49
2015-01-19,2815.0,2820.0,2783.1,2797.25,2800.25,266551.0,7467.52
2015-01-20,2795.05,2819.95,2795.05,2802.7,2801.8,312009.0,8760.73
2015-01-21,2801.0,2815.9,2787.8,2796.8,2796.5,525578.0,14719.33
2015-01-22,2796.7,2805.0,2749.0,2761.0,2758.1,617241.0,17152.55
2015-01-23,2770.85,2804.0,2760.0,2766.0,2780.75,499377.0,13915.85
2015-01-27,2779.85,2819.9,2760.5,2811.0,2816.65,494122.0,13839.29
2015-01-28,2806.3,2885.0,2806.3,2878.0,2873.35,594657.0,17056.48
2015-01-29,2878.0,2930.0,2875.0,2915.0,2904.4,945040.0,27378.59
2015-01-30,2931.0,2991.5,2837.15,2890.0,2868.5,1175968.0,34526.18
2015-02-02,2972.0,2995.1,2872.15,2894.0,2895.05,1951500.0,57017.83
2015-02-03,2919.0,2925.0,2870.0,2919.1,2919.15,609226.0,17658.7
2015-02-04,2925.0,2925.0,2840.1,2843.65,2852.25,437862.0,12584.38
2015-02-05,2851.1,2900.95,2845.0,2872.0,2867.75,400696.0,11535.31
2015-02-06,2870.0,2920.95,2849.95,2860.9,2860.35,427819.0,12336.41
2015-02-09,2840.0,2874.0,2811.1,2813.05,2820.45,338991.0,9596.28
2015-02-10,2805.0,2806.6,2748.5,2765.1,2762.5,712098.0,19714.42
2015-02-11,2770.0,2858.0,2769.85,2845.35,2841.75,721322.0,20213.55
2015-02-12,2860.0,2915.0,2845.6,2910.0,2909.3,349739.0,10082.16
2015-02-13,2920.0,2922.4,2882.3,2886.0,2886.55,341872.0,9893.66
2015-02-16,2895.0,2947.95,2891.75,2900.0,2899.55,434838.0,12693.72
2015-02-18,2879.0,2915.0,2857.0,2885.95,2892.25,1161482.0,33592.86
2015-02-19,2900.0,2900.0,2825.1,2830.0,2830.15,749152.0,21357.88
2015-02-20,2810.0,2826.35,2794.25,2813.0,2810.2,388902.0,10927.9
2015-02-23,2810.0,2842.0,2762.3,2769.0,2778.75,538128.0,15166.87
2015-02-24,2790.05,2808.05,2781.0,2797.0,2791.3,436577.0,12206.04
2015-02-25,2805.0,2808.0,2752.2,2762.0,2762.55,656077.0,18197.93
2015-02-26,2774.8,2774.8,2740.0,2750.0,2748.1,1065119.0,29335.39
2015-02-27,2752.95,2850.0,2741.7,2830.0,2835.75,527367.0,14869.91
2015-02-28,2856.4,2870.0,2801.4,2859.15,2863.3,204608.0,5814.99
2015-03-02,2878.8,2895.0,2848.85,2860.7,2860.05,410041.0,11733.85
2015-03-03,2882.0,2913.6,2835.05,2906.0,2908.5,503458.0,14523.4
2015-03-04,2910.0,2939.0,2865.6,2877.05,2879.5,550130.0,15947.95
2015-03-05,2880.0,2912.8,2851.1,2876.0,2878.15,431261.0,12435.9
